active_dim,actual_eval_states,batch_index,burn_in_steps,checkpoint,dataset,dataset_config,dataset_split,device,dtype,eval_steps,experiment,git_commit,input_shape,input_space,method,model,nearby_distance,operator_update,projection_mode,projection_next,projection_value,residual_alpha,sample_index,sequence_length,state_norm,step_delta,step_index,target,timestamp,token_mode,tokenizer,pca_summary_value,pca_summary_next
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.40674978865718e-06,norm_matched,fixed_random,0.05203414335846901,0.052034132182598114,1.0,1,128,7.4624552726745605,1.3768037661066046e-06,10,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m,-1.8443495166491314e-07,2.525540563197072e-07
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.3866412018614938e-06,norm_matched,fixed_random,0.05203412473201752,0.05203414335846901,1.0,1,128,7.462455749511719,1.3771875728707528e-06,11,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m,2.525540563197072e-07,-1.9311906497258628e-07
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.380666503791872e-06,norm_matched,fixed_random,0.05203414335846901,0.05203412473201752,1.0,1,128,7.4624552726745605,1.3838990753356484e-06,12,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m,-1.9311906497258628e-07,-7.454184355993192e-08
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.7408749499736587e-06,norm_matched,fixed_random,0.05203413963317871,0.05203414335846901,1.0,1,128,7.4624552726745605,1.2692742075159913e-06,13,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m,-7.454184355993192e-08,-1.9710020556728e-07
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.39922417474736e-06,norm_matched,fixed_random,0.05203413963317871,0.05203413963317871,1.0,1,128,7.4624552726745605,1.253612481377786e-06,14,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m,-1.9710020556728e-07,2.522721863286343e-07
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.3834477385898936e-06,norm_matched,fixed_random,0.05203414708375931,0.05203413963317871,1.0,1,128,7.462455749511719,1.3876880302632344e-06,15,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m,2.522721863286343e-07,8.158956386770176e-07
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.7162619769806042e-06,norm_matched,fixed_random,0.05203413963317871,0.05203414708375931,1.0,1,128,7.462456226348877,1.4046512433196767e-06,16,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m,8.158956386770176e-07,2.616684200558157e-07
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.4075141052671825e-06,norm_matched,fixed_random,0.05203413590788841,0.05203413963317871,1.0,1,128,7.462455749511719,1.3981973552290583e-06,17,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m,2.616684200558157e-07,-2.3466019210913754e-07
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.2656973922275938e-06,norm_matched,fixed_random,0.05203413590788841,0.05203413590788841,1.0,1,128,7.4624552726745605,1.3749437357546412e-06,18,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m,-2.3466019210913754e-07,-2.5165651564590876e-07
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.2511488876043586e-06,norm_matched,fixed_random,0.05203413590788841,0.05203413590788841,1.0,1,128,7.4624552726745605,1.2290965969441459e-06,19,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m,-2.5165651564590876e-07,-2.1751753614197015e-07
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.3485275758284843e-06,norm_matched,fixed_random,0.052034132182598114,0.05203413590788841,1.0,1,128,7.4624552726745605,1.2237840110174147e-06,20,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m,-2.1751753614197015e-07,-2.5527364743929673e-07
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.2390192978273262e-06,norm_matched,fixed_random,0.052034132182598114,0.052034132182598114,1.0,1,128,7.4624552726745605,1.2375891174087883e-06,21,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m,-2.5527364743929673e-07,-1.9717222167906726e-07
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.4018335150467465e-06,norm_matched,fixed_random,0.05203413963317871,0.052034132182598114,1.0,1,128,7.4624552726745605,1.241305881194421e-06,22,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m,-1.9717222167906726e-07,-7.350168618900052e-08
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.751795366544684e-06,norm_matched,fixed_random,0.05203413590788841,0.05203413963317871,1.0,1,128,7.4624552726745605,1.2343068647169275e-06,23,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m,-7.350168618900052e-08,2.0414265080502316e-07
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.2552825410239166e-06,norm_matched,fixed_random,0.05203413590788841,0.05203413590788841,1.0,1,128,7.462455749511719,1.3552654536397313e-06,24,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m,2.0414265080502316e-07,-2.3790036635529298e-07
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.2538915825643926e-06,norm_matched,fixed_random,0.052034132182598114,0.05203413590788841,1.0,1,128,7.4624552726745605,1.3866660992789548e-06,25,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m,-2.3790036635529298e-07,-1.7767533892439582e-07
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.4530552334690583e-06,norm_matched,fixed_random,0.05203414335846901,0.052034132182598114,1.0,1,128,7.4624552726745605,1.2574899983519572e-06,26,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m,-1.7767533892439582e-07,-2.550687430056956e-07
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.2304283245612169e-06,norm_matched,fixed_random,0.05203413590788841,0.05203414335846901,1.0,1,128,7.4624552726745605,1.2777103393091238e-06,27,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m,-2.550687430056956e-07,-2.5442854800454275e-07
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.2459265690267785e-06,norm_matched,fixed_random,0.052034132182598114,0.05203413590788841,1.0,1,128,7.4624552726745605,1.2177794133094721e-06,28,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m,-2.5442854800454275e-07,-2.024937486415144e-07
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.3906213780501275e-06,norm_matched,fixed_random,0.05203413963317871,0.052034132182598114,1.0,1,128,7.4624552726745605,1.224773427566106e-06,29,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m,-2.024937486415144e-07,-2.3761223999727223e-07
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.2813940202249796e-06,norm_matched,fixed_random,0.05203413963317871,0.05203413963317871,1.0,1,128,7.4624552726745605,1.2698631053353893e-06,30,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m,-2.3761223999727223e-07,-2.4446471878380985e-07
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.2565586757773417e-06,norm_matched,fixed_random,0.05203413963317871,0.05203413963317871,1.0,1,128,7.4624552726745605,1.2940757869728259e-06,31,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m,-2.4446471878380985e-07,-2.4675651673618056e-07
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.2566501936817076e-06,norm_matched,fixed_random,0.05203414335846901,0.05203413963317871,1.0,1,128,7.4624552726745605,1.2654243164433865e-06,32,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m,-2.4675651673618056e-07,-2.2402606414846464e-07
65536,64,1,16,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,64,pythia_dynamical_edge_norm_matched_probe,9801caeb1bc8252573781682c3403ed9a63b90dd,"[1, 128, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.3220814025771688e-06,norm_matched,fixed_random,0.05203413963317871,0.05203414335846901,1.0,1,128,7.4624552726745605,1.2592857956406078e-06,33,final_hidden,2026-07-10T15:33:26.943373+00:00,nonpad_flattened,EleutherAI/pythia-70m,-2.2402606414846464e-07,2.583816604282191e-07
