checkpoint,training_step,dynamic_step,selection_index,token_id,token,wikitext_train_count,frequency_bin,spectral_radius,operator_norm_2,jacobian_frobenius_norm,runtime_seconds
step27000,27000,384,7,6574, miles,404,7,1.007393479347229,1.891950249671936,15.486800193786621,0.4633989818394184
step27000,27000,448,0,21825, clones,2,0,1.0315195322036743,1.9210710525512695,15.492663383483887,0.3810447156429291
step27000,27000,448,1,46808, trustworthy,3,1,1.0172158479690552,1.8943036794662476,15.683244705200195,0.4493264704942703
step27000,27000,448,2,23778, motive,8,2,1.008820652961731,1.8719631433486938,15.399882316589355,0.3770468346774578
step27000,27000,448,3,42548, generosity,8,3,1.0100129842758179,1.8750993013381958,15.352892875671387,0.3925698548555374
step27000,27000,448,4,29254, critique,18,4,0.9919084906578064,1.861215591430664,15.37319278717041,0.36949143558740616
step27000,27000,448,5,19211, cabinet,33,5,1.0310180187225342,1.9090068340301514,15.604835510253906,0.4061375595629215
step27000,27000,448,6,14290, documented,48,6,1.006752610206604,1.870396375656128,15.388238906860352,0.39495040476322174
step27000,27000,448,7,6574, miles,404,7,0.9972240328788757,1.8634370565414429,15.598723411560059,0.3717653267085552
step27000,27000,512,0,21825, clones,2,0,0.9877411723136902,1.8446953296661377,15.281489372253418,0.33203161135315895
step27000,27000,512,1,46808, trustworthy,3,1,0.9959089159965515,1.873172640800476,15.323195457458496,0.3953516036272049
step27000,27000,512,2,23778, motive,8,2,1.0486561059951782,1.9266220331192017,15.743118286132812,0.43030600622296333
step27000,27000,512,3,42548, generosity,8,3,1.0121809244155884,1.897218108177185,15.501977920532227,0.7080675326287746
step27000,27000,512,4,29254, critique,18,4,1.0257701873779297,2.261356830596924,15.73142147064209,0.3827873766422272
step27000,27000,512,5,19211, cabinet,33,5,1.0482591390609741,2.112359046936035,16.05788803100586,0.3947647847235203
step27000,27000,512,6,14290, documented,48,6,1.0482418537139893,1.9336721897125244,15.746966361999512,0.35450613871216774
step27000,27000,512,7,6574, miles,404,7,1.0545642375946045,1.9710588455200195,15.829458236694336,0.36294757202267647
step27000,27000,576,0,21825, clones,2,0,1.0100804567337036,1.9770272970199585,15.590095520019531,0.32446932420134544
step27000,27000,576,1,46808, trustworthy,3,1,1.0185028314590454,1.8900412321090698,15.483701705932617,0.35422080010175705
step27000,27000,576,2,23778, motive,8,2,1.0447337627410889,1.8962571620941162,15.626798629760742,0.3525879643857479
step27000,27000,576,3,42548, generosity,8,3,1.0018393993377686,1.8707995414733887,15.63654613494873,2.26549806073308
step27000,27000,576,4,29254, critique,18,4,1.027116060256958,1.958512783050537,15.664944648742676,1.9911613054573536
step27000,27000,576,5,19211, cabinet,33,5,1.0054516792297363,1.8545780181884766,15.459437370300293,11.381223995238543
step27000,27000,576,6,14290, documented,48,6,1.0185863971710205,1.8775478601455688,15.61658000946045,18.163515776395798
step27000,27000,576,7,6574, miles,404,7,1.0135308504104614,1.9319132566452026,15.475285530090332,15.585541535168886
step27000,27000,640,0,21825, clones,2,0,1.0215133428573608,1.9289847612380981,15.724797248840332,19.39478799700737
step27000,27000,640,1,46808, trustworthy,3,1,1.037585973739624,1.8920555114746094,15.698480606079102,18.19959844648838
step27000,27000,640,2,23778, motive,8,2,1.0429567098617554,1.939603328704834,15.735978126525879,17.847302582114935
step27000,27000,640,3,42548, generosity,8,3,1.045661211013794,1.9729379415512085,15.813873291015625,17.464280795305967
step27000,27000,640,4,29254, critique,18,4,0.9899482727050781,1.8715273141860962,15.38047981262207,17.0607384480536
step27000,27000,640,5,19211, cabinet,33,5,1.0290179252624512,1.945799708366394,15.770979881286621,15.915813874453306
step27000,27000,640,6,14290, documented,48,6,0.99066561460495,1.8677113056182861,15.373366355895996,17.193977758288383
step27000,27000,640,7,6574, miles,404,7,0.9959051609039307,1.8421742916107178,15.289859771728516,17.961824093014002
step27000,27000,704,0,21825, clones,2,0,1.0120118856430054,1.9326701164245605,15.408329963684082,17.774243604391813
step27000,27000,704,1,46808, trustworthy,3,1,1.0265214443206787,1.9411203861236572,15.671879768371582,16.449737556278706
step27000,27000,704,2,23778, motive,8,2,1.0187698602676392,1.957643747329712,15.507643699645996,15.699532322585583
step27000,27000,704,3,42548, generosity,8,3,1.014024257659912,1.9366618394851685,15.4746732711792,18.507529467344284
step27000,27000,704,4,29254, critique,18,4,0.9993524551391602,1.8457963466644287,15.445856094360352,14.058497529476881
step27000,27000,704,5,19211, cabinet,33,5,1.0338298082351685,1.9928721189498901,15.655421257019043,16.832776993513107
