checkpoint,training_step,dynamic_step,selection_index,token_id,token,wikitext_train_count,frequency_bin,spectral_radius,operator_norm_2,jacobian_frobenius_norm,runtime_seconds
step27000,27000,0,0,21825, clones,2,0,12.766058921813965,81.62014770507812,267.4502868652344,0.5967497788369656
step27000,27000,0,1,46808, trustworthy,3,1,11.9483642578125,63.00154495239258,245.3775634765625,0.4038398563861847
step27000,27000,0,2,23778, motive,8,2,14.106742858886719,85.23431396484375,298.642578125,0.3968004956841469
step27000,27000,0,3,42548, generosity,8,3,13.48578929901123,82.81572723388672,274.85076904296875,0.39491965621709824
step27000,27000,0,4,29254, critique,18,4,11.846351623535156,66.16024780273438,248.7583465576172,0.39362629130482674
step27000,27000,0,5,19211, cabinet,33,5,12.885575294494629,69.52378845214844,270.48822021484375,0.39082714542746544
step27000,27000,0,6,14290, documented,48,6,16.801328659057617,178.98382568359375,276.29046630859375,0.3607540503144264
step27000,27000,0,7,6574, miles,404,7,14.745210647583008,125.56635284423828,332.6562805175781,0.35697924718260765
step27000,27000,64,0,21825, clones,2,0,1.0320545434951782,1.8042044639587402,15.460227012634277,0.4516276866197586
step27000,27000,64,1,46808, trustworthy,3,1,0.9738011360168457,1.7692877054214478,15.149789810180664,0.3092755749821663
step27000,27000,64,2,23778, motive,8,2,1.0398890972137451,1.803876519203186,15.466389656066895,0.35681379586458206
step27000,27000,64,3,42548, generosity,8,3,1.0334482192993164,1.806925654411316,15.497485160827637,0.3880920819938183
step27000,27000,64,4,29254, critique,18,4,1.0363590717315674,1.8124723434448242,15.627678871154785,0.3864819183945656
step27000,27000,64,5,19211, cabinet,33,5,1.042492389678955,1.8063117265701294,15.771063804626465,0.4096381366252899
step27000,27000,64,6,14290, documented,48,6,0.997330904006958,1.8128949403762817,15.540258407592773,0.3531199283897877
step27000,27000,64,7,6574, miles,404,7,1.0591591596603394,1.8090310096740723,15.539859771728516,0.43276994675397873
step27000,27000,128,0,21825, clones,2,0,1.07905912399292,1.9599213600158691,16.447582244873047,0.5591423623263836
step27000,27000,128,1,46808, trustworthy,3,1,1.070033311843872,1.9178712368011475,16.192310333251953,0.3826132044196129
step27000,27000,128,2,23778, motive,8,2,1.0828862190246582,2.0451197624206543,16.915136337280273,0.37486860528588295
step27000,27000,128,3,42548, generosity,8,3,1.140742301940918,2.0348780155181885,16.868364334106445,0.35704413428902626
step27000,27000,128,4,29254, critique,18,4,1.0832798480987549,1.7918850183486938,15.35746955871582,0.3657822869718075
step27000,27000,128,5,19211, cabinet,33,5,0.9957756400108337,1.8220187425613403,15.321678161621094,0.36955998092889786
step27000,27000,128,6,14290, documented,48,6,1.080841302871704,1.9298473596572876,16.435314178466797,0.3889779672026634
step27000,27000,128,7,6574, miles,404,7,0.9878796935081482,1.8331823348999023,15.223824501037598,0.37059732899069786
step27000,27000,192,0,21825, clones,2,0,0.9905552864074707,1.8653124570846558,15.66457748413086,0.3818197511136532
step27000,27000,192,1,46808, trustworthy,3,1,1.0355255603790283,1.7636994123458862,15.358400344848633,0.3702891021966934
step27000,27000,192,2,23778, motive,8,2,1.0656840801239014,1.791292428970337,15.53244400024414,0.37784968316555023
step27000,27000,192,3,42548, generosity,8,3,1.0629037618637085,1.7772481441497803,15.518594741821289,0.3590710423886776
step27000,27000,192,4,29254, critique,18,4,1.0375224351882935,1.8505221605300903,15.901416778564453,0.38333507999777794
step27000,27000,192,5,19211, cabinet,33,5,0.9963101744651794,1.8469394445419312,15.287191390991211,0.3870762437582016
step27000,27000,192,6,14290, documented,48,6,1.0551649332046509,1.8043874502182007,15.522488594055176,0.3892425447702408
step27000,27000,192,7,6574, miles,404,7,1.088221788406372,1.9772908687591553,16.540363311767578,0.36898915097117424
step27000,27000,256,0,21825, clones,2,0,0.9922032952308655,1.841960072517395,15.25144100189209,0.35032179579138756
step27000,27000,256,1,46808, trustworthy,3,1,0.9966219067573547,1.807668924331665,15.260246276855469,0.4017333425581455
step27000,27000,256,2,23778, motive,8,2,0.9787235856056213,1.8500285148620605,15.513667106628418,0.39264097809791565
