checkpoint,training_step,dynamic_step,selection_index,token_id,token,wikitext_train_count,frequency_bin,spectral_radius,normalized_frobenius_norm,runtime_seconds
step39000,39000,0,0,21825, clones,2,0,14.168399810791016,13.241255840529869,0.5821289233863354
step39000,39000,0,1,23778, motive,8,2,16.616920471191406,15.88887500821305,0.5167803280055523
step39000,39000,0,2,19211, cabinet,33,5,17.81764793395996,16.179460332781474,0.5374297313392162
step39000,39000,0,3,6574, miles,404,7,17.45140266418457,16.444605145239144,0.5193780176341534
step39000,39000,64,0,21825, clones,2,0,1.0650984048843384,0.7040957260352322,0.5850244574248791
step39000,39000,64,1,23778, motive,8,2,1.011381983757019,0.6777466121642826,0.5586948879063129
step39000,39000,64,2,19211, cabinet,33,5,1.0441617965698242,0.6886480209721708,0.5239602699875832
step39000,39000,64,3,6574, miles,404,7,1.040799856185913,0.7066829103310734,0.5440931133925915
step39000,39000,128,0,21825, clones,2,0,0.9970450401306152,0.6767603337622791,0.5547138340771198
step39000,39000,128,1,23778, motive,8,2,1.0745199918746948,0.7225522524666378,0.5679542943835258
step39000,39000,128,2,19211, cabinet,33,5,0.9744288921356201,0.6672042945057071,0.5656399875879288
step39000,39000,128,3,6574, miles,404,7,1.068285346031189,0.6878454606828264,0.5591623596847057
step39000,39000,192,0,21825, clones,2,0,0.9587649703025818,0.6704025659581078,0.5739821791648865
step39000,39000,192,1,23778, motive,8,2,1.021612524986267,0.6816739398022247,0.5638996250927448
step39000,39000,192,2,19211, cabinet,33,5,1.0367618799209595,0.7048574881752181,0.5623195581138134
step39000,39000,192,3,6574, miles,404,7,0.9961738586425781,0.6654565068448088,0.4992629326879978
step39000,39000,256,0,21825, clones,2,0,0.977030336856842,0.6768120057985535,0.56910215690732
step39000,39000,256,1,23778, motive,8,2,1.0022457838058472,0.6890823863929241,0.6678087785840034
step39000,39000,256,2,19211, cabinet,33,5,0.960853636264801,0.6684266795530686,0.5431417897343636
step39000,39000,256,3,6574, miles,404,7,0.9858556985855103,0.6752849411833067,0.6134249716997147
step39000,39000,320,0,21825, clones,2,0,0.9753175377845764,0.6751426955695825,0.5575809702277184
step39000,39000,320,1,23778, motive,8,2,0.9611667990684509,0.6707983670124735,0.5711550563573837
step39000,39000,320,2,19211, cabinet,33,5,0.9458848834037781,0.6710005875916288,0.5866387039422989
step39000,39000,320,3,6574, miles,404,7,1.0375999212265015,0.6961577885866904,0.5652177222073078
step39000,39000,384,0,21825, clones,2,0,0.9732083678245544,0.6745611112069806,0.579603735357523
step39000,39000,384,1,23778, motive,8,2,0.9652084112167358,0.6729003567882573,0.5141631700098515
step39000,39000,384,2,19211, cabinet,33,5,0.9693785309791565,0.6738731060518888,0.579619612544775
step39000,39000,384,3,6574, miles,404,7,0.9922419786453247,0.6789668055755214,0.593273039907217
step39000,39000,448,0,21825, clones,2,0,0.9726206660270691,0.6744374523534497,0.5658248662948608
step39000,39000,448,1,23778, motive,8,2,0.971047580242157,0.6741425930012674,0.5659616626799107
step39000,39000,448,2,19211, cabinet,33,5,0.9720609784126282,0.6743511777545479,0.5551953911781311
step39000,39000,448,3,6574, miles,404,7,0.9753825664520264,0.6748220423461115,0.5695958025753498
step39000,39000,512,0,21825, clones,2,0,0.97251296043396,0.6744183176842258,0.5400675944983959
step39000,39000,512,1,23778, motive,8,2,0.9722720980644226,0.6743800904926264,0.5788444392383099
step39000,39000,512,2,19211, cabinet,33,5,0.9724582433700562,0.6744128807407678,0.5262784026563168
step39000,39000,512,3,6574, miles,404,7,0.9727070331573486,0.6744192027680445,0.5587766468524933
step39000,39000,576,0,21825, clones,2,0,0.9724974632263184,0.6744162946354972,0.5650936365127563
step39000,39000,576,1,23778, motive,8,2,0.9724761247634888,0.674413555090344,0.521289736032486
step39000,39000,576,2,19211, cabinet,33,5,0.9724971055984497,0.6744171797193159,0.5536079071462154
step39000,39000,576,3,6574, miles,404,7,0.9724743962287903,0.674405631482824,0.5488918796181679
step39000,39000,640,0,21825, clones,2,0,0.9724955558776855,0.6744162524886487,0.5742015764117241
step39000,39000,640,1,23778, motive,8,2,0.9724972248077393,0.6744165896634368,0.5771400667726994
step39000,39000,640,2,19211, cabinet,33,5,0.9724984765052795,0.6744166318102853,0.5561969429254532
step39000,39000,640,3,6574, miles,404,7,0.9724854230880737,0.6744131336218588,0.5823446810245514
step39000,39000,704,0,21825, clones,2,0,0.9724987149238586,0.6744163367823457,0.5731060020625591
step39000,39000,704,1,23778, motive,8,2,0.9724976420402527,0.6744164632228913,0.5183617360889912
step39000,39000,704,2,19211, cabinet,33,5,0.9724970459938049,0.6744163789291943,0.5087263621389866
step39000,39000,704,3,6574, miles,404,7,0.9724963903427124,0.6744157467264665,0.5838635824620724
step39000,39000,768,0,21825, clones,2,0,0.9724944233894348,0.6744164210760427,0.55879682675004
step39000,39000,768,1,23778, motive,8,2,0.9724971652030945,0.6744163789291943,0.5592068582773209
step39000,39000,768,2,19211, cabinet,33,5,0.9724977612495422,0.6744163367823457,0.5836428627371788
step39000,39000,768,3,6574, miles,404,7,0.9724964499473572,0.6744162946354972,0.5568056404590607
step39000,39000,832,0,21825, clones,2,0,0.9724966287612915,0.6744163367823457,0.5348067954182625
step39000,39000,832,1,23778, motive,8,2,0.9724979996681213,0.6744162946354972,0.5417529679834843
step39000,39000,832,2,19211, cabinet,33,5,0.97249835729599,0.6744162524886487,0.5653344914317131
step39000,39000,832,3,6574, miles,404,7,0.9724969863891602,0.6744162946354972,0.5469597727060318
step39000,39000,896,0,21825, clones,2,0,0.9725000858306885,0.6744162946354972,0.5714753717184067
step39000,39000,896,1,23778, motive,8,2,0.9724985361099243,0.6744163367823457,0.554495383054018
step39000,39000,896,2,19211, cabinet,33,5,0.9724985957145691,0.6744164210760427,0.5520834811031818
step39000,39000,896,3,6574, miles,404,7,0.9724947214126587,0.6744163367823457,0.5848701670765877
step39000,39000,960,0,21825, clones,2,0,0.9724994897842407,0.6744164210760427,0.5619024969637394
step39000,39000,960,1,23778, motive,8,2,0.972498893737793,0.6744164210760427,0.5917239412665367
