checkpoint,training_step,dynamic_step,selection_index,token_id,token,wikitext_train_count,frequency_bin,spectral_radius,normalized_frobenius_norm,runtime_seconds
step27000,27000,0,0,21825, clones,2,0,12.766058921813965,11.819744467043416,5.114648103713989
step27000,27000,0,1,46808, trustworthy,3,1,11.9483642578125,10.844258692831865,4.557784788310528
step27000,27000,0,2,23778, motive,8,2,14.106742858886719,13.1982620089513,4.270422615110874
step27000,27000,0,3,42548, generosity,8,3,13.48578929901123,12.1468026627888,4.625551916658878
step27000,27000,0,4,29254, critique,18,4,11.846351623535156,10.993669607977772,4.170268516987562
step27000,27000,0,5,19211, cabinet,33,5,12.885575294494629,11.954003421562263,4.518308207392693
step27000,27000,0,6,14290, documented,48,6,16.801328659057617,12.210428893999998,4.314631316810846
step27000,27000,0,7,6574, miles,404,7,14.745210647583008,14.701469484892117,4.917598482221365
step27000,27000,64,0,21825, clones,2,0,1.0320545434951782,0.683251959957321,4.324789706617594
step27000,27000,64,1,46808, trustworthy,3,1,0.9738011360168457,0.6695324442706003,4.303795374929905
step27000,27000,64,1,23778, motive,8,2,1.039889931678772,0.6835243128923985,0.5672978237271309
step27000,27000,64,2,19211, cabinet,33,5,1.0424950122833252,0.6969891351735678,0.5646701157093048
step27000,27000,64,3,6574, miles,404,7,1.059157133102417,0.6867712639548292,0.5619376711547375
step27000,27000,128,0,21825, clones,2,0,1.0790553092956543,0.7268873087170743,0.5613405518233776
step27000,27000,128,1,23778, motive,8,2,1.0828858613967896,0.7475504755491162,0.5296470187604427
step27000,27000,128,2,19211, cabinet,33,5,0.9957739114761353,0.6771289079525069,0.5413215011358261
step27000,27000,128,3,6574, miles,404,7,0.9878809452056885,0.6728043462673495,0.565731905400753
step27000,27000,192,0,21825, clones,2,0,0.9905575513839722,0.6922830602156899,0.5551389530301094
step27000,27000,192,1,23778, motive,8,2,1.0656818151474,0.6864435300608085,0.5365153215825558
step27000,27000,192,2,19211, cabinet,33,5,0.9963101148605347,0.6756047936166559,0.554912868887186
