active_dim,actual_eval_states,batch_index,burn_in_steps,checkpoint,dataset,dataset_config,dataset_split,device,dtype,eval_steps,experiment,git_commit,input_shape,input_space,logit_temperature,method,model,nearby_distance,operator_update,projection_mode,projection_next,projection_value,residual_alpha,sample_index,sequence_length,state_norm,step_delta,step_index,target,timestamp,token_mode,tokenizer,pca_summary_value,pca_summary_next
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp025,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.25,paper_style_feedback_dynamics,EleutherAI/pythia-70m,3.111768762664724e-07,direct,fixed_random,-0.029894400388002396,-0.029894400388002396,1.0,0,64,1.3519399166107178,9.697735237068628e-08,10,embedding_expectation,2026-07-11T00:12:55.820947+00:00,nonpad_flattened,EleutherAI/pythia-70m,-0.06796355768784258,-0.06796341733262388
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp025,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.25,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.8698735004818445e-07,direct,fixed_random,-0.029894404113292694,-0.029894400388002396,1.0,0,64,1.3519397974014282,2.3337078403073974e-07,11,embedding_expectation,2026-07-11T00:12:55.820947+00:00,nonpad_flattened,EleutherAI/pythia-70m,-0.06796341733262388,-0.06796347947064355
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp025,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.25,paper_style_feedback_dynamics,EleutherAI/pythia-70m,2.6479264647605305e-07,direct,fixed_random,-0.029894400388002396,-0.029894404113292694,1.0,0,64,1.3519397974014282,1.7104133576140157e-07,12,embedding_expectation,2026-07-11T00:12:55.820947+00:00,nonpad_flattened,EleutherAI/pythia-70m,-0.06796347947064355,-0.0679634524031882
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp025,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.25,paper_style_feedback_dynamics,EleutherAI/pythia-70m,2.803937775297527e-07,direct,fixed_random,-0.029894396662712097,-0.029894400388002396,1.0,0,64,1.3519397974014282,1.98096117287605e-07,13,embedding_expectation,2026-07-11T00:12:55.820947+00:00,nonpad_flattened,EleutherAI/pythia-70m,-0.0679634524031882,-0.06796340166677842
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp025,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.25,paper_style_feedback_dynamics,EleutherAI/pythia-70m,2.7663563173518924e-07,direct,fixed_random,-0.0298943929374218,-0.029894396662712097,1.0,0,64,1.3519397974014282,2.488728227945103e-07,14,embedding_expectation,2026-07-11T00:12:55.820947+00:00,nonpad_flattened,EleutherAI/pythia-70m,-0.06796340166677842,-0.06796342365096063
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp025,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.25,paper_style_feedback_dynamics,EleutherAI/pythia-70m,2.2734292315362836e-07,direct,fixed_random,-0.029894394800066948,-0.0298943929374218,1.0,0,64,1.3519396781921387,2.2267589372404473e-07,15,embedding_expectation,2026-07-11T00:12:55.820947+00:00,nonpad_flattened,EleutherAI/pythia-70m,-0.06796342365096063,-0.06796338212353815
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp025,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.25,paper_style_feedback_dynamics,EleutherAI/pythia-70m,2.3201474164125102e-07,direct,fixed_random,-0.029894400388002396,-0.029894394800066948,1.0,0,64,1.3519397974014282,2.6851537882066623e-07,16,embedding_expectation,2026-07-11T00:12:55.820947+00:00,nonpad_flattened,EleutherAI/pythia-70m,-0.06796338212353815,-0.06796345659347622
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp025,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.25,paper_style_feedback_dynamics,EleutherAI/pythia-70m,3.015019558461063e-07,direct,fixed_random,-0.029894400388002396,-0.029894400388002396,1.0,0,64,1.3519397974014282,1.9386213523375773e-07,17,embedding_expectation,2026-07-11T00:12:55.820947+00:00,nonpad_flattened,EleutherAI/pythia-70m,-0.06796345659347622,-0.06796340965288748
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp025,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.25,paper_style_feedback_dynamics,EleutherAI/pythia-70m,3.1421140533893777e-07,direct,fixed_random,-0.0298943929374218,-0.029894400388002396,1.0,0,64,1.3519397974014282,2.408085890692746e-07,18,embedding_expectation,2026-07-11T00:12:55.820947+00:00,nonpad_flattened,EleutherAI/pythia-70m,-0.06796340965288748,-0.06796341320945347
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp025,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.25,paper_style_feedback_dynamics,EleutherAI/pythia-70m,3.4578420127218124e-07,direct,fixed_random,-0.029894396662712097,-0.0298943929374218,1.0,0,64,1.3519397974014282,2.3718843067399575e-07,19,embedding_expectation,2026-07-11T00:12:55.820947+00:00,nonpad_flattened,EleutherAI/pythia-70m,-0.06796341320945347,-0.06796332269815937
