checkpoint,tail_start,tail_end,selection_index,token_id,token,wikitext_train_count,frequency_bin,candidate_period,absolute_median,absolute_p95,absolute_max,normalized_median,normalized_p95,normalized_max
step9000,512,1024,0,21825, clones,2,0,1,0.023958608508110046,0.08813785761594772,0.10272412747144699,0.06286819279193878,0.2312767058610916,0.2695515751838684
step9000,512,1024,0,21825, clones,2,0,2,0.047619596123695374,0.17415891587734222,0.20337390899658203,0.1249554231762886,0.4569988548755646,0.5336599946022034
step9000,512,1024,0,21825, clones,2,0,3,0.0698513612151146,0.2543835937976837,0.299531489610672,0.18329232931137085,0.6675111651420593,0.7859807014465332
step9000,512,1024,0,21825, clones,2,0,4,0.09121740609407425,0.3296397626399994,0.38965192437171936,0.23935754597187042,0.8649858236312866,1.0224597454071045
step9000,512,1024,0,21825, clones,2,0,5,0.10983791202306747,0.3972035050392151,0.4711432158946991,0.2882183790206909,1.042275309562683,1.2362957000732422
step9000,512,1024,0,21825, clones,2,0,6,0.12711088359355927,0.4545719027519226,0.543157696723938,0.33354324102401733,1.1928119659423828,1.4252641201019287
step9000,512,1024,0,21825, clones,2,0,7,0.1405380815267563,0.5055493712425232,0.6030893325805664,0.3687766492366791,1.3265786170959473,1.582526683807373
step9000,512,1024,0,21825, clones,2,0,8,0.15226848423480988,0.5430014729499817,0.650947630405426,0.39955762028694153,1.4248541593551636,1.7081085443496704
step9000,512,1024,0,21825, clones,2,0,9,0.1593521535396576,0.5706300735473633,0.6842106580734253,0.41814541816711426,1.4973524808883667,1.7953917980194092
step9000,512,1024,0,21825, clones,2,0,10,0.1645582765340805,0.5847602486610413,0.7038906812667847,0.4318064749240875,1.5344306230545044,1.847032904624939
step9000,512,1024,0,21825, clones,2,0,11,0.16468515992164612,0.5879039168357849,0.7075880765914917,0.43213939666748047,1.5426796674728394,1.8567349910736084
step9000,512,1024,0,21825, clones,2,0,12,0.1629418432712555,0.5777471661567688,0.6974565982818604,0.4275648891925812,1.5160280466079712,1.8301496505737305
step9000,512,1024,0,21825, clones,2,0,13,0.15608681738376617,0.5521325469017029,0.6711722612380981,0.40957707166671753,1.4488143920898438,1.7611786127090454
step9000,512,1024,0,21825, clones,2,0,14,0.14755567908287048,0.5212745666503906,0.6321322917938232,0.3871910870075226,1.3678419589996338,1.6587364673614502
step9000,512,1024,0,21825, clones,2,0,15,0.13459698855876923,0.4756695032119751,0.5779929757118225,0.35318702459335327,1.2481728792190552,1.5166730880737305
step9000,512,1024,0,21825, clones,2,0,16,0.1197165846824646,0.4211476445198059,0.5134326815605164,0.31414034962654114,1.1051056385040283,1.3472646474838257
step9000,512,1024,0,21825, clones,2,0,17,0.10136021673679352,0.3595374822616577,0.436205118894577,0.2659726142883301,0.9434384703636169,1.144616961479187
step9000,512,1024,0,21825, clones,2,0,18,0.08201490342617035,0.2868998348712921,0.3491442799568176,0.21520987153053284,0.7528347969055176,0.916166365146637
step9000,512,1024,0,21825, clones,2,0,19,0.06046096980571747,0.21114157140254974,0.25562888383865356,0.15865162014961243,0.5540425777435303,0.6707788109779358
step9000,512,1024,0,21825, clones,2,0,20,0.037898264825344086,0.13252276182174683,0.1596483290195465,0.09944632649421692,0.3477441966533661,0.4189226031303406
step9000,512,1024,0,21825, clones,2,0,21,0.016109993681311607,0.05670329928398132,0.06893208622932434,0.04227316752076149,0.1487913727760315,0.1808801144361496
step9000,512,1024,0,21825, clones,2,0,22,0.015124419704079628,0.05213160812854767,0.06175431236624718,0.039686985313892365,0.13679510354995728,0.16204538941383362
step9000,512,1024,0,21825, clones,2,0,23,0.03651575371623039,0.12661665678024292,0.14801470935344696,0.09581857174634933,0.332246333360672,0.3883955776691437
