checkpoint,tail_start,tail_end,estimated_period_integer,estimated_period_quadratic,token_period_min,token_period_max,all_tokens_same_integer_period,normalized_p95_mean_4tokens,normalized_p95_min_4tokens,normalized_p95_max_4tokens,absolute_p95_mean_4tokens,absolute_p95_min_4tokens,absolute_p95_max_4tokens,classification
step9000,512,1024,22,21.556551106648953,22,22,True,0.13826483115553856,0.13679510354995728,0.14026078581809998,0.0524461311288178,0.01751273311674595,0.08734150230884552,dominant_recurrence_only
step29000,512,1024,100,99.95675885136077,100,100,True,0.010543011594563723,0.010526517406105995,0.0105507280677557,0.30924613773822784,0.30916473269462585,0.30928313732147217,dominant_recurrence_only
step41000,512,1024,57,56.91636640275887,57,57,True,0.016182747669517994,0.016108304262161255,0.016251828521490097,1.1799661815166473,1.1757738590240479,1.184313178062439,dominant_recurrence_only
step53000,512,1024,75,74.9167695297646,75,75,True,0.10508825071156025,0.019732441753149033,0.18493090569972992,8.060366779565811,1.511616826057434,14.19168472290039,dominant_recurrence_only
step57000,512,1024,101,101.45465914923909,101,101,True,0.06483322940766811,0.06376691162586212,0.06560268253087997,6.119570970535278,6.01829195022583,6.226897716522217,dominant_recurrence_only
