checkpoint,training_step,frequency_bin,token_id,token,frequency_count,lyapunov_mean,tail_relative_step_delta_mean,hutchinson_frobenius_median,nearby_log_growth_per_step,nearby_numerical_floor
step1000,1000,7,26390, emperor,84,-0.0021840051644126716,0.04588084875333234,0.6865932141961915,-0.00011417496632442457,False
step1000,1000,0,31842, tenants,2,-0.0025920794419496285,0.023128809568741145,0.6839621695751166,-0.0005505438574461999,False
step1000,1000,1,46808, trustworthy,3,-0.0013337679824540361,0.051248203935608874,0.6905716027401427,0.002127567668906755,False
step1000,1000,2,27495, herbs,6,-0.0019439963113467237,0.04031634636161582,0.6872997754672949,0.0038865799190939245,False
step1000,1000,3,25106, lonely,10,0.00660944309142112,0.03233635059048846,0.6848788877809775,0.005719988254278655,False
step1000,1000,4,37359, disastrous,15,-0.0006037043624909709,0.03353544390725154,0.6844553943667382,-0.0017304810420553562,False
step1000,1000,5,12999, cerem,24,-0.0031962971029378864,0.02540211752770526,0.6858470395393625,-0.001453831405996207,False
step1000,1000,6,14290, documented,48,-0.0024223446780015016,0.03067943289264472,0.6850611132227473,-0.001137126397616992,False
step1000,1000,7,5054, economic,113,-0.0006717290441329924,0.04583565194742099,0.683889278078216,0.0033289817449912496,False
step1000,1000,0,40089, 469,2,-0.0011840272386987442,0.032613220081747434,0.6835143254169255,0.00959010847327819,False
step1000,1000,1,27845, enzymatic,4,-0.0048531777982234745,0.030819155781910496,0.6872158585487683,0.0012712880428911988,False
step1000,1000,2,2786, concent,7,-0.0019717914628400502,0.026310124182354504,0.689137951453864,-0.0010838566428255523,False
step1000,1000,3,18998, imagined,11,0.004204061789846699,0.03407383027004841,0.684189967815849,0.007444249720392162,False
step1000,1000,4,29254, critique,18,-0.0004918033944894642,0.0383672652947466,0.6842341006338117,-0.001126982953321077,False
step1000,1000,5,8107, reverse,31,-0.00423512999376988,0.040863101411996595,0.6910319078389192,0.0031246976826521935,False
step1000,1000,6,516, im,56,0.005150238902141757,0.03629533928205579,0.6866125155209679,0.00543393878937991,False
step1000,1000,7,3081, additional,222,-0.000566644524511763,0.03777920170057242,0.6873837769362146,0.00019081651367552324,False
step1000,1000,0,5111, um,3,-0.0011824631520952582,0.04232032592854692,0.6832075555355344,0.006244978595952333,False
step1000,1000,1,30727, contractual,5,-0.006215250570135367,0.029631597779362404,0.6887583767482398,0.0025854500305175503,False
step1000,1000,2,23778, motive,8,-0.0014850569448230104,0.061808326873088834,0.6863723132005011,-0.0024467719293058904,False
step1000,1000,3,45487,ayson,12,-0.006830538388193555,0.02934780044535738,0.6917916191658644,0.0020208453777854733,False
step1000,1000,4,1553,pec,21,-0.0015910791040544062,0.0397053854363043,0.6862675593129297,-0.0009635689758122038,False
step1000,1000,5,19211, cabinet,33,-0.008330031744654076,0.025785018480266143,0.6855365437355719,0.00409923061212412,False
step1000,1000,6,377,pp,69,-0.0006235872744420202,0.044322742440438066,0.685006221693095,0.00034407503593259756,False
step1000,1000,7,6574, miles,404,-0.0008818043075267169,0.06487695058811002,0.689098133992178,-0.0003944178720598042,False
step16000,16000,0,21825, clones,2,-0.01602840550225045,1.955116586681895e-06,0.6810712733095685,,True
step16000,16000,1,33591, Cyber,3,-0.017154077543184387,8.62643065969673e-06,0.6862809162401603,,True
step16000,16000,2,17270,idding,6,-0.018510589115096468,4.746425054761021e-06,0.6850676025933864,,True
step16000,16000,3,42548, generosity,8,-0.01439648789192894,5.639079982663258e-06,0.6826877522907393,-0.00013816760960342296,False
step16000,16000,4,35526, Ble,14,-0.014903291412304428,4.53819838560187e-06,0.6846498284375806,-0.0017505722087030196,False
step16000,16000,5,8330, Wednesday,22,-0.016876119941893305,3.6304855500061856e-06,0.6845414122932888,,True
step16000,16000,6,14890, Iowa,39,-0.013462132459363521,2.8319513438914365e-06,0.6834626513008973,,True
step16000,16000,7,26390, emperor,84,-0.016673875090721678,2.8289428320408427e-06,0.6830027082839856,,True
step16000,16000,0,31842, tenants,2,-0.016027499130557524,8.242697746533349e-06,0.6810715136061108,9.866172827014622e-05,False
step16000,16000,1,46808, trustworthy,3,-0.017154475736579664,3.317348704969744e-06,0.6862837055602622,,True
step16000,16000,2,27495, herbs,6,-0.0184929606314493,1.9238676901634684e-05,0.6850656707877659,,True
step16000,16000,3,25106, lonely,10,-0.014391280807222774,4.729534442014057e-06,0.6826875005228242,-0.0008117976361324608,False
step16000,16000,4,37359, disastrous,15,-0.01491545932539873,5.073543631577507e-06,0.6846418003672724,,True
step16000,16000,5,12999, cerem,24,-0.016879217286911684,1.3898326084174027e-06,0.6845409669928613,,True
step16000,16000,6,14290, documented,48,-0.013448016688488267,6.3471843556225295e-06,0.6834624196005379,,True
step16000,16000,7,5054, economic,113,-0.016687724203013333,7.0573568390068425e-06,0.6830047439765354,,True
step16000,16000,0,40089, 469,2,-0.01602932894287984,2.953385181496711e-06,0.6810714812589069,,True
step16000,16000,1,27845, enzymatic,4,-0.01714339723097702,1.4205563253214625e-05,0.6862875111021137,-0.004231332776971385,False
step16000,16000,2,2786, concent,7,-0.018506636389717043,6.739963552480285e-06,0.6850664856201942,,True
step16000,16000,3,18998, imagined,11,-0.014381141909538743,2.7023412992002157e-06,0.682688953329526,,True
step16000,16000,4,29254, critique,18,-0.014908523651362797,3.206387110199409e-06,0.6846457818220988,,True
step16000,16000,5,8107, reverse,31,-0.01688084922180073,2.335565982328903e-06,0.684539726716445,,True
step16000,16000,6,516, im,56,-0.013472141637469372,4.940298794267905e-06,0.6834626855086011,-0.008322912062564537,False
step16000,16000,7,3081, additional,222,-0.016677215669083444,1.6212349857846382e-06,0.6830018791443051,,True
step16000,16000,0,5111, um,3,-0.01602802043602858,4.3542194377364094e-06,0.6810713932605342,,True
step16000,16000,1,30727, contractual,5,-0.017154702513188333,1.0566362544309396e-05,0.6862812056421654,,True
step16000,16000,2,23778, motive,8,-0.018508545721716424,7.753300409092469e-06,0.6850685356798958,,True
step16000,16000,3,45487,ayson,12,-0.014388585656060235,3.630139669410377e-06,0.6826880796788017,-0.003302740212140843,False
step16000,16000,4,1553,pec,21,-0.014907701183617547,7.962062287281838e-06,0.6846459240349204,,True
step16000,16000,5,19211, cabinet,33,-0.016874806915175455,4.303754263220351e-06,0.6845419354583681,,True
step16000,16000,6,377,pp,69,-0.013460849402846909,7.716781564937496e-07,0.6834624547496134,,True
step16000,16000,7,6574, miles,404,-0.016686222594876093,4.7076091488031145e-06,0.6830028813473505,-0.0028562450475282304,False
step143000,143000,0,21825, clones,2,-0.24942846990773387,3.960285457260843e-08,0.46981288186333936,,True
step143000,143000,1,33591, Cyber,3,-0.2525475816384596,3.48582939051425e-08,0.46939858625058617,,True
step143000,143000,2,17270,idding,6,-0.24831965445183754,4.1688516124046415e-08,0.4695343904648964,,True
step143000,143000,3,42548, generosity,8,-0.25069186498100876,4.401566125547944e-08,0.4693929455934312,,True
step143000,143000,4,35526, Ble,14,-0.25439932667690923,2.8249012519502192e-08,0.4693966515822432,,True
step143000,143000,5,8330, Wednesday,22,-0.2504679464296784,4.3744664390317975e-08,0.46917556348556266,,True
step143000,143000,6,14890, Iowa,39,-0.2547743077685899,3.069444447030227e-08,0.4694325718665189,,True
step143000,143000,7,26390, emperor,84,-0.25062062206821595,3.3338042186137625e-08,0.46930028879744407,,True
step143000,143000,0,31842, tenants,2,-0.24942846697307483,3.229096664329246e-08,0.46981289772595003,,True
step143000,143000,1,46808, trustworthy,3,-0.2525475774466209,2.183954406128411e-08,0.4693985306954133,,True
step143000,143000,2,27495, herbs,6,-0.24831964849238014,3.358527537668084e-08,0.4695343904648964,,True
step143000,143000,3,25106, lonely,10,-0.250691862884299,3.865138738594079e-08,0.46939297735239754,,True
step143000,143000,4,37359, disastrous,15,-0.2543993277089736,4.384100682458677e-08,0.46939667539355606,,True
step143000,143000,5,12999, cerem,24,-0.2504679488622895,3.586956719921626e-08,0.46917556348556266,,True
step143000,143000,6,14290, documented,48,-0.2547743049087846,3.9546309067050815e-08,0.4694325718665189,,True
step143000,143000,7,5054, economic,113,-0.2506206226487294,3.770829943779617e-08,0.469300296735465,,True
step143000,143000,0,40089, 469,2,-0.24942846735481447,4.201741304596628e-08,0.46981289772595003,,True
step143000,143000,1,27845, enzymatic,4,-0.25254758072684863,4.1046586238548774e-08,0.4693985545012268,,True
step143000,143000,2,2786, concent,7,-0.2483196505058209,4.033732165522891e-08,0.4695343904648964,,True
step143000,143000,3,18998, imagined,11,-0.25069186499690305,3.5386399907344024e-08,0.46939297735239754,,True
step143000,143000,4,29254, critique,18,-0.25439932851667735,3.557393432594524e-08,0.4693966833291266,,True
step143000,143000,5,8107, reverse,31,-0.2504679454287289,3.667738425123477e-08,0.46917556348556266,,True
step143000,143000,6,516, im,56,-0.2547743132323955,3.754531110134523e-08,0.4694325718665189,,True
step143000,143000,7,3081, additional,222,-0.2506206181791595,3.98064930814424e-08,0.4693002729214014,,True
step143000,143000,0,5111, um,3,-0.24942846817674136,3.58870143668689e-08,0.46981289772595003,,True
step143000,143000,1,30727, contractual,5,-0.25254757594299154,3.251677711091794e-08,0.4693985545012268,,True
step143000,143000,2,23778, motive,8,-0.24831965076816548,3.356026001381609e-08,0.46953436665795784,,True
step143000,143000,3,45487,ayson,12,-0.2506918668167728,3.5334131717127974e-08,0.46939297735239754,,True
step143000,143000,4,1553,pec,21,-0.2543993290568665,4.068024808859997e-08,0.4693966674549183,,True
step143000,143000,5,19211, cabinet,33,-0.2504679498522089,4.4715978846307445e-08,0.4691755475986067,,True
step143000,143000,6,377,pp,69,-0.25477430766962517,3.6755647994483435e-08,0.4694325639304619,,True
step143000,143000,7,6574, miles,404,-0.25062062062695406,3.3987807992386284e-08,0.46930028879744407,,True
