checkpoint,training_step,dynamic_step,token_count,token_selection,token_seed,spectral_radius_mean,spectral_radius_std,spectral_radius_median,spectral_radius_min,spectral_radius_max,spectral_radius_sem,spectral_radius_ci95_low,spectral_radius_ci95_high,lyapunov_exponent_last_256_mean,lyapunov_exponent_last_256_std,lyapunov_exponent_last_256_median,lyapunov_exponent_last_256_min,lyapunov_exponent_last_256_max,lyapunov_exponent_last_256_sem,lyapunov_exponent_last_256_ci95_low,lyapunov_exponent_last_256_ci95_high,lyapunov_exponent_0_1024_mean,lyapunov_exponent_0_1024_std,lyapunov_exponent_0_1024_median,lyapunov_exponent_0_1024_min,lyapunov_exponent_0_1024_max,lyapunov_exponent_0_1024_sem,lyapunov_exponent_0_1024_ci95_low,lyapunov_exponent_0_1024_ci95_high,normalized_frobenius_norm_mean,normalized_frobenius_norm_std,normalized_frobenius_norm_median,normalized_frobenius_norm_min,normalized_frobenius_norm_max,normalized_frobenius_norm_sem,normalized_frobenius_norm_ci95_low,normalized_frobenius_norm_ci95_high
step0,0,1024,100,WikiText-2 train token types; 10 frequency deciles; paired across checkpoints,190905176,1.024472331404686,0.02638753591994198,1.025173306465149,0.9574209451675415,1.086743950843811,0.002638753591994198,1.0193003743643774,1.0296442884449946,0.009188897198530374,0.007429583968077974,0.00881191654150305,-0.0028799255290389405,0.03239421384246665,0.0007429583968077974,0.007732698740787091,0.010645095656273657,0.013223399163604932,0.0038588720495693137,0.013549681803965322,0.0033695616324025514,0.02315611724656695,0.0003858872049569314,0.012467060241889346,0.013979738085320518,0.6805381894111633,0.012837713706964578,0.6805380582809448,0.6507979035377502,0.7165924310684204,0.0012837713706964579,0.6780219975245982,0.6830543812977283
step2000,2000,1024,100,WikiText-2 train token types; 10 frequency deciles; paired across checkpoints,190905176,0.9856080514192581,2.152464040253182e-06,0.9856078624725342,0.9856034517288208,0.9856133460998535,2.1524640402531822e-07,0.9856076295363062,0.98560847330221,-0.014498380428506675,1.210735592974176e-07,-0.014498389079266665,-0.014498565425653046,-0.0144979876050464,1.210735592974176e-08,-0.014498404158924297,-0.014498356698089052,-0.012081292818839719,0.0013314123002064865,-0.011961385792900535,-0.016676645584442904,-0.009833391537824514,0.00013314123002064866,-0.01234224962968019,-0.011820336007999248,0.6436906659603119,3.515556468415075e-08,0.6436906456947327,0.6436905860900879,0.6436907052993774,3.515556468415075e-09,0.6436906590698211,0.6436906728508026
step3000,3000,1024,100,WikiText-2 train token types; 10 frequency deciles; paired across checkpoints,190905176,0.9579514914751053,1.5986668618811428e-06,0.9579515159130096,0.9579483270645142,0.9579564929008484,1.5986668618811428e-07,0.9579511781364003,0.9579518048138103,-0.042958882383767376,8.48415924093993e-09,-0.04295888233515702,-0.04295890992141667,-0.04295886592923229,8.484159240939929e-10,-0.042958884046662586,-0.042958880720872165,-0.03968972884944722,0.001139544235722197,-0.03950254385404785,-0.043016214680565774,-0.037510350979339704,0.00011395442357221968,-0.03991307951964877,-0.03946637817924567,0.6283428335189819,5.88899204147652e-08,0.6283428072929382,0.6283427476882935,0.6283429265022278,5.88899204147652e-09,0.6283428219765576,0.6283428450614063
step4000,4000,1024,100,WikiText-2 train token types; 10 frequency deciles; paired across checkpoints,190905176,0.988868104815483,0.008030889075880876,0.9933413565158844,0.9746459126472473,0.9934563040733337,0.0008030889075880876,0.9872940505566103,0.9904421590743557,-0.011250581686738996,0.008141910740899087,-0.006831404987937644,-0.02597303630829445,-0.006220659904237895,0.0008141910740899087,-0.012846396191955217,-0.009654767181522776,-0.007904891190095532,0.008111345518518191,-0.0037265295147148533,-0.024093349276344624,-0.0012123406355596736,0.000811134551851819,-0.009494714911725098,-0.006315067468465966,0.6634742426872253,0.003452758559054404,0.6653921604156494,0.657360851764679,0.6654718518257141,0.0003452758559054404,0.6627975020096507,0.6641509833647999
step5000,5000,1024,100,WikiText-2 train token types; 10 frequency deciles; paired across checkpoints,190905176,1.0122445338964463,0.014545448291003732,1.0138225555419922,0.9734669327735901,1.039577603340149,0.0014545448291003733,1.0093936260314096,1.015095441761483,0.007555729670837245,0.0030421017658678893,0.008080979448649748,-0.0001821888177277822,0.014062600558383449,0.00030421017658678894,0.006959477724727139,0.008151981616947352,0.009271399383888736,0.0020053267333893163,0.009360496263332239,0.004785970297629231,0.014046483322061355,0.00020053267333893163,0.008878355344144431,0.009664443423633042,0.679212356209755,0.002915541175099384,0.6794004440307617,0.6729415059089661,0.6846923828125,0.0002915541175099384,0.6786409101394355,0.6797838022800744
step7000,7000,1024,100,WikiText-2 train token types; 10 frequency deciles; paired across checkpoints,190905176,1.0277616995573045,0.030771773882136595,1.0252307653427124,0.953923225402832,1.107422947883606,0.0030771773882136595,1.0217304318764058,1.0337929672382031,0.011211587482558804,0.01073308571859143,0.013298181937352877,-0.011803597673897118,0.037207122860052004,0.001073308571859143,0.009107902681714884,0.013315272283402724,0.016068453643505554,0.0053416429269621925,0.017357688902978022,-0.0032282834683001207,0.0243385957272934,0.0005341642926962192,0.015021491629820964,0.017115415657190144,0.7013115829229355,0.013650471337624051,0.6989828646183014,0.6599105000495911,0.7361674308776855,0.001365047133762405,0.6986360905407611,0.7039870753051098
step8000,8000,1024,100,WikiText-2 train token types; 10 frequency deciles; paired across checkpoints,190905176,1.0288021218776704,0.037587288213257644,1.021789789199829,0.9454658031463623,1.1206104755401611,0.0037587288213257646,1.0214350133878718,1.036169230367469,0.011269338776459956,0.007161855611047808,0.01071446267908064,-0.0018675436725903794,0.030118582528513686,0.0007161855611047807,0.009865615076694586,0.012673062476225325,0.014265380254917576,0.00403500796960407,0.014469841993576538,0.001774151746819406,0.021819404467966055,0.000403500796960407,0.013474518692875179,0.015056241816959973,0.7050726580619812,0.022511893244014564,0.6997668147087097,0.667613685131073,0.7699421644210815,0.0022511893244014564,0.7006603269861543,0.709484989137808
step9000,9000,1024,100,WikiText-2 train token types; 10 frequency deciles; paired across checkpoints,190905176,0.9943991845846176,0.00011485440291877694,0.9943958222866058,0.9941598176956177,0.9946155548095703,1.1485440291877694e-05,0.9943766731216456,0.9944216960475897,-0.00562639015194755,0.000229388535917565,-0.005615528379384153,-0.005931235875648164,-0.005312597416896802,2.2938853591756502e-05,-0.005671350304987393,-0.005581429998907707,-0.0034794177718740194,0.0008496300033859093,-0.003438725700088679,-0.0061317330212281385,-0.0012145853888998256,8.496300033859092e-05,-0.0036459452525376577,-0.003312890291210381,0.6946792197227478,4.603230077699613e-05,0.6946781575679779,0.6945884227752686,0.6947985887527466,4.603230077699614e-06,0.6946701973917955,0.6946882420537002
step10000,10000,1024,100,WikiText-2 train token types; 10 frequency deciles; paired across checkpoints,190905176,0.9979782456159592,0.029549446209553635,0.9895347058773041,0.9532270431518555,1.0437778234481812,0.0029549446209553637,0.9921865541588867,1.0037699370730317,2.3450629877115246e-05,0.0002722174593723455,0.00012778544503521246,-0.0004711226323559333,0.0003055453924114901,2.722174593723455e-05,-2.990399215986447e-05,7.680525191409497e-05,0.0019158365417420791,0.0015577320453219832,0.002199784559591697,-0.0033973449153667963,0.0062533698810881685,0.0001557732045321983,0.0016105210608589704,0.002221152022625188,0.6818109111593263,0.014287166424165233,0.682692882011824,0.6626405494552504,0.7030450472487041,0.0014287166424165232,0.67901062654019,0.6846111957784627
step13000,13000,1024,100,WikiText-2 train token types; 10 frequency deciles; paired across checkpoints,190905176,0.9516430485248566,1.8554669356530157e-06,0.951643168926239,0.951636016368866,0.9516470432281494,1.8554669356530157e-07,0.9516426848533373,0.9516434121963759,-0.04956596120548227,1.6090464674004166e-08,-0.04956596152107763,-0.04956603834607431,-0.04956591797166768,1.6090464674004167e-09,-0.049565964359213344,-0.049565958051751194,-0.04621737867648028,0.0013650063396871,-0.046046862921656925,-0.05198558290911818,-0.043902808533756665,0.00013650063396871,-0.04648491991905895,-0.04594983743390161,0.670616854429245,4.096375481190676e-08,0.670616865158081,0.6706167459487915,0.6706169247627258,4.096375481190676e-09,0.670616846400349,0.670616862458141
step21000,21000,1024,100,WikiText-2 train token types; 10 frequency deciles; paired across checkpoints,190905176,1.0570356005430221,0.048893317367689135,1.0489832162857056,0.9731886982917786,1.3045741319656372,0.0048893317367689135,1.0474525103389551,1.0666186907470891,0.021844080267340672,0.0086292933366614,0.02223656597986895,0.0010694417746401653,0.041318499202284184,0.00086292933366614,0.020152738773355036,0.02353542176132631,0.02473856782085648,0.005139241466726928,0.024807188833731432,0.010351598112769657,0.03808420103844713,0.0005139241466726928,0.023731276493378,0.02574585914833496,0.7096987456083298,0.02185998256745194,0.7097617387771606,0.6641207933425903,0.779863715171814,0.002185998256745194,0.7054141890251092,0.7139833021915504
