checkpoint,training_step,dynamic_step,token_count,token_selection,token_seed,spectral_radius_mean,spectral_radius_std,spectral_radius_median,spectral_radius_min,spectral_radius_max,spectral_radius_sem,spectral_radius_ci95_low,spectral_radius_ci95_high,lyapunov_exponent_last_256_mean,lyapunov_exponent_last_256_std,lyapunov_exponent_last_256_median,lyapunov_exponent_last_256_min,lyapunov_exponent_last_256_max,lyapunov_exponent_last_256_sem,lyapunov_exponent_last_256_ci95_low,lyapunov_exponent_last_256_ci95_high,lyapunov_exponent_0_1024_mean,lyapunov_exponent_0_1024_std,lyapunov_exponent_0_1024_median,lyapunov_exponent_0_1024_min,lyapunov_exponent_0_1024_max,lyapunov_exponent_0_1024_sem,lyapunov_exponent_0_1024_ci95_low,lyapunov_exponent_0_1024_ci95_high,normalized_frobenius_norm_mean,normalized_frobenius_norm_std,normalized_frobenius_norm_median,normalized_frobenius_norm_min,normalized_frobenius_norm_max,normalized_frobenius_norm_sem,normalized_frobenius_norm_ci95_low,normalized_frobenius_norm_ci95_high,projection_basis,projection_dimension_max,definition,projected_normalized_frobenius_d1_mean,projected_normalized_frobenius_d1_std,projected_normalized_frobenius_d1_median,projected_normalized_frobenius_d1_min,projected_normalized_frobenius_d1_max,projected_normalized_frobenius_d1_sem,projected_normalized_frobenius_d1_ci95_low,projected_normalized_frobenius_d1_ci95_high,projected_normalized_frobenius_d2_mean,projected_normalized_frobenius_d2_std,projected_normalized_frobenius_d2_median,projected_normalized_frobenius_d2_min,projected_normalized_frobenius_d2_max,projected_normalized_frobenius_d2_sem,projected_normalized_frobenius_d2_ci95_low,projected_normalized_frobenius_d2_ci95_high,projected_normalized_frobenius_d3_mean,projected_normalized_frobenius_d3_std,projected_normalized_frobenius_d3_median,projected_normalized_frobenius_d3_min,projected_normalized_frobenius_d3_max,projected_normalized_frobenius_d3_sem,projected_normalized_frobenius_d3_ci95_low,projected_normalized_frobenius_d3_ci95_high,projected_normalized_frobenius_d4_mean,projected_normalized_frobenius_d4_std,projected_normalized_frobenius_d4_median,projected_normalized_frobenius_d4_min,projected_normalized_frobenius_d4_max,projected_normalized_frobenius_d4_sem,projected_normalized_frobenius_d4_ci95_low,projected_normalized_frobenius_d4_ci95_high
step2000,2000,1024,100,WikiText-2 train token types; 10 frequency deciles; paired across checkpoints,190905176,0.9856080514192581,2.152464040253182e-06,0.9856078624725342,0.9856034517288208,0.9856133460998535,2.1524640402531822e-07,0.9856076295363062,0.98560847330221,-0.014498380428506675,1.210735592974176e-07,-0.014498389079266665,-0.014498565425653046,-0.0144979876050464,1.210735592974176e-08,-0.014498404158924297,-0.014498356698089052,-0.012081292818839719,0.0013314123002064865,-0.011961385792900535,-0.016676645584442904,-0.009833391537824514,0.00013314123002064866,-0.01234224962968019,-0.011820336007999248,0.6436906659603119,3.515556468415075e-08,0.6436906456947327,0.6436905860900879,0.6436907052993774,3.515556468415075e-09,0.6436906590698211,0.6436906728508026,/data1/luohaoming/model_feature/experiments_ordered/16_frequency_stratified_window_jacobian/processed/projection_basis.pt,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.47513931602239606,3.379588083979474e-08,0.475139319896698,0.4751392602920532,0.4751393795013428,3.379588083979474e-09,0.47513930939840343,0.4751393226463887,0.4827862884901556,2.6971976957238036e-08,0.48278629096638703,0.48278621663204924,0.48278635060519637,2.6971976957238036e-09,0.4827862832036481,0.4827862937766631,0.47721210003512016,2.4538303370762208e-08,0.47721210383206125,0.4772120448241971,0.4772121634314658,2.4538303370762208e-09,0.4772120952256127,0.4772121048446276,0.47235822650669723,2.3724922371088553e-08,0.4723582271092678,0.4723581680547086,0.47235829383414235,2.3724922371088553e-09,0.47235822185661247,0.472358231156782
step3000,3000,1024,100,WikiText-2 train token types; 10 frequency deciles; paired across checkpoints,190905176,0.9579514914751053,1.5986668618811428e-06,0.9579515159130096,0.9579483270645142,0.9579564929008484,1.5986668618811428e-07,0.9579511781364003,0.9579518048138103,-0.042958882383767376,8.48415924093993e-09,-0.04295888233515702,-0.04295890992141667,-0.04295886592923229,8.484159240939929e-10,-0.042958884046662586,-0.042958880720872165,-0.03968972884944722,0.001139544235722197,-0.03950254385404785,-0.043016214680565774,-0.037510350979339704,0.00011395442357221968,-0.03991307951964877,-0.03946637817924567,0.6283428335189819,5.88899204147652e-08,0.6283428072929382,0.6283427476882935,0.6283429265022278,5.88899204147652e-09,0.6283428219765576,0.6283428450614063,/data1/luohaoming/model_feature/experiments_ordered/16_frequency_stratified_window_jacobian/processed/projection_basis.pt,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.4283683317899704,4.16802243628401e-08,0.42836833000183105,0.4283682405948639,0.4283684194087982,4.16802243628401e-09,0.4283683236206464,0.4283683399592944,0.43578999657710177,3.571048671807827e-08,0.43578999483455994,0.4357899205981615,0.43579006880992455,3.5710486718078273e-09,0.43578998957784637,0.43579000357635717,0.4269098620797836,3.399205834131352e-08,0.4269098617855451,0.4269097924286854,0.42690993146891765,3.3992058341313516e-09,0.42690985541734017,0.426909868742227,0.41696627548485493,3.1207285080343945e-08,0.4169662769681604,0.4169662111921256,0.41696633787159165,3.1207285080343943e-09,0.41696626936822706,0.4169662816014828
step4000,4000,1024,100,WikiText-2 train token types; 10 frequency deciles; paired across checkpoints,190905176,0.988868104815483,0.008030889075880876,0.9933413565158844,0.9746459126472473,0.9934563040733337,0.0008030889075880876,0.9872940505566103,0.9904421590743557,-0.011250581686738996,0.008141910740899087,-0.006831404987937644,-0.02597303630829445,-0.006220659904237895,0.0008141910740899087,-0.012846396191955217,-0.009654767181522776,-0.007904891190095532,0.008111345518518191,-0.0037265295147148533,-0.024093349276344624,-0.0012123406355596736,0.000811134551851819,-0.009494714911725098,-0.006315067468465966,0.6634742426872253,0.003452758559054404,0.6653921604156494,0.657360851764679,0.6654718518257141,0.0003452758559054404,0.6627975020096507,0.6641509833647999,/data1/luohaoming/model_feature/experiments_ordered/16_frequency_stratified_window_jacobian/processed/projection_basis.pt,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.4389810481667519,0.003317719171514031,0.4408250153064728,0.4331067204475403,0.44089722633361816,0.00033177191715140313,0.4383307752091351,0.43963132112436865,0.43178301636764443,0.0020797194560492815,0.43293761863497326,0.4281007014070709,0.432991007207076,0.00020797194560492815,0.4313753913542588,0.4321906413810301,0.4192871667879086,0.0020840000071255327,0.42044569273027327,0.41559725759586563,0.420491866675907,0.00020840000071255328,0.418878702786512,0.4196956307893052,0.40376164100988127,0.00151803729947514,0.4046038407634369,0.40107385201274787,0.4046489260947825,0.000151803729947514,0.4034641056991841,0.4040591763205784
step5000,5000,1024,100,WikiText-2 train token types; 10 frequency deciles; paired across checkpoints,190905176,1.0122445338964463,0.014545448291003732,1.0138225555419922,0.9734669327735901,1.039577603340149,0.0014545448291003733,1.0093936260314096,1.015095441761483,0.007555729670837245,0.0030421017658678893,0.008080979448649748,-0.0001821888177277822,0.014062600558383449,0.00030421017658678894,0.006959477724727139,0.008151981616947352,0.009271399383888736,0.0020053267333893163,0.009360496263332239,0.004785970297629231,0.014046483322061355,0.00020053267333893163,0.008878355344144431,0.009664443423633042,0.679212356209755,0.002915541175099384,0.6794004440307617,0.6729415059089661,0.6846923828125,0.0002915541175099384,0.6786409101394355,0.6797838022800744,/data1/luohaoming/model_feature/experiments_ordered/16_frequency_stratified_window_jacobian/processed/projection_basis.pt,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.39076629281044006,0.005114885605502446,0.39131757616996765,0.37549346685409546,0.40066587924957275,0.0005114885605502446,0.3897637752317616,0.39176881038911854,0.38878849674572213,0.0025669092053320457,0.3886516310459426,0.3815103712970036,0.39467869415392565,0.0002566909205332046,0.38828538254147704,0.3892916109499672,0.37686911449927246,0.0020687861198493557,0.3767802529152189,0.37269197471193705,0.38184174367100115,0.00020687861198493557,0.376463632419782,0.37727459657876294,0.3679766222419411,0.002081941355556789,0.3681701706841377,0.3624489840072286,0.372618947116883,0.00020819413555567888,0.36756856173625196,0.36838468274763025
step7000,7000,1024,100,WikiText-2 train token types; 10 frequency deciles; paired across checkpoints,190905176,1.0277616995573045,0.030771773882136595,1.0252307653427124,0.953923225402832,1.107422947883606,0.0030771773882136595,1.0217304318764058,1.0337929672382031,0.011211587482558804,0.01073308571859143,0.013298181937352877,-0.011803597673897118,0.037207122860052004,0.001073308571859143,0.009107902681714884,0.013315272283402724,0.016068453643505554,0.0053416429269621925,0.017357688902978022,-0.0032282834683001207,0.0243385957272934,0.0005341642926962192,0.015021491629820964,0.017115415657190144,0.7013115829229355,0.013650471337624051,0.6989828646183014,0.6599105000495911,0.7361674308776855,0.001365047133762405,0.6986360905407611,0.7039870753051098,/data1/luohaoming/model_feature/experiments_ordered/16_frequency_stratified_window_jacobian/processed/projection_basis.pt,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.36378618657588957,0.01102889035532899,0.36074985563755035,0.3426273763179779,0.3902241289615631,0.001102889035532899,0.36162452406624507,0.36594784908553407,0.374117631766401,0.010024091057239613,0.37067370032719804,0.3537559638290582,0.3966297589118703,0.0010024091057239614,0.37215290991918204,0.37608235361361997,0.36179444365386665,0.00834512129683477,0.36033569367055807,0.3408218341710806,0.3820920021536285,0.0008345121296834771,0.360158799879687,0.3634300874280463,0.35374729787851344,0.008419523710785113,0.352309350704359,0.33253576233364746,0.3769242175140897,0.0008419523710785113,0.35209707123119954,0.35539752452582735
step8000,8000,1024,100,WikiText-2 train token types; 10 frequency deciles; paired across checkpoints,190905176,1.0288021218776704,0.037587288213257644,1.021789789199829,0.9454658031463623,1.1206104755401611,0.0037587288213257646,1.0214350133878718,1.036169230367469,0.011269338776459956,0.007161855611047808,0.01071446267908064,-0.0018675436725903794,0.030118582528513686,0.0007161855611047807,0.009865615076694586,0.012673062476225325,0.014265380254917576,0.00403500796960407,0.014469841993576538,0.001774151746819406,0.021819404467966055,0.000403500796960407,0.013474518692875179,0.015056241816959973,0.7050726580619812,0.022511893244014564,0.6997668147087097,0.667613685131073,0.7699421644210815,0.0022511893244014564,0.7006603269861543,0.709484989137808,/data1/luohaoming/model_feature/experiments_ordered/16_frequency_stratified_window_jacobian/processed/projection_basis.pt,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.3405822539329529,0.015568229197143702,0.339806467294693,0.30469948053359985,0.39860570430755615,0.0015568229197143702,0.3375308810103127,0.34363362685559307,0.355494161874889,0.01271073878632716,0.3528436963107576,0.3338673747354387,0.3981380616377373,0.001271073878632716,0.3530028570727689,0.35798546667700915,0.34312661066981953,0.01198389924251585,0.3414380198466481,0.3191356001419077,0.3806101803811454,0.001198389924251585,0.34077776641828644,0.3454754549213526,0.3358694370657716,0.011955914181586674,0.3350723991588805,0.31290964407350336,0.36877452037608655,0.0011955914181586674,0.3335260778861806,0.3382127962453626
step9000,9000,1024,100,WikiText-2 train token types; 10 frequency deciles; paired across checkpoints,190905176,0.9943991845846176,0.00011485440291877694,0.9943958222866058,0.9941598176956177,0.9946155548095703,1.1485440291877694e-05,0.9943766731216456,0.9944216960475897,-0.00562639015194755,0.000229388535917565,-0.005615528379384153,-0.005931235875648164,-0.005312597416896802,2.2938853591756502e-05,-0.005671350304987393,-0.005581429998907707,-0.0034794177718740194,0.0008496300033859093,-0.003438725700088679,-0.0061317330212281385,-0.0012145853888998256,8.496300033859092e-05,-0.0036459452525376577,-0.003312890291210381,0.6946792197227478,4.603230077699613e-05,0.6946781575679779,0.6945884227752686,0.6947985887527466,4.603230077699614e-06,0.6946701973917955,0.6946882420537002,/data1/luohaoming/model_feature/experiments_ordered/16_frequency_stratified_window_jacobian/processed/projection_basis.pt,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.3178019291162491,1.9032086244359527e-05,0.31780119240283966,0.3177649974822998,0.3178512454032898,1.9032086244359528e-06,0.3177981988273452,0.317805659405153,0.33102714584273735,1.2912648423744942e-05,0.33102685082748035,0.3310017880666392,0.3310606848190625,1.2912648423744942e-06,0.33102461496364627,0.3310296767218284,0.31948054008706334,9.282493767361833e-06,0.3194803805123576,0.31946187218357186,0.31950460354783616,9.282493767361834e-07,0.3194787207182849,0.31948235945584175,0.312212098811117,9.35911002467913e-06,0.31221241903790176,0.31219284619521903,0.3122351845503613,9.359110024679131e-07,0.31221026442555216,0.31221393319668184
step10000,10000,1024,100,WikiText-2 train token types; 10 frequency deciles; paired across checkpoints,190905176,0.9979782456159592,0.029549446209553635,0.9895347058773041,0.9532270431518555,1.0437778234481812,0.0029549446209553637,0.9921865541588867,1.0037699370730317,2.3450629877115246e-05,0.0002722174593723455,0.00012778544503521246,-0.0004711226323559333,0.0003055453924114901,2.722174593723455e-05,-2.990399215986447e-05,7.680525191409497e-05,0.0019158365417420791,0.0015577320453219832,0.002199784559591697,-0.0033973449153667963,0.0062533698810881685,0.0001557732045321983,0.0016105210608589704,0.002221152022625188,0.6818109111593263,0.014287166424165233,0.682692882011824,0.6626405494552504,0.7030450472487041,0.0014287166424165232,0.67901062654019,0.6846111957784627,/data1/luohaoming/model_feature/experiments_ordered/16_frequency_stratified_window_jacobian/processed/projection_basis.pt,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.3313723167777061,0.007108453771629687,0.33092132210731506,0.3218304514884949,0.34175950288772583,0.0007108453771629687,0.3299790598384667,0.33276557371694554,0.3344940574702684,0.005531693413348671,0.3346569364896095,0.3268615460425594,0.3425757759158653,0.0005531693413348671,0.333409845561252,0.33557826937928475,0.31666103881541025,0.005399208101304173,0.31673669858172737,0.30931860095339075,0.3245121197690033,0.0005399208101304173,0.31560279402755465,0.31771928360326585,0.30943883896995905,0.005672894832629972,0.3085362669335546,0.301759559580337,0.31756996268296217,0.0005672894832629972,0.3083269515827636,0.3105507263571545
step11000,11000,1024,100,WikiText-2 train token types; 10 frequency deciles; paired across checkpoints,190905176,0.9764502716064453,9.741240282267535e-07,0.9764503836631775,0.976448118686676,0.9764529466629028,9.741240282267535e-08,0.9764500806781358,0.9764504625347548,-0.023727562105162355,0.003200700875690262,-0.023438756144740593,-0.028820616082519082,-0.01883699749457229,0.0003200700875690262,-0.024354899476797646,-0.023100224733527065,-0.01906787161644205,0.002566306786025094,-0.019556938677909693,-0.024227874244631586,-0.010697061557320935,0.0002566306786025094,-0.01957086774650297,-0.01856487548638113,0.698613812327385,4.870752760621414e-08,0.6986138224601746,0.698613703250885,0.6986139416694641,4.870752760621414e-09,0.6986138027807095,0.6986138218740604,/data1/luohaoming/model_feature/experiments_ordered/16_frequency_stratified_window_jacobian/processed/projection_basis.pt,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.330025689303875,4.5695912686083683e-08,0.33002567291259766,0.3300256133079529,0.3300258219242096,4.5695912686083685e-09,0.3300256803474761,0.3300256982602739,0.34304212535411266,3.667914723675612e-08,0.34304212458965644,0.3430420338366714,0.34304222705512555,3.667914723675612e-09,0.3430421181649998,0.3430421325432255,0.32701400869948377,3.2967730004650735e-08,0.3270140098075042,0.3270139276623115,0.3270140991174348,3.2967730004650733e-09,0.3270140022378087,0.32701401516115886,0.3186484437804309,2.782545570711291e-08,0.3186484442022228,0.3186483829001329,0.3186485170748118,2.782545570711291e-09,0.3186484383266416,0.3186484492342202
step12000,12000,1024,100,WikiText-2 train token types; 10 frequency deciles; paired across checkpoints,190905176,1.0224631041288377,0.04282909160851727,1.0182085633277893,0.9454637765884399,1.118700623512268,0.0042829091608517274,1.0140686021735683,1.030857606084107,0.004932644447798083,0.004767090765935746,0.005047973704772298,-0.008135938494351038,0.015865398761745513,0.0004767090765935746,0.003998294657674677,0.005866994237921489,0.008633774358712565,0.002461358451356496,0.008832643814036145,0.0022196930991618164,0.014121240773738674,0.0002461358451356496,0.008151348102246691,0.009116200615178439,0.7097727012634277,0.020159982424914905,0.7049274146556854,0.6791361570358276,0.7493970990180969,0.0020159982424914906,0.7058213447081444,0.7137240578187111,/data1/luohaoming/model_feature/experiments_ordered/16_frequency_stratified_window_jacobian/processed/projection_basis.pt,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.33270553171634676,0.011959131298490185,0.3302011489868164,0.3155778646469116,0.3591426610946655,0.0011959131298490185,0.3303615419818427,0.3350495214508508,0.3459330403341008,0.013006240622035722,0.3417784764112217,0.32966935305800105,0.37581950902500016,0.0013006240622035722,0.3433838171721818,0.34848226349601985,0.32736071160019764,0.01086798403099978,0.32335750181283823,0.3136184833209378,0.3514600499670262,0.001086798403099978,0.3252305867301217,0.3294908364702736,0.3188963188836194,0.010383170507326026,0.31551844507258375,0.3065562907222244,0.3417828250887959,0.0010383170507326026,0.3168612174641835,0.3209314203030553
step13000,13000,1024,100,WikiText-2 train token types; 10 frequency deciles; paired across checkpoints,190905176,0.9516430485248566,1.8554669356530157e-06,0.951643168926239,0.951636016368866,0.9516470432281494,1.8554669356530157e-07,0.9516426848533373,0.9516434121963759,-0.04956596120548227,1.6090464674004166e-08,-0.04956596152107763,-0.04956603834607431,-0.04956591797166768,1.6090464674004167e-09,-0.049565964359213344,-0.049565958051751194,-0.04621737867648028,0.0013650063396871,-0.046046862921656925,-0.05198558290911818,-0.043902808533756665,0.00013650063396871,-0.04648491991905895,-0.04594983743390161,0.670616854429245,4.096375481190676e-08,0.670616865158081,0.6706167459487915,0.6706169247627258,4.096375481190676e-09,0.670616846400349,0.670616862458141,/data1/luohaoming/model_feature/experiments_ordered/16_frequency_stratified_window_jacobian/processed/projection_basis.pt,4,J_d=B_d J(x_1024) B_d^T; normalized=||J_d||_F/sqrt(d),0.3330581703782082,3.358284030625434e-08,0.3330581784248352,0.33305808901786804,0.33305823802948,3.3582840306254342e-09,0.3330581637959715,0.3330581769604449,0.3304403036223208,2.454657481725277e-08,0.3304403107223388,0.3304402513824514,0.33044034181676246,2.454657481725277e-09,0.33044029881119213,0.33044030843344946,0.3128815173413646,2.02886508348427e-08,0.3128815220019965,0.31288147140293143,0.3128815607809589,2.02886508348427e-09,0.31288151336478903,0.31288152131794017,0.30372633056700826,1.7898780602345672e-08,0.3037263333713754,0.30372628740538254,0.30372636844333895,1.7898780602345672e-09,0.3037263270588473,0.30372633407516925
