checkpoint,target_step,interval,selection_index,token_id,token,wikitext_train_count,hidden_size,projection_pairs,full_tail_deviation_rms,full_tail_step_delta_mean,full_tail_step_delta_final,expected_random_2d_capture_ratio,projection_capture_ratio_min,projection_capture_ratio_median,projection_capture_ratio_max
step10000,10000,local_fine_scan,3,38730, orientations,4,512,16,7.965759754180908,2.53267765045166,2.6381890773773193,0.0625,0.028699738904833794,0.06123417615890503,0.10152314603328705
step10000,10000,local_fine_scan,4,21853, workplace,10,512,16,7.965816020965576,2.533130407333374,2.6439461708068848,0.0625,0.02865041233599186,0.06117648631334305,0.10142821818590164
step10000,10000,local_fine_scan,5,5631, Govern,13,512,16,7.974159240722656,2.533007860183716,2.503204345703125,0.0625,0.028135674074292183,0.06175979599356651,0.10321572422981262
step10000,10000,local_fine_scan,6,30736,corn,3,512,16,7.972121715545654,2.5379207134246826,2.6720194816589355,0.0625,0.027976559475064278,0.06243376433849335,0.10083897411823273
step10000,10000,local_fine_scan,7,1338,lement,18,512,16,7.950117111206055,2.525576114654541,2.3968288898468018,0.0625,0.028548933565616608,0.06226465478539467,0.10164917260408401
step13000,12250,1000_16000_interp3,0,29104, repetitive,16,512,16,1.2557702575577423e-05,8.883997907105368e-06,9.871409929473884e-06,0.0625,0.053070876747369766,0.06442733108997345,0.07992164045572281
step13000,12250,1000_16000_interp3,1,10020, semi,112,512,16,1.2287192475923803e-05,8.927928320190404e-06,8.373925993510056e-06,0.0625,0.05442844331264496,0.062355171889066696,0.07323727756738663
step13000,12250,1000_16000_interp3,2,1941, evidence,284,512,16,1.321042418567231e-05,9.054821020981763e-06,9.564930223859847e-06,0.0625,0.05399429053068161,0.06365296989679337,0.07530046254396439
step13000,12250,1000_16000_interp3,3,38730, orientations,4,512,16,1.233411421708297e-05,8.843224350130185e-06,8.582916962041054e-06,0.0625,0.045776743441820145,0.06194722279906273,0.0776689350605011
step13000,12250,1000_16000_interp3,4,21853, workplace,10,512,16,1.297787548537599e-05,8.933162462199107e-06,9.335935828858055e-06,0.0625,0.05246356129646301,0.059340950101614,0.07503169029951096
step13000,12250,1000_16000_interp3,5,5631, Govern,13,512,16,1.342550604022108e-05,9.08075162442401e-06,8.455507668259088e-06,0.0625,0.046095460653305054,0.06292367726564407,0.07573957741260529
step13000,12250,1000_16000_interp3,6,30736,corn,3,512,16,1.2010264981654473e-05,8.918198545870837e-06,8.54556401463924e-06,0.0625,0.051376789808273315,0.059958186000585556,0.07077249139547348
step13000,12250,1000_16000_interp3,7,1338,lement,18,512,16,1.3022987332078628e-05,9.025318831845652e-06,8.638977305963635e-06,0.0625,0.05379617586731911,0.06524991989135742,0.07944231480360031
step16000,16000,endpoint,0,29104, repetitive,16,512,16,0.0004659488331526518,0.00011686149082379416,6.557198503287509e-05,0.0625,0.03596809506416321,0.0566425696015358,0.0977601557970047
step16000,16000,endpoint,1,10020, semi,112,512,16,0.0015098823932930827,0.00021424892474897206,0.00011479163367766887,0.0625,0.025120873004198074,0.046801239252090454,0.12714138627052307
step16000,16000,endpoint,2,1941, evidence,284,512,16,0.0033614677377045155,0.0005241678445599973,0.0004071348230354488,0.0625,0.02912675030529499,0.0482245609164238,0.11903800070285797
step16000,16000,endpoint,3,38730, orientations,4,512,16,0.001117900013923645,0.00017391852452419698,7.762254972476512e-05,0.0625,0.029151014983654022,0.0484018549323082,0.12308452278375626
step16000,16000,endpoint,4,21853, workplace,10,512,16,0.0023295057471841574,0.00033144286135211587,0.0001788143126759678,0.0625,0.025484979152679443,0.04636343568563461,0.12716144323349
step16000,16000,endpoint,5,5631, Govern,13,512,16,0.0023349113762378693,0.0003454884863458574,0.0002057641395367682,0.0625,0.027415914461016655,0.04704071581363678,0.12656065821647644
step16000,16000,endpoint,6,30736,corn,3,512,16,0.00046763886348344386,0.00010283759911544621,8.010237070266157e-05,0.0625,0.03882116079330444,0.05181989073753357,0.10194423794746399
step16000,16000,endpoint,7,1338,lement,18,512,16,0.0006793327629566193,0.00010632834164425731,5.964134106761776e-05,0.0625,0.03079308196902275,0.04894261434674263,0.12603886425495148
step37000,37167,16000_143000_interp1,0,29104, repetitive,16,512,16,9.875627517700195,1.818867564201355,2.0667576789855957,0.0625,0.043758828192949295,0.06237470731139183,0.10098260641098022
step37000,37167,16000_143000_interp1,1,10020, semi,112,512,16,6.964174270629883,1.2687928676605225,1.5057049989700317,0.0625,0.03845883905887604,0.06213720887899399,0.0969744399189949
step37000,37167,16000_143000_interp1,2,1941, evidence,284,512,16,10.607062339782715,1.0991407632827759,1.3728456497192383,0.0625,0.029438750818371773,0.07373568415641785,0.09762034565210342
step37000,37167,16000_143000_interp1,3,38730, orientations,4,512,16,23.370969772338867,3.671407461166382,2.934959650039673,0.0625,0.03819868341088295,0.05966182053089142,0.10629253089427948
step37000,37167,16000_143000_interp1,4,21853, workplace,10,512,16,20.821264266967773,3.0625035762786865,3.5209617614746094,0.0625,0.03800392150878906,0.061538200825452805,0.10767266154289246
step37000,37167,16000_143000_interp1,5,5631, Govern,13,512,16,12.294514656066895,1.7106131315231323,1.9208710193634033,0.0625,0.03753671422600746,0.06732051074504852,0.09099619090557098
step37000,37167,16000_143000_interp1,6,30736,corn,3,512,16,14.13614273071289,2.521183490753174,1.5050873756408691,0.0625,0.03204475715756416,0.05942981317639351,0.09121815115213394
step37000,37167,16000_143000_interp1,7,1338,lement,18,512,16,17.28557586669922,2.68729305267334,3.1373865604400635,0.0625,0.04502403736114502,0.06188001483678818,0.09420183300971985
step57000,58333,16000_143000_interp2,0,29104, repetitive,16,512,16,40.545860290527344,5.168412685394287,2.0571517944335938,0.0625,0.03457920253276825,0.06240971386432648,0.09065762907266617
step57000,58333,16000_143000_interp2,1,10020, semi,112,512,16,38.74797439575195,4.9484357833862305,2.196432113647461,0.0625,0.032636504620313644,0.06173758581280708,0.09076029062271118
step57000,58333,16000_143000_interp2,2,1941, evidence,284,512,16,33.756988525390625,3.5529069900512695,2.302063465118408,0.0625,0.023106178268790245,0.06581555306911469,0.09714791178703308
step57000,58333,16000_143000_interp2,3,38730, orientations,4,512,16,38.929866790771484,4.974041938781738,2.1828830242156982,0.0625,0.03316287323832512,0.061899151653051376,0.09081423282623291
step57000,58333,16000_143000_interp2,4,21853, workplace,10,512,16,34.33280944824219,3.6926329135894775,2.311876058578491,0.0625,0.024210207164287567,0.06585156172513962,0.09594634175300598
step57000,58333,16000_143000_interp2,5,5631, Govern,13,512,16,30.236268997192383,2.863382339477539,7.458321571350098,0.0625,0.03229115530848503,0.06607422977685928,0.10573609918355942
step57000,58333,16000_143000_interp2,6,30736,corn,3,512,16,27.838224411010742,2.2711198329925537,2.9581797122955322,0.0625,0.028366081416606903,0.062111228704452515,0.09493106603622437
step57000,58333,16000_143000_interp2,7,1338,lement,18,512,16,35.006797790527344,3.9205985069274902,2.328191041946411,0.0625,0.025882704183459282,0.06389198452234268,0.09639575332403183
step81000,79500,16000_143000_interp3,0,29104, repetitive,16,512,16,2.474943539709784e-05,3.3529977372381836e-05,3.347206438775174e-05,0.0625,0.031222645193338394,0.05696612223982811,0.10629254579544067
step81000,79500,16000_143000_interp3,1,10020, semi,112,512,16,2.5106164684984833e-05,3.3552394597791135e-05,3.432875018916093e-05,0.0625,0.030690981075167656,0.05705235153436661,0.10734951496124268
step81000,79500,16000_143000_interp3,2,1941, evidence,284,512,16,2.3120925106923096e-05,2.886406218749471e-05,3.345799996168353e-05,0.0625,0.034319937229156494,0.0544012226164341,0.11538447439670563
step81000,79500,16000_143000_interp3,3,38730, orientations,4,512,16,2.4261502403533086e-05,3.278082294855267e-05,3.349021790199913e-05,0.0625,0.029928060248494148,0.05621518939733505,0.11106673628091812
step81000,79500,16000_143000_interp3,4,21853, workplace,10,512,16,2.4001892597880214e-05,3.1198298529488966e-05,3.3676922612357885e-05,0.0625,0.02867799624800682,0.0608941875398159,0.10575227439403534
step81000,79500,16000_143000_interp3,5,5631, Govern,13,512,16,2.3478078219341114e-05,2.9267423087731004e-05,3.339851537020877e-05,0.0625,0.03022328019142151,0.058682989329099655,0.10315529257059097
step81000,79500,16000_143000_interp3,6,30736,corn,3,512,16,2.4307568310177885e-05,3.141103297821246e-05,3.395599196664989e-05,0.0625,0.03364551067352295,0.05850595235824585,0.10667734593153
step81000,79500,16000_143000_interp3,7,1338,lement,18,512,16,3.381026544957422e-05,2.8520647902041674e-05,3.2291925890604034e-05,0.0625,0.02457861788570881,0.05813373252749443,0.11781619489192963
step101000,100667,16000_143000_interp4,0,29104, repetitive,16,512,16,3.1456234864890575e-05,1.85788612725446e-05,2.133355155820027e-05,0.0625,0.03618023172020912,0.05270526930689812,0.07260601222515106
step101000,100667,16000_143000_interp4,1,10020, semi,112,512,16,3.077472501900047e-05,1.951709964487236e-05,3.24464199366048e-05,0.0625,0.028953541070222855,0.04452242702245712,0.08590926975011826
step101000,100667,16000_143000_interp4,2,1941, evidence,284,512,16,3.285367347416468e-05,1.8334969354327768e-05,1.9139248252031393e-05,0.0625,0.026744913309812546,0.051823683083057404,0.08901594579219818
step101000,100667,16000_143000_interp4,3,38730, orientations,4,512,16,3.0432758649112657e-05,1.8201713828602806e-05,1.5577999874949455e-05,0.0625,0.03153979405760765,0.051178183406591415,0.09399711340665817
step101000,100667,16000_143000_interp4,4,21853, workplace,10,512,16,3.4768796467687935e-05,1.9111650544800796e-05,2.6020576115115546e-05,0.0625,0.029215099290013313,0.052905358374118805,0.09704114496707916
step101000,100667,16000_143000_interp4,5,5631, Govern,13,512,16,3.518207813613117e-05,1.8747141439234838e-05,1.1753606486308854e-05,0.0625,0.03275064751505852,0.04531204327940941,0.08939697593450546
step101000,100667,16000_143000_interp4,6,30736,corn,3,512,16,3.489819573587738e-05,1.8956543499371037e-05,1.9645653082989156e-05,0.0625,0.028668047860264778,0.05502616614103317,0.09965387731790543
step101000,100667,16000_143000_interp4,7,1338,lement,18,512,16,3.369391561136581e-05,1.8847866158466786e-05,1.7454733097110875e-05,0.0625,0.027201665565371513,0.047152310609817505,0.09524368494749069
step121000,121833,16000_143000_interp5,0,29104, repetitive,16,512,16,4.885860835202038e-05,1.2278718713787384e-05,1.1119352166133467e-05,0.0625,0.021008271723985672,0.04890761524438858,0.08065247535705566
step121000,121833,16000_143000_interp5,1,10020, semi,112,512,16,4.704025559476577e-05,1.404904014634667e-05,1.0574277439445723e-05,0.0625,0.024005485698580742,0.051720310002565384,0.08943714946508408
step121000,121833,16000_143000_interp5,2,1941, evidence,284,512,16,4.741299562738277e-05,1.2511581189755816e-05,1.1007513421645854e-05,0.0625,0.016989311203360558,0.048856500536203384,0.097020722925663
step121000,121833,16000_143000_interp5,3,38730, orientations,4,512,16,4.782752148457803e-05,1.181837978947442e-05,1.3061715435469523e-05,0.0625,0.019802000373601913,0.04298238456249237,0.08433332294225693
step121000,121833,16000_143000_interp5,4,21853, workplace,10,512,16,4.750178777612746e-05,1.3768285498372279e-05,1.0350441698392387e-05,0.0625,0.03270000219345093,0.04597755894064903,0.08401534706354141
step121000,121833,16000_143000_interp5,5,5631, Govern,13,512,16,4.708236156147905e-05,1.3109901374264155e-05,9.842045983532444e-06,0.0625,0.02636086568236351,0.04311898723244667,0.08175229281187057
step121000,121833,16000_143000_interp5,6,30736,corn,3,512,16,4.721460209111683e-05,1.2042872185702436e-05,9.916655471897684e-06,0.0625,0.020899325609207153,0.0487627349793911,0.0875023901462555
step121000,121833,16000_143000_interp5,7,1338,lement,18,512,16,4.7253222874132916e-05,1.305456316913478e-05,1.0905532690230757e-05,0.0625,0.020387491211295128,0.04247080534696579,0.06811033189296722
step143000,143000,endpoint,0,29104, repetitive,16,512,16,5.220302409725264e-05,1.7494843632448465e-05,1.1962431017309427e-05,0.0625,0.029446765780448914,0.045632027089595795,0.11971508711576462
step143000,143000,endpoint,1,10020, semi,112,512,16,5.33005477336701e-05,1.796458673197776e-05,3.3961390727199614e-05,0.0625,0.023886503651738167,0.051176369190216064,0.13153405487537384
step143000,143000,endpoint,2,1941, evidence,284,512,16,5.638908260152675e-05,1.7196678527398035e-05,1.4038791960047092e-05,0.0625,0.03073202446103096,0.0558343231678009,0.11730996519327164
step143000,143000,endpoint,3,38730, orientations,4,512,16,5.3114945330889896e-05,1.9000819520442747e-05,1.7314816432190128e-05,0.0625,0.022677291184663773,0.05353127047419548,0.13432425260543823
step143000,143000,endpoint,4,21853, workplace,10,512,16,5.363685704651289e-05,1.9022918422706425e-05,2.0408346244948916e-05,0.0625,0.029359139502048492,0.04765648767352104,0.12040925025939941
step143000,143000,endpoint,5,5631, Govern,13,512,16,5.485318979481235e-05,1.9340222934260964e-05,1.5233163139782846e-05,0.0625,0.024221086874604225,0.04595087468624115,0.14673784375190735
step143000,143000,endpoint,6,30736,corn,3,512,16,5.411030724644661e-05,1.9200599126634188e-05,1.5116917893465143e-05,0.0625,0.026574358344078064,0.04424777254462242,0.1334565430879593
step143000,143000,endpoint,7,1338,lement,18,512,16,5.278989192447625e-05,1.7030499293468893e-05,1.5305400665965863e-05,0.0625,0.02244364470243454,0.05196310952305794,0.13217227160930634
