checkpoint,n_tokens,median_cosine_similarity,median_cosine_margin,median_cosine_vocab_zscore,high_separation_fraction,neighbor_is_source_fraction,neighbor_matches_lm_top1_fraction,median_lm_top1_probability,median_lm_normalized_entropy,median_center_relative_radius,across_token_center_distance_mean,across_token_center_distance_max,across_token_center_distance_relative_mean,across_token_pairwise_distance_max
step0,32,0.18338403850793839,0.009189747273921967,4.147294510686682,0.03125,0.0,0.0,0.00016655679792165756,0.98686084151268,0.6248295307159424,11.361345291137695,17.728389739990234,0.7818168997764587,28.502017974853516
step1000,32,0.1952640563249588,0.010056257247924805,4.284393829643679,0.0,0.0,0.0,0.0968950130045414,0.6779130697250366,0.4194878041744232,7.664770126342773,13.024794578552246,0.30924227833747864,21.368118286132812
step16000,32,0.1847596988081932,0.014458857476711273,4.272433748928064,0.0,0.0,0.0,0.171880342066288,0.49835705757141113,3.800238482654095e-05,0.00041867871186695993,0.0011650437954813242,9.290362868341617e-06,0.0020105752628296614
step143000,32,0.18602263927459717,0.00203840434551239,3.902422578754979,0.0,0.0,0.0,0.03662262298166752,0.7294166088104248,1.2220637302107207e-07,4.05307873734273e-05,4.4070893636671826e-05,8.988219946104437e-08,3.0208842872525565e-05
