experiment,model,checkpoint,sequence_length,sample_index,operator_update,target,token_mode,phase_label,step_index,state_norm,step_delta,nearby_distance,section_level,section_value,section_crossing,crossing_order,normalized_frobenius_geomean,edge_distance_log
pythia_dynamical_edge_small,EleutherAI/pythia-70m,main,64,0,direct,final_hidden,nonpad_flattened,bounded_nonfixed_like,2,1190.6082763671875,8.040884017944336,0.0015960761811584234,1190.17529296875,0.4329833984375,1,1,0.4656865921094409,0.7642424202404771
pythia_dynamical_edge_small,EleutherAI/pythia-70m,main,64,1,direct,final_hidden,nonpad_flattened,bounded_nonfixed_like,2,3599.731689453125,25.327545166015625,0.006485013756901026,3598.4150390625,1.316650390625,1,1,0.46395003712479793,0.7679784111639888
pythia_dynamical_edge_small,EleutherAI/pythia-70m,main,64,2,direct,final_hidden,nonpad_flattened,bounded_nonfixed_like,2,1006.3204345703125,6.625582218170166,0.00038328979280777276,1005.9652099609375,0.355224609375,1,1,0.46689955124908444,0.761641138134248
pythia_dynamical_edge_small,EleutherAI/pythia-70m,main,64,3,direct,final_hidden,nonpad_flattened,bounded_nonfixed_like,2,3599.515869140625,25.492687225341797,0.004867421928793192,3598.1138916015625,1.4019775390625,1,1,0.4640538517372839,0.7677546737116677
