experiment,model,checkpoint,sequence_length,sample_index,operator_update,target,token_mode,phase_label,step_index,state_norm,step_delta,nearby_distance,section_level,section_value,section_crossing,crossing_order,normalized_frobenius_geomean,edge_distance_log
pythia_dynamical_edge_small,EleutherAI/pythia-70m,main,64,0,direct,final_hidden,nonpad_flattened,bounded_nonfixed_like,0,1188.550048828125,18.7237548828125,0.004017401020973921,1190.17529296875,-1.625244140625,0,0,0.4656865921094409,0.7642424202404771
pythia_dynamical_edge_small,EleutherAI/pythia-70m,main,64,0,direct,final_hidden,nonpad_flattened,bounded_nonfixed_like,1,1189.7423095703125,11.878454208374023,0.002473494503647089,1190.17529296875,-0.4329833984375,0,0,0.4656865921094409,0.7642424202404771
pythia_dynamical_edge_small,EleutherAI/pythia-70m,main,64,0,direct,final_hidden,nonpad_flattened,bounded_nonfixed_like,2,1190.6082763671875,8.040884017944336,0.0015960761811584234,1190.17529296875,0.4329833984375,1,1,0.4656865921094409,0.7642424202404771
pythia_dynamical_edge_small,EleutherAI/pythia-70m,main,64,0,direct,final_hidden,nonpad_flattened,bounded_nonfixed_like,3,1191.2373046875,5.710973739624023,0.0010836489964276552,1190.17529296875,1.06201171875,0,0,0.4656865921094409,0.7642424202404771
pythia_dynamical_edge_small,EleutherAI/pythia-70m,main,64,1,direct,final_hidden,nonpad_flattened,bounded_nonfixed_like,0,3593.485595703125,57.92910385131836,0.015106827020645142,3598.4150390625,-4.929443359375,0,0,0.46395003712479793,0.7679784111639888
pythia_dynamical_edge_small,EleutherAI/pythia-70m,main,64,1,direct,final_hidden,nonpad_flattened,bounded_nonfixed_like,1,3597.098388671875,37.038673400878906,0.009649519808590412,3598.4150390625,-1.316650390625,0,0,0.46395003712479793,0.7679784111639888
pythia_dynamical_edge_small,EleutherAI/pythia-70m,main,64,1,direct,final_hidden,nonpad_flattened,bounded_nonfixed_like,2,3599.731689453125,25.327545166015625,0.006485013756901026,3598.4150390625,1.316650390625,1,1,0.46395003712479793,0.7679784111639888
pythia_dynamical_edge_small,EleutherAI/pythia-70m,main,64,1,direct,final_hidden,nonpad_flattened,bounded_nonfixed_like,3,3601.66455078125,18.167367935180664,0.004533095750957727,3598.4150390625,3.24951171875,0,0,0.46395003712479793,0.7679784111639888
pythia_dynamical_edge_small,EleutherAI/pythia-70m,main,64,2,direct,final_hidden,nonpad_flattened,bounded_nonfixed_like,0,1004.6287841796875,15.414210319519043,0.0010303653543815017,1005.9652099609375,-1.33642578125,0,0,0.46689955124908444,0.761641138134248
pythia_dynamical_edge_small,EleutherAI/pythia-70m,main,64,2,direct,final_hidden,nonpad_flattened,bounded_nonfixed_like,1,1005.6099853515625,9.809098243713379,0.0006163133657537401,1005.9652099609375,-0.355224609375,0,0,0.46689955124908444,0.761641138134248
pythia_dynamical_edge_small,EleutherAI/pythia-70m,main,64,2,direct,final_hidden,nonpad_flattened,bounded_nonfixed_like,2,1006.3204345703125,6.625582218170166,0.00038328979280777276,1005.9652099609375,0.355224609375,1,1,0.46689955124908444,0.761641138134248
pythia_dynamical_edge_small,EleutherAI/pythia-70m,main,64,2,direct,final_hidden,nonpad_flattened,bounded_nonfixed_like,3,1006.83544921875,4.6825761795043945,0.0002482292184140533,1005.9652099609375,0.8702392578125,0,0,0.46689955124908444,0.761641138134248
pythia_dynamical_edge_small,EleutherAI/pythia-70m,main,64,3,direct,final_hidden,nonpad_flattened,bounded_nonfixed_like,0,3592.81494140625,58.397464752197266,0.012277415953576565,3598.1138916015625,-5.2989501953125,0,0,0.4640538517372839,0.7677546737116677
pythia_dynamical_edge_small,EleutherAI/pythia-70m,main,64,3,direct,final_hidden,nonpad_flattened,bounded_nonfixed_like,1,3596.7119140625,37.34964370727539,0.007546321023255587,3598.1138916015625,-1.4019775390625,0,0,0.4640538517372839,0.7677546737116677
pythia_dynamical_edge_small,EleutherAI/pythia-70m,main,64,3,direct,final_hidden,nonpad_flattened,bounded_nonfixed_like,2,3599.515869140625,25.492687225341797,0.004867421928793192,3598.1138916015625,1.4019775390625,1,1,0.4640538517372839,0.7677546737116677
pythia_dynamical_edge_small,EleutherAI/pythia-70m,main,64,3,direct,final_hidden,nonpad_flattened,bounded_nonfixed_like,3,3601.549560546875,18.226057052612305,0.0032782768830657005,3598.1138916015625,3.4356689453125,0,0,0.4640538517372839,0.7677546737116677
