active_dim,actual_eval_states,batch_index,burn_in_steps,checkpoint,dataset,dataset_config,dataset_split,device,dtype,eval_steps,experiment,git_commit,input_shape,input_space,method,model,nearby_distance,operator_update,residual_alpha,sample_index,sequence_length,state_norm,step_delta,step_index,target,timestamp,token_mode,tokenizer
3584,16,0,4,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,16,pythia_dynamical_edge_metrics_smoke,8d357f14794a20029ca3c919ede79629908f598a,"[1, 32, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,8.837092173052952e-05,direct,1.0,0,32,1192.89599609375,0.5330461263656616,12,final_hidden,2026-07-09T12:06:29.625999+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,16,0,4,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,16,pythia_dynamical_edge_metrics_smoke,8d357f14794a20029ca3c919ede79629908f598a,"[1, 32, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,8.744729711906984e-05,direct,1.0,0,32,1192.9315185546875,0.4183374047279358,13,final_hidden,2026-07-09T12:06:29.625999+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,16,0,4,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,16,pythia_dynamical_edge_metrics_smoke,8d357f14794a20029ca3c919ede79629908f598a,"[1, 32, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,8.000520028872415e-05,direct,1.0,0,32,1192.9591064453125,0.32867714762687683,14,final_hidden,2026-07-09T12:06:29.625999+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,16,0,4,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,16,pythia_dynamical_edge_metrics_smoke,8d357f14794a20029ca3c919ede79629908f598a,"[1, 32, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,8.028760930756107e-05,direct,1.0,0,32,1192.9803466796875,0.258404016494751,15,final_hidden,2026-07-09T12:06:29.625999+00:00,nonpad_flattened,EleutherAI/pythia-70m
16384,16,1,4,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,16,pythia_dynamical_edge_metrics_smoke,8d357f14794a20029ca3c919ede79629908f598a,"[1, 32, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.00973419938236475,direct,1.0,1,32,2540.9853515625,40.83340072631836,0,final_hidden,2026-07-09T12:06:29.625999+00:00,nonpad_flattened,EleutherAI/pythia-70m
16384,16,1,4,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,16,pythia_dynamical_edge_metrics_smoke,8d357f14794a20029ca3c919ede79629908f598a,"[1, 32, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.006150699220597744,direct,1.0,1,32,2543.54150390625,26.169605255126953,1,final_hidden,2026-07-09T12:06:29.625999+00:00,nonpad_flattened,EleutherAI/pythia-70m
16384,16,1,4,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,16,pythia_dynamical_edge_metrics_smoke,8d357f14794a20029ca3c919ede79629908f598a,"[1, 32, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.004063696600496769,direct,1.0,1,32,2545.406494140625,17.898958206176758,2,final_hidden,2026-07-09T12:06:29.625999+00:00,nonpad_flattened,EleutherAI/pythia-70m
16384,16,1,4,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,16,pythia_dynamical_edge_metrics_smoke,8d357f14794a20029ca3c919ede79629908f598a,"[1, 32, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.002784589771181345,direct,1.0,1,32,2546.7744140625,12.826364517211914,3,final_hidden,2026-07-09T12:06:29.625999+00:00,nonpad_flattened,EleutherAI/pythia-70m
16384,16,1,4,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,16,pythia_dynamical_edge_metrics_smoke,8d357f14794a20029ca3c919ede79629908f598a,"[1, 32, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.0019673292990773916,direct,1.0,1,32,2547.783447265625,9.48427963256836,4,final_hidden,2026-07-09T12:06:29.625999+00:00,nonpad_flattened,EleutherAI/pythia-70m
16384,16,1,4,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,16,pythia_dynamical_edge_metrics_smoke,8d357f14794a20029ca3c919ede79629908f598a,"[1, 32, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.0014155288226902485,direct,1.0,1,32,2548.53125,7.1583075523376465,5,final_hidden,2026-07-09T12:06:29.625999+00:00,nonpad_flattened,EleutherAI/pythia-70m
