active_dim,actual_eval_states,batch_index,burn_in_steps,checkpoint,dataset,dataset_config,dataset_split,device,dtype,eval_steps,experiment,git_commit,input_shape,input_space,method,model,nearby_distance,operator_update,residual_alpha,sample_index,sequence_length,state_norm,step_delta,step_index,target,timestamp,token_mode,tokenizer
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,8.635356789454818e-05,direct,1.0,0,64,1192.9967041015625,0.20329321920871735,12,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,8.880131645128131e-05,direct,1.0,0,64,1193.009521484375,0.1600240021944046,13,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,7.476354949176311e-05,direct,1.0,0,64,1193.019287109375,0.1260042041540146,14,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,8.277709275716916e-05,direct,1.0,0,64,1193.027099609375,0.09923822432756424,15,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,7.82958886702545e-05,direct,1.0,0,64,1193.0330810546875,0.07818800210952759,16,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,7.087283302098513e-05,direct,1.0,0,64,1193.037841796875,0.06162001192569733,17,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,7.294003444258124e-05,direct,1.0,0,64,1193.04150390625,0.04856366291642189,18,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,8.191828237613663e-05,direct,1.0,0,64,1193.0443115234375,0.038269296288490295,19,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,7.395545981125906e-05,direct,1.0,0,64,1193.046630859375,0.030163880437612534,20,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_dynamical_edge_metrics_small,8d357f14794a20029ca3c919ede79629908f598a,"[1, 64, 512]",inputs_embeds,paper_style_feedback_dynamics,EleutherAI/pythia-70m,8.003039692994207e-05,direct,1.0,0,64,1193.04833984375,0.02379530481994152,21,final_hidden,2026-07-09T12:10:31.351394+00:00,nonpad_flattened,EleutherAI/pythia-70m
