output_scale,product_window,product_log_gain_mean
1.0,2,-0.7365484959366723
1.0,4,-0.6762097734191083
2.0,2,-0.6567982214859698
2.0,4,-0.6003097666787962
2.5,2,-0.6414330356956464
2.5,4,-0.5855698081583085
