checkpoint,training_step,dynamic_step,selection_index,token_id,token,wikitext_train_count,frequency_bin,spectral_radius,operator_norm_2,jacobian_frobenius_norm,runtime_seconds,proof_pile2_test_loss
step8000,8000,0,0,21825, clones,2,0,11.317341804504395,68.62889862060547,235.43287658691406,0.5349318608641624,4.028237660725911
step8000,8000,0,1,46808, trustworthy,3,1,12.066054344177246,76.90272521972656,254.65447998046875,0.4930199384689331,4.028237660725911
step8000,8000,0,2,23778, motive,8,2,12.957819938659668,79.2202377319336,283.5421142578125,0.5654945112764835,4.028237660725911
step8000,8000,0,3,42548, generosity,8,3,15.138679504394531,108.52937316894531,337.70599365234375,0.5421688966453075,4.028237660725911
step8000,8000,0,4,29254, critique,18,4,12.07136058807373,79.8131332397461,257.21673583984375,0.5493131056427956,4.028237660725911
step8000,8000,0,5,19211, cabinet,33,5,12.800332069396973,67.46367645263672,267.6143798828125,0.485389169305563,4.028237660725911
step8000,8000,0,6,14290, documented,48,6,10.273787498474121,75.62251281738281,230.18692016601562,0.561942633241415,4.028237660725911
step8000,8000,0,7,6574, miles,404,7,19.451814651489258,138.91627502441406,411.4823303222656,0.5055004321038723,4.028237660725911
step8000,8000,64,0,21825, clones,2,0,1.0067486763000488,2.017313241958618,15.673821449279785,0.5891598388552666,4.028237660725911
step8000,8000,64,1,46808, trustworthy,3,1,1.0224971771240234,2.1253862380981445,15.95470142364502,0.536533035337925,4.028237660725911
step8000,8000,64,2,23778, motive,8,2,0.9973319172859192,2.023697853088379,15.704339027404785,0.5313389003276825,4.028237660725911
step8000,8000,64,3,42548, generosity,8,3,1.037951111793518,2.253955602645874,16.400222778320312,0.4923004135489464,4.028237660725911
step8000,8000,64,4,29254, critique,18,4,1.0160597562789917,2.0772321224212646,15.800369262695312,0.5471903197467327,4.028237660725911
step8000,8000,64,5,19211, cabinet,33,5,1.0300724506378174,2.2154040336608887,15.855535507202148,0.49430694803595543,4.028237660725911
step8000,8000,64,6,14290, documented,48,6,1.023414134979248,2.0294735431671143,15.889636039733887,0.5203470252454281,4.028237660725911
step8000,8000,64,7,6574, miles,404,7,1.0114555358886719,2.034916400909424,15.6593656539917,0.5520931407809258,4.028237660725911
step8000,8000,128,0,21825, clones,2,0,0.9890033602714539,2.124621629714966,15.617055892944336,0.5455890707671642,4.028237660725911
step8000,8000,128,1,46808, trustworthy,3,1,1.0224878787994385,1.9537245035171509,15.887239456176758,0.5168469399213791,4.028237660725911
step8000,8000,128,2,23778, motive,8,2,0.9755192995071411,1.9044997692108154,15.237035751342773,0.5259886011481285,4.028237660725911
step8000,8000,128,3,42548, generosity,8,3,1.0607967376708984,2.2742221355438232,16.42401695251465,0.5281512290239334,4.028237660725911
step8000,8000,128,4,29254, critique,18,4,1.0097955465316772,1.858002781867981,15.976770401000977,0.4763198494911194,4.028237660725911
step8000,8000,128,5,19211, cabinet,33,5,1.000478982925415,1.886831521987915,15.678462982177734,0.5267553888261318,4.028237660725911
step8000,8000,128,6,14290, documented,48,6,1.0029431581497192,2.063932418823242,15.685009956359863,0.5239215791225433,4.028237660725911
step8000,8000,128,7,6574, miles,404,7,1.013176679611206,1.9792619943618774,15.842743873596191,0.5443702414631844,4.028237660725911
step8000,8000,192,0,21825, clones,2,0,1.0233173370361328,2.0801517963409424,15.74399471282959,0.5406731441617012,4.028237660725911
step8000,8000,192,1,46808, trustworthy,3,1,1.0212469100952148,2.1386163234710693,15.906752586364746,0.46009770408272743,4.028237660725911
step8000,8000,192,2,23778, motive,8,2,1.0709466934204102,2.0981578826904297,15.947534561157227,0.5151172764599323,4.028237660725911
step8000,8000,192,3,42548, generosity,8,3,1.036446213722229,2.0897231101989746,16.012897491455078,0.524811252951622,4.028237660725911
step8000,8000,192,4,29254, critique,18,4,1.0446754693984985,2.2684097290039062,16.122953414916992,0.5272532664239407,4.028237660725911
step8000,8000,192,5,19211, cabinet,33,5,1.029820203781128,2.055838108062744,15.757867813110352,0.4871422201395035,4.028237660725911
step8000,8000,192,6,14290, documented,48,6,1.0776326656341553,2.292900323867798,16.307735443115234,0.5219991765916348,4.028237660725911
step8000,8000,192,7,6574, miles,404,7,1.0763499736785889,2.1434667110443115,16.012779235839844,0.5275236032903194,4.028237660725911
step8000,8000,256,0,21825, clones,2,0,1.07562255859375,2.2681100368499756,16.767333984375,0.5384418033063412,4.028237660725911
step8000,8000,256,1,46808, trustworthy,3,1,1.0826730728149414,2.0974044799804688,16.85800552368164,0.510742474347353,4.028237660725911
step8000,8000,256,2,23778, motive,8,2,0.9681211709976196,1.7624561786651611,15.455390930175781,0.5523390956223011,4.028237660725911
