checkpoint,training_step,dynamic_step,selection_index,token_id,token,wikitext_train_count,frequency_bin,spectral_radius,operator_norm_2,jacobian_frobenius_norm,runtime_seconds,proof_pile2_test_loss
step9000,9000,0,0,21825, clones,2,0,10.51060676574707,70.87491607666016,230.1397705078125,0.5275197848677635,3.997703287336561
step9000,9000,0,1,46808, trustworthy,3,1,12.811391830444336,92.3369140625,266.1037902832031,0.5703890286386013,3.997703287336561
step9000,9000,0,2,23778, motive,8,2,13.695155143737793,73.24398040771484,284.48193359375,0.5500259064137936,3.997703287336561
step9000,9000,0,3,42548, generosity,8,3,13.61357307434082,75.70645141601562,300.0240478515625,0.5842724032700062,3.997703287336561
step9000,9000,0,4,29254, critique,18,4,10.514801979064941,64.88626098632812,231.614013671875,0.5205686315894127,3.997703287336561
step9000,9000,0,5,19211, cabinet,33,5,13.600142478942871,89.9997329711914,284.1993408203125,0.5356354787945747,3.997703287336561
step9000,9000,0,6,14290, documented,48,6,10.89648723602295,65.42445373535156,217.0972442626953,0.5232187397778034,3.997703287336561
step9000,9000,0,7,6574, miles,404,7,21.422388076782227,136.02114868164062,420.8398132324219,0.5836374498903751,3.997703287336561
step9000,9000,64,0,21825, clones,2,0,1.0021567344665527,2.1056301593780518,15.774147033691406,0.6640160791575909,3.997703287336561
step9000,9000,64,1,46808, trustworthy,3,1,0.9957704544067383,2.0970375537872314,15.675071716308594,0.5887808054685593,3.997703287336561
step9000,9000,64,2,23778, motive,8,2,0.958471417427063,1.9428870677947998,15.169934272766113,0.5275775231420994,3.997703287336561
step9000,9000,64,3,42548, generosity,8,3,0.9730139970779419,2.0042290687561035,15.37370491027832,0.5117884092032909,3.997703287336561
step9000,9000,64,4,29254, critique,18,4,0.9829427003860474,2.0077743530273438,15.416960716247559,0.48716193437576294,3.997703287336561
step9000,9000,64,5,19211, cabinet,33,5,1.004509449005127,1.9121347665786743,15.948542594909668,0.6037982888519764,3.997703287336561
step9000,9000,64,6,14290, documented,48,6,1.0248459577560425,1.9715442657470703,16.17552375793457,0.53221420571208,3.997703287336561
step9000,9000,64,7,6574, miles,404,7,1.0158121585845947,2.289872169494629,15.763137817382812,0.5503058880567551,3.997703287336561
step9000,9000,128,0,21825, clones,2,0,0.9794539213180542,2.0339126586914062,15.595256805419922,0.5106482207775116,3.997703287336561
step9000,9000,128,1,46808, trustworthy,3,1,0.9771246314048767,2.0122768878936768,15.498905181884766,0.5392114110291004,3.997703287336561
step9000,9000,128,2,23778, motive,8,2,0.9885781407356262,1.9781759977340698,15.450285911560059,0.5199746340513229,3.997703287336561
step9000,9000,128,3,42548, generosity,8,3,0.9812838435173035,1.9829014539718628,15.41218090057373,0.46556832641363144,3.997703287336561
step9000,9000,128,4,29254, critique,18,4,0.9918834567070007,1.974769115447998,15.50376033782959,0.5171932391822338,3.997703287336561
step9000,9000,128,5,19211, cabinet,33,5,1.003750205039978,1.9119606018066406,15.937363624572754,0.5516197718679905,3.997703287336561
step9000,9000,128,6,14290, documented,48,6,1.0086520910263062,1.900159239768982,16.04667854309082,0.5326329283416271,3.997703287336561
step9000,9000,128,7,6574, miles,404,7,0.9952380657196045,1.975431203842163,15.778178215026855,0.5195230133831501,3.997703287336561
step9000,9000,192,0,21825, clones,2,0,0.9801803231239319,2.0053961277008057,15.623636245727539,0.515101432800293,3.997703287336561
step9000,9000,192,1,46808, trustworthy,3,1,0.984833300113678,1.9969531297683716,15.54472541809082,0.5069550238549709,3.997703287336561
step9000,9000,192,2,23778, motive,8,2,1.00064218044281,1.9721438884735107,15.61229133605957,0.542499240487814,3.997703287336561
step9000,9000,192,3,42548, generosity,8,3,0.9931509494781494,1.9838720560073853,15.565086364746094,0.47879793867468834,3.997703287336561
step9000,9000,192,4,29254, critique,18,4,1.0015957355499268,1.9708398580551147,15.635172843933105,0.5192199796438217,3.997703287336561
step9000,9000,192,5,19211, cabinet,33,5,0.9969930648803711,1.9397374391555786,15.850934028625488,0.5417726822197437,3.997703287336561
