active_dim,actual_eval_states,batch_index,burn_in_steps,checkpoint,dataset,dataset_config,dataset_split,device,dtype,eval_steps,experiment,git_commit,input_shape,input_space,lag_distance_mean,lag_distance_min,lag_distance_std,lag_window,logit_temperature,method,model,nearby_growth_ratio,nearby_log_growth_per_step,operator_update,residual_alpha,sample_index,sequence_length,target,timestamp,token_mode,tokenizer
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp20,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.03137316554784775,0.005166213493794203,0.015201878733932972,1,2.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,210.91476810541212,0.16723294091377772,direct,1.0,0,64,embedding_expectation,2026-07-11T00:11:53.729310+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp20,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.04430351406335831,0.012572619132697582,0.019951004534959793,2,2.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,210.91476810541212,0.16723294091377772,direct,1.0,0,64,embedding_expectation,2026-07-11T00:11:53.729310+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp20,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.028504129499197006,0.002078603021800518,0.015030283480882645,4,2.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,210.91476810541212,0.16723294091377772,direct,1.0,0,64,embedding_expectation,2026-07-11T00:11:53.729310+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp20,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.026980042457580566,0.007160598877817392,0.014677604660391808,8,2.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,210.91476810541212,0.16723294091377772,direct,1.0,0,64,embedding_expectation,2026-07-11T00:11:53.729310+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp20,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.03572922199964523,0.011280514299869537,0.01812962256371975,16,2.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,210.91476810541212,0.16723294091377772,direct,1.0,0,64,embedding_expectation,2026-07-11T00:11:53.729310+00:00,nonpad_flattened,EleutherAI/pythia-70m
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp20,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.11495379358530045,0.00021824335271958262,0.09373701363801956,1,2.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.3402929064811754,-0.03368589195595745,direct,1.0,1,64,embedding_expectation,2026-07-11T00:11:53.729310+00:00,nonpad_flattened,EleutherAI/pythia-70m
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp20,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.03537901118397713,0.0005707356613129377,0.03073042444884777,2,2.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.3402929064811754,-0.03368589195595745,direct,1.0,1,64,embedding_expectation,2026-07-11T00:11:53.729310+00:00,nonpad_flattened,EleutherAI/pythia-70m
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp20,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.06518951058387756,0.001669041346758604,0.05064743012189865,4,2.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.3402929064811754,-0.03368589195595745,direct,1.0,1,64,embedding_expectation,2026-07-11T00:11:53.729310+00:00,nonpad_flattened,EleutherAI/pythia-70m
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp20,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.11855466663837433,0.007337702438235283,0.07122834771871567,8,2.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.3402929064811754,-0.03368589195595745,direct,1.0,1,64,embedding_expectation,2026-07-11T00:11:53.729310+00:00,nonpad_flattened,EleutherAI/pythia-70m
32768,32,1,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_temp20,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,0.21405157446861267,0.08455636352300644,0.07405657321214676,16,2.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,0.3402929064811754,-0.03368589195595745,direct,1.0,1,64,embedding_expectation,2026-07-11T00:11:53.729310+00:00,nonpad_flattened,EleutherAI/pythia-70m
