active_dim,actual_eval_states,batch_index,burn_in_steps,checkpoint,dataset,dataset_config,dataset_split,device,dtype,eval_steps,experiment,git_commit,input_shape,input_space,logit_temperature,method,model,nearby_distance,operator_update,projection_mode,projection_next,projection_value,residual_alpha,sample_index,sequence_length,state_norm,step_delta,step_index,target,timestamp,token_mode,tokenizer
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_smoke,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,1.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,2.251321893709246e-05,direct,fixed_random,-0.014014940708875656,-0.011109339073300362,1.0,0,64,0.7586842179298401,0.42862841486930847,12,embedding_expectation,2026-07-11T00:10:18.828588+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_smoke,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,1.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,2.4238361220341176e-05,direct,fixed_random,-0.011108720675110817,-0.014014940708875656,1.0,0,64,0.596612274646759,0.42861640453338623,13,embedding_expectation,2026-07-11T00:10:18.828588+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_smoke,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,1.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,1.991917633858975e-05,direct,fixed_random,-0.014014928601682186,-0.011108720675110817,1.0,0,64,0.7586814165115356,0.4286116361618042,14,embedding_expectation,2026-07-11T00:10:18.828588+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_smoke,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,1.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,2.419848351564724e-05,direct,fixed_random,-0.011109504848718643,-0.014014928601682186,1.0,0,64,0.5966096520423889,0.4286198019981384,15,embedding_expectation,2026-07-11T00:10:18.828588+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_smoke,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,1.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,2.8105865567340516e-05,direct,fixed_random,-0.014015506953001022,-0.011109504848718643,1.0,0,64,0.7586875557899475,0.42862555384635925,16,embedding_expectation,2026-07-11T00:10:18.828588+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_smoke,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,1.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,2.8199676307849586e-05,direct,fixed_random,-0.011109132319688797,-0.014015506953001022,1.0,0,64,0.5966113209724426,0.42862963676452637,17,embedding_expectation,2026-07-11T00:10:18.828588+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_smoke,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,1.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,2.659733399923425e-05,direct,fixed_random,-0.01401440054178238,-0.011109132319688797,1.0,0,64,0.7586864829063416,0.42862385511398315,18,embedding_expectation,2026-07-11T00:10:18.828588+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_smoke,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,1.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,3.0246414098655805e-05,direct,fixed_random,-0.011109753511846066,-0.01401440054178238,1.0,0,64,0.5966123342514038,0.4286113679409027,19,embedding_expectation,2026-07-11T00:10:18.828588+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_smoke,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,1.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,2.6543544663581997e-05,direct,fixed_random,-0.014014523476362228,-0.011109753511846066,1.0,0,64,0.7586780190467834,0.4286080598831177,20,embedding_expectation,2026-07-11T00:10:18.828588+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_smoke,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,1.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,2.3548860554001294e-05,direct,fixed_random,-0.011108803562819958,-0.014014523476362228,1.0,0,64,0.5966092348098755,0.4286063611507416,21,embedding_expectation,2026-07-11T00:10:18.828588+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_smoke,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,1.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,2.624421176733449e-05,direct,fixed_random,-0.014015067368745804,-0.011108803562819958,1.0,0,64,0.7586779594421387,0.42860671877861023,22,embedding_expectation,2026-07-11T00:10:18.828588+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_smoke,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,1.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,2.921773739217315e-05,direct,fixed_random,-0.011109283193945885,-0.014015067368745804,1.0,0,64,0.5966092348098755,0.42861783504486084,23,embedding_expectation,2026-07-11T00:10:18.828588+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_smoke,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,1.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,2.619424594740849e-05,direct,fixed_random,-0.014014753513038158,-0.011109283193945885,1.0,0,64,0.7586863040924072,0.42862316966056824,24,embedding_expectation,2026-07-11T00:10:18.828588+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_smoke,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,1.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,2.33571081480477e-05,direct,fixed_random,-0.011109264567494392,-0.014014753513038158,1.0,0,64,0.5966113209724426,0.4286162853240967,25,embedding_expectation,2026-07-11T00:10:18.828588+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_smoke,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,1.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,2.3302816771320067e-05,direct,fixed_random,-0.014014262706041336,-0.011109264567494392,1.0,0,64,0.7586806416511536,0.42861706018447876,26,embedding_expectation,2026-07-11T00:10:18.828588+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_smoke,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,1.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,2.1209534679655917e-05,direct,fixed_random,-0.011109210550785065,-0.014014262706041336,1.0,0,64,0.5966112017631531,0.428619921207428,27,embedding_expectation,2026-07-11T00:10:18.828588+00:00,nonpad_flattened,EleutherAI/pythia-70m
3584,32,0,8,main,wikitext,wikitext-2-raw-v1,validation,cuda,float32,32,pythia_embedding_expectation_smoke,7161fc94a118b891200d19255520dd3df3f5b886,"[1, 64, 512]",inputs_embeds,1.0,paper_style_feedback_dynamics,EleutherAI/pythia-70m,2.1864780137548223e-05,direct,fixed_random,-0.014014620333909988,-0.011109210550785065,1.0,0,64,0.7586822509765625,0.4286203384399414,28,embedding_expectation,2026-07-11T00:10:18.828588+00:00,nonpad_flattened,EleutherAI/pythia-70m
