checkpoint,window_start,window_end,dynamic_step,selection_index,token_id,token,wikitext_train_count,frequency_bin,lyapunov_exponent_per_step,geometric_tangent_factor_per_step,overall_lyapunov_0_1024
step0,0,256,256,0,21825, clones,2,0,0.033265989273786545,1.033825489163904,0.01678542047739029
step0,0,256,256,1,23778, motive,8,2,0.028350980952382088,1.0287566950683933,0.016963763162493706
step0,0,256,256,2,19211, cabinet,33,5,0.01874244026839733,1.018919182267368,0.014066111296415329
step0,0,256,256,3,6574, miles,404,7,0.030071930959820747,1.030528658203078,0.0214631799608469
step0,256,512,512,0,21825, clones,2,0,0.009165552444756031,1.0092076847441207,0.01678542047739029
step0,256,512,512,1,23778, motive,8,2,0.013043539598584175,1.0131289776285304,0.016963763162493706
step0,256,512,512,2,19211, cabinet,33,5,0.017137546092271805,1.0172852363116895,0.014066111296415329
step0,256,512,512,3,6574, miles,404,7,0.014940023422241211,1.0150521834338058,0.0214631799608469
step0,512,768,768,0,21825, clones,2,0,0.013135557062923908,1.0132222074774222,0.01678542047739029
step0,512,768,768,1,23778, motive,8,2,0.00872753281146288,1.0087657287638967,0.016963763162493706
step0,512,768,768,2,19211, cabinet,33,5,0.0034403367899358273,1.0034462615409812,0.014066111296415329
step0,512,768,768,3,6574, miles,404,7,0.010359510779380798,1.0104133562882553,0.0214631799608469
step0,768,1024,1024,0,21825, clones,2,0,0.011574577540159225,1.0116418221550074,0.01678542047739029
step0,768,1024,1024,1,23778, motive,8,2,0.01773299276828766,1.017891155802682,0.016963763162493706
step0,768,1024,1024,2,19211, cabinet,33,5,0.016944129019975662,1.0170884950067691,0.014066111296415329
step0,768,1024,1024,3,6574, miles,404,7,0.030481252819299698,1.030950562451125,0.0214631799608469
