checkpoint,window_start,window_end,dynamic_step,selection_index,token_id,token,wikitext_train_count,frequency_bin,lyapunov_exponent_per_step,geometric_tangent_factor_per_step,overall_lyapunov_0_1024
step2000,0,256,256,0,21825, clones,2,0,-0.004485052544623613,0.9955249902837262,-0.012001212686300278
step2000,0,256,256,1,23778, motive,8,2,-0.004718506708741188,0.9952926079556278,-0.012045515701174736
step2000,0,256,256,2,19211, cabinet,33,5,-0.0007478746119886637,0.9992524049765256,-0.011063851416110992
step2000,0,256,256,3,6574, miles,404,7,-0.0028473269194364548,0.9971567228712521,-0.011593544855713844
step2000,256,512,512,0,21825, clones,2,0,-0.014522088691592216,0.9855828482563689,-0.012001212686300278
step2000,256,512,512,1,23778, motive,8,2,-0.014467018656432629,0.9856371258329953,-0.012045515701174736
step2000,256,512,512,2,19211, cabinet,33,5,-0.014510193839669228,0.9855945716881308,-0.011063851416110992
step2000,256,512,512,3,6574, miles,404,7,-0.014529304578900337,0.9855757364272622,-0.011593544855713844
step2000,512,768,768,0,21825, clones,2,0,-0.014499199576675892,0.9856054076336233,-0.012001212686300278
step2000,512,768,768,1,23778, motive,8,2,-0.014498043805360794,0.9856065467687397,-0.012045515701174736
step2000,512,768,768,2,19211, cabinet,33,5,-0.014498832635581493,0.9856057692928165,-0.011063851416110992
step2000,512,768,768,3,6574, miles,404,7,-0.014499043114483356,0.9856055618436184,-0.011593544855713844
step2000,768,1024,1024,0,21825, clones,2,0,-0.014498506672680378,0.9856060905637848,-0.012001212686300278
step2000,768,1024,1024,1,23778, motive,8,2,-0.014498494565486908,0.9856061024967085,-0.012045515701174736
step2000,768,1024,1024,2,19211, cabinet,33,5,-0.01449850294739008,0.9856060942354536,-0.011063851416110992
step2000,768,1024,1024,3,6574, miles,404,7,-0.014498502016067505,0.9856060951533708,-0.011593544855713844
