checkpoint,window_start,window_end,dynamic_step,selection_index,token_id,token,wikitext_train_count,frequency_bin,lyapunov_exponent_per_step,geometric_tangent_factor_per_step,overall_lyapunov_0_1024
step57000,0,256,256,0,21825, clones,2,0,0.003259932389482856,1.0032652517477536,0.0019817203283309937
step57000,0,256,256,1,23778, motive,8,2,0.009780182503163815,1.0098281647856493,0.0022850658278912306
step57000,0,256,256,2,19211, cabinet,33,5,0.005948856472969055,1.0059665860591227,0.0015598245663568377
step57000,0,256,256,3,6574, miles,404,7,0.008365894667804241,1.008400986554683,0.0018517065327614546
step57000,256,512,512,0,21825, clones,2,0,0.007247414439916611,1.007273740508162,0.0019817203283309937
step57000,256,512,512,1,23778, motive,8,2,0.002316345926374197,1.002319030728176,0.0022850658278912306
step57000,256,512,512,2,19211, cabinet,33,5,0.0017886921996250749,1.0017902928637406,0.0015598245663568377
step57000,256,512,512,3,6574, miles,404,7,-0.0004052964795846492,0.9995947856419386,0.0018517065327614546
step57000,512,768,768,0,21825, clones,2,0,-0.008057214319705963,0.9919751580295931,0.0019817203283309937
step57000,512,768,768,1,23778, motive,8,2,-0.004228449426591396,0.9957804778783668,0.0022850658278912306
step57000,512,768,768,2,19211, cabinet,33,5,-0.0012441463768482208,0.998756627252386,0.0015598245663568377
step57000,512,768,768,3,6574, miles,404,7,-0.00028525537345558405,0.9997147853079902,0.0018517065327614546
step57000,768,1024,1024,0,21825, clones,2,0,0.005476747639477253,1.0054917724383179,0.0019817203283309937
step57000,768,1024,1024,1,23778, motive,8,2,0.0012721834937110543,1.001272993062402,0.0022850658278912306
step57000,768,1024,1024,2,19211, cabinet,33,5,-0.00025410333182662725,0.9997459289496906,0.0015598245663568377
step57000,768,1024,1024,3,6574, miles,404,7,-0.0002685172948986292,0.9997315187526437,0.0018517065327614546
