checkpoint,window_start,window_end,dynamic_step,selection_index,token_id,token,wikitext_train_count,frequency_bin,lyapunov_exponent_per_step,geometric_tangent_factor_per_step,overall_lyapunov_0_1024
step29000,0,256,256,0,21825, clones,2,0,0.009189859963953495,1.009232216377442,0.002354091964662075
step29000,0,256,256,1,23778, motive,8,2,0.0030232027638703585,1.0030277772500509,0.000752018007915467
step29000,0,256,256,2,19211, cabinet,33,5,0.010096428915858269,1.0101475698228872,0.002578534884378314
step29000,0,256,256,3,6574, miles,404,7,0.006660460494458675,1.0066826906884951,0.0016626908909529448
step29000,256,512,512,0,21825, clones,2,0,0.00020348130783531815,1.000203502011561,0.002354091964662075
step29000,256,512,512,1,23778, motive,8,2,0.0011342416983097792,1.001134885193695,0.000752018007915467
step29000,256,512,512,2,19211, cabinet,33,5,0.00027427024906501174,1.0002743078645886,0.002578534884378314
step29000,256,512,512,3,6574, miles,404,7,0.0011924044229090214,1.001193115619713,0.0016626908909529448
step29000,512,768,768,0,21825, clones,2,0,0.0014980928972363472,1.001499215598968,0.002354091964662075
step29000,512,768,768,1,23778, motive,8,2,-0.0003984180511906743,0.9996016613067416,0.000752018007915467
step29000,512,768,768,2,19211, cabinet,33,5,0.0014335437444970012,1.0014345717595068,0.002578534884378314
step29000,512,768,768,3,6574, miles,404,7,-0.0005336273461580276,0.9994665150075919,0.0016626908909529448
step29000,768,1024,1024,0,21825, clones,2,0,-0.0014750661794096231,0.9985260211959912,0.002354091964662075
step29000,768,1024,1024,1,23778, motive,8,2,-0.0007509534480050206,0.9992493284469678,0.000752018007915467
step29000,768,1024,1024,2,19211, cabinet,33,5,-0.0014901026152074337,0.9985110070364611,0.002578534884378314
step29000,768,1024,1024,3,6574, miles,404,7,-0.0006684745894744992,0.9993317487898866,0.0016626908909529448
