checkpoint,window_start,window_end,dynamic_step,selection_index,token_id,token,wikitext_train_count,frequency_bin,lyapunov_exponent_per_step,geometric_tangent_factor_per_step,overall_lyapunov_0_1024
step7000,0,256,256,0,21825, clones,2,0,0.02467120811343193,1.024978060645938,0.01912585087120533
step7000,0,256,256,1,23778, motive,8,2,0.027182120829820633,1.02755492487916,0.020464742556214333
step7000,0,256,256,2,19211, cabinet,33,5,0.029293352738022804,1.0297266232968332,0.005647176876664162
step7000,0,256,256,3,6574, miles,404,7,0.028793709352612495,1.0292122557116035,0.019740965217351913
step7000,256,512,512,0,21825, clones,2,0,0.01641128957271576,1.0165466944944368,0.01912585087120533
step7000,256,512,512,1,23778, motive,8,2,0.02603626623749733,1.026378170672983,0.020464742556214333
step7000,256,512,512,2,19211, cabinet,33,5,0.011547456495463848,1.011614385743987,0.005647176876664162
step7000,256,512,512,3,6574, miles,404,7,0.01872820034623146,1.0189046730408247,0.019740965217351913
step7000,512,768,768,0,21825, clones,2,0,0.016621749848127365,1.016760659706528,0.01912585087120533
step7000,512,768,768,1,23778, motive,8,2,0.01847103424370289,1.0186426789866494,0.020464742556214333
step7000,512,768,768,2,19211, cabinet,33,5,-0.01125393621623516,0.9888091524369336,0.005647176876664162
step7000,512,768,768,3,6574, miles,404,7,0.010473361238837242,1.0105283988618103,0.019740965217351913
step7000,768,1024,1024,0,21825, clones,2,0,0.018799154087901115,1.018976970704646,0.01912585087120533
step7000,768,1024,1024,1,23778, motive,8,2,0.010169546119868755,1.0102214316890843,0.020464742556214333
step7000,768,1024,1024,2,19211, cabinet,33,5,-0.006998162716627121,0.993026267402209,0.005647176876664162
step7000,768,1024,1024,3,6574, miles,404,7,0.020968591794371605,1.0211899773890385,0.019740965217351913
