checkpoint,window_start,window_end,dynamic_step,selection_index,token_id,token,wikitext_train_count,spectral_radius,spectral_radius_eigenvalue_real,spectral_radius_eigenvalue_imag,spectral_abscissa,max_real_eigenvalue_imag,max_real_eigenvalue_abs,operator_norm_2,operator_norm_sigma2,operator_norm_over_spectral_radius,runtime_seconds
step9000,0,256,256,0,29104, repetitive,16,0.9772390127182007,0.9442018270492554,0.25195029377937317,0.9674172401428223,0.11008726060390472,0.9736607670783997,2.0074589252471924,1.8073241710662842,2.0542149543762207,0.6293405964970589
step9000,0,256,256,1,10020, semi,112,0.9851144552230835,0.953097939491272,0.24910807609558105,0.9749424457550049,0.11079318821430206,0.9812175631523132,1.9987194538116455,1.8256340026855469,2.028921127319336,0.563043050467968
step9000,0,256,256,2,1941, evidence,284,0.9968752264976501,0.9541846513748169,0.2886033356189728,0.9736011028289795,0.11562050879001617,0.9804423451423645,1.9455286264419556,1.837689757347107,1.9516270160675049,0.6011589542031288
step9000,0,256,256,3,38730, orientations,4,1.0048158168792725,0.9615099430084229,0.2918107509613037,0.9629294872283936,0.11176110059022903,0.9693934917449951,1.94009268283844,1.829970359802246,1.930794358253479,0.6337221041321754
step9000,256,512,512,0,29104, repetitive,16,0.9919331669807434,0.9503626823425293,0.28415173292160034,0.9658370018005371,0.11260831356048584,0.9723794460296631,1.9763212203979492,1.8171442747116089,1.9923934936523438,0.6056942082941532
step9000,256,512,512,1,10020, semi,112,0.9896528124809265,0.948236346244812,0.2833028733730316,0.9682117700576782,0.11267618834972382,0.9747461080551147,1.9784367084503174,1.8188982009887695,1.9991220235824585,0.6200636513531208
step9000,256,512,512,2,1941, evidence,284,0.9928392767906189,0.950920581817627,0.2854469120502472,0.9693553447723389,0.11329098790884018,0.9759531617164612,1.9680027961730957,1.824177622795105,1.9821968078613281,0.5778339579701424
step9000,256,512,512,3,38730, orientations,4,0.9966763257980347,0.9543237686157227,0.2874540090560913,0.9678819179534912,0.11344227194786072,0.9745073318481445,1.9589533805847168,1.825953483581543,1.9654860496520996,0.6260590739548206
step9000,512,768,768,0,29104, repetitive,16,0.9944828748703003,0.9525009393692017,0.2858988642692566,0.966797947883606,0.1129772886633873,0.9733766913414001,1.9679163694381714,1.8215025663375854,1.978833794593811,0.578559935092926
step9000,512,768,768,1,10020, semi,112,0.9936472773551941,0.9517633318901062,0.28544965386390686,0.9671410918235779,0.11296333372592926,0.9737159013748169,1.9696794748306274,1.8211865425109863,1.9822722673416138,0.6427990533411503
step9000,512,768,768,2,1941, evidence,284,0.9937271475791931,0.9517954587936401,0.28562042117118835,0.9677532315254211,0.11308719962835312,0.9743382334709167,1.9684488773345947,1.8222482204437256,1.9808746576309204,0.6333216018974781
step9000,512,768,768,3,38730, orientations,4,0.994554340839386,0.9525031447410583,0.2861400842666626,0.9678304195404053,0.11319418251514435,0.974427342414856,1.9658371210098267,1.8233208656311035,1.976601004600525,0.7180735878646374
step9000,768,1024,1024,0,29104, repetitive,16,0.99456387758255,0.9525418281555176,0.2860443890094757,0.9673047065734863,0.11308508366346359,0.9738925099372864,1.9667658805847168,1.8224469423294067,1.9775159358978271,0.6260556243360043
step9000,768,1024,1024,1,10020, semi,112,0.9943844079971313,0.9523884057998657,0.28593122959136963,0.9672925472259521,0.11306536197662354,0.9738781452178955,1.9673304557800293,1.8222286701202393,1.978440523147583,0.6462140865623951
