checkpoint,window_start,window_end,dynamic_step,selection_index,token_id,token,wikitext_train_count,spectral_radius,spectral_radius_eigenvalue_real,spectral_radius_eigenvalue_imag,spectral_abscissa,max_real_eigenvalue_imag,max_real_eigenvalue_abs,operator_norm_2,operator_norm_sigma2,operator_norm_over_spectral_radius,runtime_seconds
step37000,0,256,256,0,29104, repetitive,16,1.0142642259597778,0.9768058061599731,0.2730977535247803,0.9951779246330261,0.09311778098344803,0.9995248913764954,2.3677687644958496,1.9285603761672974,2.3344693183898926,0.7124155536293983
step37000,0,256,256,1,10020, semi,112,1.0447208881378174,1.0447208881378174,0.0,1.0447208881378174,0.0,1.0447208881378174,2.344963788986206,1.9733408689498901,2.244584083557129,0.6600454300642014
step37000,0,256,256,2,1941, evidence,284,1.0519592761993408,1.0519592761993408,0.0,1.0519592761993408,0.0,1.0519592761993408,2.339094877243042,1.9691669940948486,2.223560333251953,0.6557871028780937
step37000,0,256,256,3,38730, orientations,4,1.0176266431808472,0.9956822395324707,0.21019230782985687,0.9990729093551636,0.05234770476818085,1.0004433393478394,2.0940988063812256,1.9304131269454956,2.057826280593872,0.6548460274934769
step37000,256,512,512,0,29104, repetitive,16,1.0128939151763916,1.0128939151763916,0.0,1.0128939151763916,0.0,1.0128939151763916,2.243799924850464,1.8562272787094116,2.2152369022369385,1.050860706716776
step37000,256,512,512,1,10020, semi,112,0.9873636960983276,0.9873636960983276,0.0,0.9873636960983276,0.0,0.9873636960983276,2.2350621223449707,1.8174002170562744,2.2636663913726807,0.6490991525352001
step37000,256,512,512,2,1941, evidence,284,1.0075578689575195,1.0075578689575195,0.0,1.0075578689575195,0.0,1.0075578689575195,2.2733154296875,1.8335742950439453,2.25626277923584,0.6477589756250381
step37000,256,512,512,3,38730, orientations,4,1.0143357515335083,1.0143357515335083,0.0,1.0143357515335083,0.0,1.0143357515335083,2.256640672683716,1.8467732667922974,2.2247471809387207,0.654275581240654
step37000,512,768,768,0,29104, repetitive,16,1.0318020582199097,0.991263747215271,0.2863770127296448,1.0176293849945068,0.012768222019076347,1.017709493637085,2.337789535522461,1.944462537765503,2.2657344341278076,0.6092341281473637
step37000,512,768,768,1,10020, semi,112,1.0083495378494263,1.0083495378494263,0.0,1.0083495378494263,0.0,1.0083495378494263,2.3807389736175537,1.8773972988128662,2.36102557182312,0.6590229719877243
step37000,512,768,768,2,1941, evidence,284,1.026816725730896,0.9927856922149658,0.26216229796409607,1.0049617290496826,0.13535721600055695,1.0140362977981567,2.3511831760406494,1.9524855613708496,2.289778709411621,0.6548699662089348
step37000,512,768,768,3,38730, orientations,4,0.9756741523742676,0.9372256994247437,0.2711973786354065,0.9372256994247437,0.2711973786354065,0.9756741523742676,2.163583993911743,1.8580992221832275,2.217527151107788,0.6547649912536144
step37000,768,1024,1024,0,29104, repetitive,16,1.0280979871749878,1.0280979871749878,0.0,1.0280979871749878,0.0,1.0280979871749878,2.239528179168701,1.8760250806808472,2.1783218383789062,0.6671994365751743
step37000,768,1024,1024,1,10020, semi,112,0.9927262663841248,0.9927262663841248,0.0,0.9927262663841248,0.0,0.9927262663841248,2.238370656967163,1.82088303565979,2.2547712326049805,0.6428266130387783
step37000,768,1024,1024,2,1941, evidence,284,0.997059166431427,0.997059166431427,0.0,0.997059166431427,0.0,0.997059166431427,2.2342917919158936,1.8303773403167725,2.24088191986084,0.6342778429389
step37000,768,1024,1024,3,38730, orientations,4,1.0225801467895508,1.0225801467895508,0.0,1.0225801467895508,0.0,1.0225801467895508,2.2855701446533203,1.8487884998321533,2.2351012229919434,0.6501173712313175
step37000,1024,1280,1280,0,29104, repetitive,16,1.0425221920013428,1.0425221920013428,0.0,1.0425221920013428,0.0,1.0425221920013428,2.2904999256134033,1.882492184638977,2.197075366973877,0.6334457695484161
step37000,1024,1280,1280,1,10020, semi,112,1.0319105386734009,1.0319105386734009,0.0,1.0319105386734009,0.0,1.0319105386734009,2.298067808151245,1.8617675304412842,2.2270028591156006,0.6381171010434628
step37000,1024,1280,1280,2,1941, evidence,284,1.0359019041061401,1.0359019041061401,0.0,1.0359019041061401,0.0,1.0359019041061401,2.306417942047119,1.874086618423462,2.22648286819458,0.6554705798625946
step37000,1024,1280,1280,3,38730, orientations,4,1.0045104026794434,1.0045104026794434,0.0,1.0045104026794434,0.0,1.0045104026794434,2.155056953430176,1.840466022491455,2.1453804969787598,0.9038622342050076
step37000,1280,1536,1536,0,29104, repetitive,16,0.9928578734397888,0.9541105031967163,0.27466312050819397,0.9613192677497864,0.0,0.9613192677497864,2.161029815673828,1.8737311363220215,2.176575183868408,0.7574868388473988
step37000,1280,1536,1536,1,10020, semi,112,1.001147747039795,1.001147747039795,0.0,1.001147747039795,0.0,1.001147747039795,2.2315361499786377,1.8285751342773438,2.228977918624878,0.6494532264769077
step37000,1280,1536,1536,2,1941, evidence,284,1.0160273313522339,1.0160273313522339,0.0,1.0160273313522339,0.0,1.0160273313522339,2.244171142578125,1.8700498342514038,2.208770513534546,0.6770069040358067
step37000,1280,1536,1536,3,38730, orientations,4,1.0008591413497925,1.0008591413497925,0.0,1.0008591413497925,0.0,1.0008591413497925,2.2477376461029053,1.8305672407150269,2.2458081245422363,0.6979075856506824
step37000,1536,1792,1792,0,29104, repetitive,16,1.008238434791565,1.008238434791565,0.0,1.008238434791565,0.0,1.008238434791565,2.253343343734741,1.8432437181472778,2.234930992126465,0.6541679613292217
step37000,1536,1792,1792,1,10020, semi,112,1.0330100059509277,1.0330100059509277,0.0,1.0330100059509277,0.0,1.0330100059509277,2.3299288749694824,1.8887875080108643,2.2554755210876465,0.6477159224450588
