checkpoint,training_step,dynamic_step,token_count,spectral_radius_median,spectral_radius_min,spectral_radius_max,operator_norm_2_median,operator_norm_2_min,operator_norm_2_max,jacobian_frobenius_norm_median,jacobian_frobenius_norm_min,jacobian_frobenius_norm_max,proof_pile2_test_loss,normalized_frobenius_norm_median,normalized_frobenius_norm_min,normalized_frobenius_norm_max
step0,0,0,8,41.679216384887695,37.35150146484375,48.083003997802734,127.83971786499023,115.51541900634766,151.33937072753906,837.9112243652344,757.6068115234375,978.1092529296875,11.087031924535358,37.030794298811244,33.48180711883383,43.22673034299312
step0,0,64,8,1.040013611316681,0.9910351037979126,1.067204475402832,1.3350237607955933,1.2753515243530273,1.3697876930236816,15.476190567016602,14.881186485290527,15.694072723388672,11.087031924535358,0.6839574560545448,0.6576617422406585,0.6935865779464349
step0,0,128,8,1.0175633430480957,0.9940781593322754,1.067193627357483,1.3328153491020203,1.2979812622070312,1.3674458265304565,15.439673900604248,15.185266494750977,15.673659324645996,11.087031924535358,0.6823436321516385,0.6711003070352056,0.6926844246540591
step0,0,192,8,1.0348955988883972,1.018385887145996,1.0510356426239014,1.3565624952316284,1.3072599172592163,1.3808696269989014,15.641637802124023,15.234540939331055,15.80548095703125,11.087031924535358,0.6912692599216088,0.6732779504040665,0.6985101727894775
step0,0,256,8,1.0097141861915588,0.9840095043182373,1.051813006401062,1.3355090618133545,1.2812188863754272,1.3795143365859985,15.437237739562988,14.916282653808594,15.684526443481445,11.087031924535358,0.6822359680271174,0.6592127884127079,0.6931646879928407
step0,0,320,8,1.0277692079544067,0.9984233975410461,1.0634211301803589,1.3338131308555603,1.3120296001434326,1.3975012302398682,15.411925315856934,15.108457565307617,15.725038528442383,11.087031924535358,0.6811173063739413,0.6677057998561382,0.6949550861175835
step0,0,384,8,1.0045993328094482,0.9907974004745483,1.0551584959030151,1.3213340640068054,1.2815262079238892,1.379821538925171,15.312398433685303,15.021052360534668,15.880261421203613,11.087031924535358,0.6767187980430716,0.6638429990432663,0.7018150336217622
step0,0,448,8,1.0209723711013794,0.9988678097724915,1.055552363395691,1.332759439945221,1.3047749996185303,1.3990098237991333,15.3616623878479,15.0906400680542,15.84462833404541,11.087031924535358,0.6788959777965988,0.6669183702854091,0.7002402587740011
step0,0,512,8,1.0275368690490723,1.001698613166809,1.0587421655654907,1.3516385555267334,1.307456135749817,1.382559895515442,15.539000034332275,15.052632331848145,15.736574172973633,11.087031924535358,0.6867332685708967,0.665238649784856,0.6954648943971713
step0,0,576,8,1.0214255452156067,1.0019456148147583,1.0389174222946167,1.3289474248886108,1.300433874130249,1.3595242500305176,15.405768394470215,15.16662883758545,15.590802192687988,11.087031924535358,0.6808452063199549,0.6702766311747572,0.6890226221617356
step0,0,640,8,1.0077312886714935,0.9936677813529968,1.047034502029419,1.308858871459961,1.286185622215271,1.3924041986465454,15.270915031433105,15.049818992614746,15.868208885192871,11.087031924535358,0.6748854733531204,0.6651143165817488,0.7012823817502815
step0,0,704,8,1.0360966920852661,1.0213923454284668,1.0574989318847656,1.3529132604599,1.3178986310958862,1.3688441514968872,15.578739166259766,15.193564414978027,15.800446510314941,11.087031924535358,0.6884895066749214,0.6714670267640989,0.6982876795761884
