checkpoint,training_step,dynamic_step,token_count,spectral_radius_median,spectral_radius_min,spectral_radius_max,normalized_frobenius_norm_median,normalized_frobenius_norm_min,normalized_frobenius_norm_max,proof_pile2_test_loss
step27000,27000,0,8,13.18568229675293,11.846351623535156,16.801328659057617,12.050403042175532,10.844258692831865,14.701469484892117,3.883779397086492
step27000,27000,64,8,1.034903645515442,0.9738011360168457,1.059157133102417,0.6858349084948869,0.6695324442706003,0.6969891351735678,3.883779397086492
step27000,27000,128,8,1.0799483060836792,0.9878809452056885,1.140742301940918,0.7209754545701482,0.6728043462673495,0.7475504755491162,3.883779397086492
step27000,27000,192,8,1.0463436841964722,0.9905575513839722,1.0882216691970825,0.6862235445850059,0.6756047936166559,0.7309876913150022,3.883779397086492
step27000,27000,256,8,0.9944116175174713,0.9787257313728333,1.1303914785385132,0.6800138386596533,0.6707222919509114,0.7143106048277265,3.883779397086492
step27000,27000,320,8,1.0236674547195435,1.0031534433364868,1.1125080585479736,0.6961635205580878,0.6785848708343157,0.729458940825815,3.883779397086492
step27000,27000,384,8,1.0006168484687805,0.9840868711471558,1.0488048791885376,0.6755025242887442,0.669028115081319,0.7032040673081357,3.883779397086492
step27000,27000,448,8,1.0094162225723267,0.9919084906578064,1.0315228700637817,0.6826352461964853,0.6785084164511169,0.6931080426284422,3.883779397086492
step27000,27000,512,8,1.0370060205459595,0.9877371191978455,1.054565668106079,0.69549564052316,0.6753527976094092,0.7096650948911587,3.883779397086492
step27000,27000,576,8,1.0160152316093445,1.0018393993377686,1.0447344779968262,0.6895766214119871,0.6832170623667541,0.6922992867523665,3.883779397086492
step27000,27000,640,8,1.0252660512924194,0.9899482727050781,1.045661211013794,0.6943629018225812,0.6757227204987893,0.6988810650563733,3.883779397086492
step27000,27000,704,8,1.016397774219513,0.9993524551391602,1.0338289737701416,0.686132233437707,0.6809584127550552,0.6995163023571295,3.883779397086492
step27000,27000,768,8,1.0066009759902954,0.9911980032920837,1.0331088304519653,0.6809743231903681,0.6735609243449686,0.6884423022045891,3.883779397086492
step27000,27000,832,8,1.005407691001892,0.9916269779205322,1.0460659265518188,0.6831883814363424,0.6770496297304579,0.698415932436207,3.883779397086492
step27000,27000,896,8,1.017370879650116,0.9963376522064209,1.0270016193389893,0.6864520858710561,0.6739740056072239,0.6884334513664019,3.883779397086492
step27000,27000,960,8,1.0256194472312927,0.9982290863990784,1.0357813835144043,0.6886214263107604,0.6824813891259963,0.6919650200968267,3.883779397086492
step27000,27000,1024,8,1.0068029761314392,0.9936506748199463,1.0293959379196167,0.6786716933422481,0.672730800016698,0.6922270470540189,3.883779397086492
step28000,28000,0,8,14.878649711608887,13.082818031311035,18.4786434173584,13.619721053166174,12.483541821049744,19.287127524826527,3.941887537638346
step28000,28000,64,8,1.0336426496505737,0.9897060990333557,1.0515320301055908,0.6896420754677245,0.6704427319047386,0.7008492385881351,3.941887537638346
step28000,28000,128,8,0.9908232688903809,0.9566135406494141,0.9988675713539124,0.669380378441173,0.6663989946712094,0.6750624901168663,3.941887537638346
step28000,28000,192,8,0.9852996170520782,0.978062093257904,0.9907813668251038,0.6684191984874579,0.6678408805056156,0.670732491488251,3.941887537638346
step28000,28000,256,8,0.9853831827640533,0.9832900762557983,0.9878270626068115,0.6683908125849858,0.6677112367995961,0.668753654803816,3.941887537638346
step28000,28000,320,8,0.985641747713089,0.9847376346588135,0.9866252541542053,0.6684753591630985,0.6682286736587644,0.6686624068767899,3.941887537638346
step28000,28000,384,8,0.9856181442737579,0.9851207137107849,0.9858434200286865,0.6683637121613932,0.6683372439405284,0.6685043140480256,3.941887537638346
step28000,28000,448,8,0.9856057465076447,0.9855301380157471,0.9857955574989319,0.6684311049721622,0.6683701184823669,0.6684412202158048,3.941887537638346
step28000,28000,512,8,0.9855960011482239,0.985527753829956,0.9856366515159607,0.6684064701392075,0.6683981882834752,0.6684271431684021,3.941887537638346
step28000,28000,576,8,0.9856097102165222,0.985579252243042,0.9856253266334534,0.6684110219988467,0.6684050582197825,0.6684164800157288,3.941887537638346
step28000,28000,640,8,0.9855959117412567,0.9855937957763672,0.9856104850769043,0.6684110219988467,0.6684086407019059,0.668412939680454,3.941887537638346
step28000,28000,704,8,0.985600620508194,0.9855976104736328,0.9856036901473999,0.6684108534114527,0.6684100315479067,0.6684117174218471,3.941887537638346
step28000,28000,768,8,0.9855998456478119,0.9855982661247253,0.9856047630310059,0.6684108534114527,0.6684106637506344,0.6684112538065136,3.941887537638346
step28000,28000,832,8,0.9855996370315552,0.9855988621711731,0.9856019616127014,0.6684108744848769,0.6684107480443314,0.6684109587785739,3.941887537638346
step28000,28000,896,8,0.9856005012989044,0.9855997562408447,0.985601544380188,0.6684108744848769,0.6684108323380284,0.6684110009254225,3.941887537638346
step28000,28000,960,8,0.985601007938385,0.9855996370315552,0.9856023192405701,0.6684108744848769,0.6684108323380284,0.6684109587785739,3.941887537638346
step28000,28000,1024,8,0.9856006503105164,0.9856000542640686,0.9856016635894775,0.6684109166317255,0.6684108744848769,0.6684109166317255,3.941887537638346
step39000,39000,0,8,14.552635192871094,11.859492301940918,17.81764793395996,13.67520586194422,12.767913688623295,16.444605145239144,3.849399899679517
step39000,39000,64,8,1.0434507131576538,1.011381983757019,1.0779695510864258,0.6917901949692035,0.6664446397081467,0.7104067108375565,3.849399899679517
step39000,39000,128,8,1.033152997493744,0.9744288921356201,1.0745199918746948,0.683178540147215,0.6672042945057071,0.7225522524666378,3.849399899679517
step39000,39000,192,8,1.017598032951355,0.9587649703025818,1.0503487586975098,0.6777612792675644,0.6654565068448088,0.7048574881752181,3.849399899679517
step39000,39000,256,8,0.9932056665420532,0.9520746469497681,1.0340389013290405,0.6788202820566733,0.6684266795530686,0.6995715568755273,3.849399899679517
step39000,39000,320,8,0.9671596586704254,0.9458848834037781,1.0375999212265015,0.6738729374644947,0.6707983670124735,0.6961577885866904,3.849399899679517
step39000,39000,384,8,0.9715031087398529,0.9652084112167358,0.9922419786453247,0.6741801247698664,0.6729003567882573,0.6789668055755214,3.849399899679517
step39000,39000,448,8,0.9722929894924164,0.971047580242157,0.9753825664520264,0.6743902478831174,0.6741425930012674,0.6748220423461115,3.849399899679517
step39000,39000,512,8,0.9724887609481812,0.9722720980644226,0.9727070331573486,0.674417685481498,0.6743800904926264,0.6744209729356819,3.849399899679517
step39000,39000,576,8,0.972497284412384,0.9724743962287903,0.9725012183189392,0.6744165264431641,0.674405631482824,0.6744183598310742,3.849399899679517
step39000,39000,640,8,0.9724971950054169,0.9724854230880737,0.9724990129470825,0.6744164632228913,0.6744131336218588,0.6744169268382249,3.849399899679517
step39000,39000,704,8,0.9724973440170288,0.9724947810173035,0.9724990725517273,0.67441635785577,0.6744157467264665,0.6744164632228913,3.849399899679517
step39000,39000,768,8,0.9724968075752258,0.9724944233894348,0.9725011587142944,0.6744163157089215,0.6744162946354972,0.6744164210760427,3.849399899679517
step39000,39000,832,8,0.9724974930286407,0.9724966287612915,0.9724989533424377,0.6744162946354972,0.6744162524886487,0.6744164210760427,3.849399899679517
step39000,39000,896,8,0.9724981188774109,0.9724947214126587,0.9725000858306885,0.6744163367823457,0.6744162946354972,0.6744164210760427,3.849399899679517
step39000,39000,960,8,0.9724972546100616,0.9724948406219482,0.9724994897842407,0.6744163157089215,0.6744162524886487,0.6744164210760427,3.849399899679517
step39000,39000,1024,8,0.9724989831447601,0.9724956750869751,0.9724993109703064,0.6744163367823457,0.6744162524886487,0.6744164210760427,3.849399899679517
step40000,40000,0,8,14.947347640991211,13.926376342773438,16.79497718811035,13.71215347522281,12.693122925828956,15.939743894142184,3.8590780893961587
step40000,40000,64,8,1.0567735433578491,1.0160759687423706,1.097590684890747,0.6945678830203139,0.6823947352054579,0.7144582030912117,3.8590780893961587
step40000,40000,128,8,1.031541645526886,1.0058754682540894,1.049288272857666,0.6890490482357519,0.6671833475219971,0.6996522259435771,3.8590780893961587
step40000,40000,192,8,1.042025864124298,0.986689031124115,1.0910630226135254,0.6780372779050379,0.6691349573422941,0.7018195011877043,3.8590780893961587
