checkpoint,training_step,dynamic_step,selection_index,token_id,token,wikitext_train_count,frequency_bin,spectral_radius,normalized_frobenius_norm,runtime_seconds
step27000,27000,0,0,21825, clones,2,0,12.766045570373535,11.819744467043416,0.6634320057928562
step27000,27000,0,1,23778, motive,8,2,14.106720924377441,13.1982620089513,0.5534425899386406
step27000,27000,0,2,19211, cabinet,33,5,12.885549545288086,11.954003421562263,0.5659502856433392
step27000,27000,0,3,6574, miles,404,7,14.74519157409668,14.701469484892117,0.5281727164983749
step27000,27000,64,0,21825, clones,2,0,1.0320606231689453,0.683251959957321,0.587664045393467
step27000,27000,64,1,23778, motive,8,2,1.039889931678772,0.6835243128923985,0.5672978237271309
step27000,27000,64,2,19211, cabinet,33,5,1.0424950122833252,0.6969891351735678,0.5646701157093048
step27000,27000,64,3,6574, miles,404,7,1.059157133102417,0.6867712639548292,0.5619376711547375
step27000,27000,128,0,21825, clones,2,0,1.0790553092956543,0.7268873087170743,0.5613405518233776
step27000,27000,128,1,23778, motive,8,2,1.0828858613967896,0.7475504755491162,0.5296470187604427
step27000,27000,128,2,19211, cabinet,33,5,0.9957739114761353,0.6771289079525069,0.5413215011358261
step27000,27000,128,3,6574, miles,404,7,0.9878809452056885,0.6728043462673495,0.565731905400753
step27000,27000,192,0,21825, clones,2,0,0.9905575513839722,0.6922830602156899,0.5551389530301094
step27000,27000,192,1,23778, motive,8,2,1.0656818151474,0.6864435300608085,0.5365153215825558
step27000,27000,192,2,19211, cabinet,33,5,0.9963101148605347,0.6756047936166559,0.554912868887186
step27000,27000,192,3,6574, miles,404,7,1.0882216691970825,0.7309876913150022,0.5509358756244183
step27000,27000,256,0,21825, clones,2,0,0.9922013282775879,0.6740248347065281,0.5623644441366196
step27000,27000,256,1,23778, motive,8,2,0.9787257313728333,0.6856137007604775,0.527084719389677
step27000,27000,256,2,19211, cabinet,33,5,1.0338324308395386,0.6893449612591469,0.5804514065384865
step27000,27000,256,3,6574, miles,404,7,0.9914369583129883,0.6711718723839771,0.542918112128973
step27000,27000,320,0,21825, clones,2,0,1.0245072841644287,0.6863841872981051,0.5447142533957958
step27000,27000,320,1,23778, motive,8,2,1.0228276252746582,0.6963973934204748,0.5399239808320999
step27000,27000,320,2,19211, cabinet,33,5,1.0339092016220093,0.7064170901575152,0.5317362174391747
step27000,27000,320,3,6574, miles,404,7,1.0105408430099487,0.6785848708343157,0.5407699383795261
step27000,27000,384,0,21825, clones,2,0,1.0084844827651978,0.7032040673081357,0.5583409070968628
step27000,27000,384,1,23778, motive,8,2,0.9926401972770691,0.6701745936545124,0.5788237862288952
step27000,27000,384,2,19211, cabinet,33,5,1.0062533617019653,0.679466034996133,0.9944036938250065
step27000,27000,384,3,6574, miles,404,7,1.0073928833007812,0.6844263397442286,0.5313271731138229
step27000,27000,448,0,21825, clones,2,0,1.0315228700637817,0.6846854585688735,0.5605559423565865
step27000,27000,448,1,23778, motive,8,2,1.0088194608688354,0.6805850338240972,0.5196743234992027
step27000,27000,448,2,19211, cabinet,33,5,1.0310187339782715,0.6896428130375735,0.5664263963699341
step27000,27000,448,3,6574, miles,404,7,0.9972245097160339,0.6893726938854671,0.5349520929157734
step27000,27000,512,0,21825, clones,2,0,0.9877371191978455,0.6753527976094092,0.5007820725440979
step27000,27000,512,1,23778, motive,8,2,1.048656940460205,0.6957541060716531,0.5931839533150196
step27000,27000,512,2,19211, cabinet,33,5,1.0482577085494995,0.7096650948911587,0.5684246383607388
step27000,27000,512,3,6574, miles,404,7,1.054565668106079,0.6995698288547384,0.5568897090852261
step27000,27000,576,0,21825, clones,2,0,1.0100815296173096,0.6889913913469891,0.5588782876729965
step27000,27000,576,1,23778, motive,8,2,1.0447344779968262,0.6906134971056278,0.5025260113179684
step27000,27000,576,2,19211, cabinet,33,5,1.0054545402526855,0.6832170623667541,0.5344383902847767
step27000,27000,576,3,6574, miles,404,7,1.0135276317596436,0.6839174586953081,0.5912161357700825
step27000,27000,640,0,21825, clones,2,0,1.0215137004852295,0.6949444229649103,0.5519564300775528
step27000,27000,640,1,23778, motive,8,2,1.042954444885254,0.695438552616852,0.5775790102779865
step27000,27000,640,2,19211, cabinet,33,5,1.0290184020996094,0.6969854262508989,0.5990463867783546
step27000,27000,640,3,6574, miles,404,7,0.9959016442298889,0.6757227204987893,0.5396872907876968
step27000,27000,704,0,21825, clones,2,0,1.012010097503662,0.6809584127550552,0.5385438241064548
step27000,27000,704,1,23778, motive,8,2,1.0187712907791138,0.6853474591184342,0.5602398104965687
step27000,27000,704,2,19211, cabinet,33,5,1.0338289737701416,0.6918784083231367,0.5349924229085445
step27000,27000,704,3,6574, miles,404,7,1.0071156024932861,0.6869170077569798,0.5139738582074642
step27000,27000,768,0,21825, clones,2,0,0.997397780418396,0.6735609243449686,0.5504423789680004
step27000,27000,768,1,23778, motive,8,2,0.9967472553253174,0.6737120207968802,0.5393965058028698
step27000,27000,768,2,19211, cabinet,33,5,0.9911980032920837,0.6762195054021873,0.5609305500984192
step27000,27000,768,3,6574, miles,404,7,1.0158041715621948,0.6861571000783284,0.5870697349309921
step27000,27000,832,0,21825, clones,2,0,1.0014358758926392,0.6818253312820758,0.5506777465343475
step27000,27000,832,1,23778, motive,8,2,1.0015790462493896,0.681963530798343,0.5473479442298412
step27000,27000,832,2,19211, cabinet,33,5,1.0086537599563599,0.6844132320743417,0.552112240344286
step27000,27000,832,3,6574, miles,404,7,1.028041124343872,0.6882390701010695,0.517729040235281
step27000,27000,896,0,21825, clones,2,0,1.0270016193389893,0.6876815937358159,0.5737684704363346
step27000,27000,896,1,23778, motive,8,2,1.0252591371536255,0.6873445032414258,0.566045343875885
step27000,27000,896,2,19211, cabinet,33,5,1.0250493288040161,0.6884334513664019,0.5592637471854687
step27000,27000,896,3,6574, miles,404,7,0.9963376522064209,0.6739740056072239,0.5378034636378288
step27000,27000,960,0,21825, clones,2,0,1.0357813835144043,0.6884884530037085,0.5551183521747589
step27000,27000,960,1,23778, motive,8,2,1.0290637016296387,0.6901677098889281,0.5792101174592972
step27000,27000,960,2,19211, cabinet,33,5,1.0287617444992065,0.686785762470717,0.5543469674885273
step27000,27000,960,3,6574, miles,404,7,0.9982290863990784,0.6824813891259963,0.5475027188658714
step27000,27000,1024,0,21825, clones,2,0,0.9983779191970825,0.6749526132827983,0.5462666563689709
step27000,27000,1024,1,23778, motive,8,2,0.9967569708824158,0.6741454168401176,0.5502042807638645
step27000,27000,1024,2,19211, cabinet,33,5,0.9974544644355774,0.6750010821585859,0.5345758385956287
step27000,27000,1024,3,6574, miles,404,7,1.025841236114502,0.6877856121579409,0.5382311269640923
step28000,28000,0,0,21825, clones,2,0,13.082818031311035,12.595237038749799,0.5453804135322571
step28000,28000,0,1,23778, motive,8,2,18.4786434173584,19.287127524826527,0.5218360908329487
step28000,28000,0,2,19211, cabinet,33,5,14.71712589263916,13.990500029333242,0.5111323893070221
step28000,28000,0,3,6574, miles,404,7,17.458518981933594,16.71120655278135,0.49077970907092094
step28000,28000,64,0,21825, clones,2,0,0.9953359365463257,0.6704427319047386,0.7561815232038498
step28000,28000,64,1,23778, motive,8,2,1.0416005849838257,0.6852316817255747,0.5374059975147247
step28000,28000,64,2,19211, cabinet,33,5,1.0464766025543213,0.698639985082891,0.5730206966400146
step28000,28000,64,3,6574, miles,404,7,1.0256847143173218,0.6933153629762672,0.5634122155606747
step28000,28000,128,0,21825, clones,2,0,0.9648637771606445,0.6670767581421131,0.5416688360273838
step28000,28000,128,1,23778, motive,8,2,0.9566135406494141,0.6663989946712094,0.5649466030299664
step28000,28000,128,2,19211, cabinet,33,5,0.9927507042884827,0.6719739690579879,0.48992883041501045
step28000,28000,128,3,6574, miles,404,7,0.9915046691894531,0.6750624901168663,0.5653047673404217
step28000,28000,192,0,21825, clones,2,0,0.9905399084091187,0.6682025004658391,0.5420133657753468
step28000,28000,192,1,23778, motive,8,2,0.9907813668251038,0.6687584173976978,0.6346509270370007
step28000,28000,192,2,19211, cabinet,33,5,0.9799422025680542,0.6683462633661097,0.5485974587500095
step28000,28000,192,3,6574, miles,404,7,0.978062093257904,0.6678408805056156,0.5486310459673405
step28000,28000,256,0,21825, clones,2,0,0.9835016131401062,0.6687281138136184,0.5488470420241356
step28000,28000,256,1,23778, motive,8,2,0.9832900762557983,0.668459554094907,0.5786537639796734
step28000,28000,256,2,19211, cabinet,33,5,0.9870772957801819,0.6683220710750645,0.49567176029086113
step28000,28000,256,3,6574, miles,404,7,0.9878270626068115,0.668519276179247,0.5511638559401035
step28000,28000,320,0,21825, clones,2,0,0.9859755635261536,0.6682286736587644,0.5637417063117027
step28000,28000,320,1,23778, motive,8,2,0.986222505569458,0.6683290674519173,0.5302527248859406
step28000,28000,320,2,19211, cabinet,33,5,0.9851183295249939,0.6685044826354196,0.4945109970867634
step28000,28000,320,3,6574, miles,404,7,0.9847376346588135,0.6684462356907775,0.5420963540673256
step28000,28000,384,0,21825, clones,2,0,0.9855688214302063,0.6685043140480256,0.5508120395243168
step28000,28000,384,1,23778, motive,8,2,0.9854350686073303,0.6684679834646092,0.5604736730456352
step28000,28000,384,2,19211, cabinet,33,5,0.985693097114563,0.6683568843719345,0.5507733300328255
step28000,28000,384,3,6574, miles,404,7,0.9858434200286865,0.668370539950852,0.5747384876012802
step28000,28000,448,0,21825, clones,2,0,0.985557496547699,0.6683701184823669,0.5915566384792328
step28000,28000,448,1,23778, motive,8,2,0.9856195449829102,0.6683814981314649,0.4981119707226753
step28000,28000,448,2,19211, cabinet,33,5,0.9855994582176208,0.6684373427057417,0.5310069210827351
step28000,28000,448,3,6574, miles,404,7,0.9855432510375977,0.6684362468876806,0.5426943264901638
step28000,28000,512,0,21825, clones,2,0,0.9856366515159607,0.6684271431684021,0.6016739085316658
step28000,28000,512,1,23778, motive,8,2,0.985609769821167,0.6684243193295519,0.5319689698517323
step28000,28000,512,2,19211, cabinet,33,5,0.9855862855911255,0.6683994526889305,0.5809702500700951
step28000,28000,512,3,6574, miles,404,7,0.9856057167053223,0.6683981882834752,0.5578641593456268
step28000,28000,576,0,21825, clones,2,0,0.985579252243042,0.6684050582197825,0.49736496806144714
step28000,28000,576,1,23778, motive,8,2,0.9855901002883911,0.668405353247722,0.4994206540286541
step28000,28000,576,2,19211, cabinet,33,5,0.9856114387512207,0.6684153420508191,0.5392386317253113
step28000,28000,576,3,6574, miles,404,7,0.9856079816818237,0.6684164800157288,0.5717606581747532
step28000,28000,640,0,21825, clones,2,0,0.9856104850769043,0.6684127289462114,0.5495000146329403
step28000,28000,640,1,23778, motive,8,2,0.9856082201004028,0.668412939680454,0.5001626051962376
step28000,28000,640,2,19211, cabinet,33,5,0.9855970144271851,0.6684093571983305,0.4936247803270817
step28000,28000,640,3,6574, miles,404,7,0.9855948090553284,0.6684086407019059,0.5745011568069458
step28000,28000,704,0,21825, clones,2,0,0.9855976104736328,0.6684104530163918,0.6482230238616467
step28000,28000,704,1,23778, motive,8,2,0.9855992197990417,0.6684102001353007,0.5888693854212761
step28000,28000,704,2,19211, cabinet,33,5,0.985603392124176,0.668411380247059,0.5317096374928951
step28000,28000,704,3,6574, miles,404,7,0.9856036901473999,0.6684117174218471,0.5604109279811382
step28000,28000,768,0,21825, clones,2,0,0.9856013059616089,0.6684109166317255,0.5403098203241825
step28000,28000,768,1,23778, motive,8,2,0.9856047630310059,0.6684110009254225,0.5492682456970215
step28000,28000,768,2,19211, cabinet,33,5,0.9855982661247253,0.6684107901911799,0.5640728250145912
step28000,28000,768,3,6574, miles,404,7,0.9855997562408447,0.6684106637506344,0.5862265788018703
step28000,28000,832,0,21825, clones,2,0,0.9856019616127014,0.6684109166317255,0.593101691454649
step28000,28000,832,1,23778, motive,8,2,0.985599935054779,0.6684108744848769,0.5448570810258389
step28000,28000,832,2,19211, cabinet,33,5,0.985599160194397,0.6684108744848769,0.57158088311553
step28000,28000,832,3,6574, miles,404,7,0.9856012463569641,0.6684109166317255,0.5692765824496746
step28000,28000,896,0,21825, clones,2,0,0.9856006503105164,0.6684108323380284,0.5177975594997406
step28000,28000,896,1,23778, motive,8,2,0.9856003522872925,0.6684108744848769,0.5180853419005871
step28000,28000,896,2,19211, cabinet,33,5,0.9855997562408447,0.6684108744848769,0.5521467998623848
step28000,28000,896,3,6574, miles,404,7,0.9856014847755432,0.6684109166317255,0.5779065452516079
step28000,28000,960,0,21825, clones,2,0,0.9856003522872925,0.6684109166317255,0.5484822392463684
step28000,28000,960,1,23778, motive,8,2,0.9856016635894775,0.6684109587785739,0.5393472537398338
step28000,28000,960,2,19211, cabinet,33,5,0.9856023192405701,0.6684108744848769,0.5528183095157146
step28000,28000,960,3,6574, miles,404,7,0.9855998158454895,0.6684108744848769,0.49174223095178604
step28000,28000,1024,0,21825, clones,2,0,0.9856000542640686,0.6684108744848769,0.5119417943060398
step28000,28000,1024,1,23778, motive,8,2,0.9856016635894775,0.6684109166317255,0.5882467105984688
step28000,28000,1024,2,19211, cabinet,33,5,0.9856002330780029,0.6684109166317255,0.5477272197604179
step28000,28000,1024,3,6574, miles,404,7,0.9856010675430298,0.6684109166317255,0.5522331446409225
step39000,39000,0,0,21825, clones,2,0,14.168399810791016,13.241255840529869,0.5821289233863354
step39000,39000,0,1,23778, motive,8,2,16.616920471191406,15.88887500821305,0.5167803280055523
step39000,39000,0,2,19211, cabinet,33,5,17.81764793395996,16.179460332781474,0.5374297313392162
step39000,39000,0,3,6574, miles,404,7,17.45140266418457,16.444605145239144,0.5193780176341534
step39000,39000,64,0,21825, clones,2,0,1.0650984048843384,0.7040957260352322,0.5850244574248791
step39000,39000,64,1,23778, motive,8,2,1.011381983757019,0.6777466121642826,0.5586948879063129
step39000,39000,64,2,19211, cabinet,33,5,1.0441617965698242,0.6886480209721708,0.5239602699875832
step39000,39000,64,3,6574, miles,404,7,1.040799856185913,0.7066829103310734,0.5440931133925915
step39000,39000,128,0,21825, clones,2,0,0.9970450401306152,0.6767603337622791,0.5547138340771198
step39000,39000,128,1,23778, motive,8,2,1.0745199918746948,0.7225522524666378,0.5679542943835258
step39000,39000,128,2,19211, cabinet,33,5,0.9744288921356201,0.6672042945057071,0.5656399875879288
step39000,39000,128,3,6574, miles,404,7,1.068285346031189,0.6878454606828264,0.5591623596847057
step39000,39000,192,0,21825, clones,2,0,0.9587649703025818,0.6704025659581078,0.5739821791648865
step39000,39000,192,1,23778, motive,8,2,1.021612524986267,0.6816739398022247,0.5638996250927448
step39000,39000,192,2,19211, cabinet,33,5,1.0367618799209595,0.7048574881752181,0.5623195581138134
step39000,39000,192,3,6574, miles,404,7,0.9961738586425781,0.6654565068448088,0.4992629326879978
step39000,39000,256,0,21825, clones,2,0,0.977030336856842,0.6768120057985535,0.56910215690732
step39000,39000,256,1,23778, motive,8,2,1.0022457838058472,0.6890823863929241,0.6678087785840034
step39000,39000,256,2,19211, cabinet,33,5,0.960853636264801,0.6684266795530686,0.5431417897343636
step39000,39000,256,3,6574, miles,404,7,0.9858556985855103,0.6752849411833067,0.6134249716997147
step39000,39000,320,0,21825, clones,2,0,0.9753175377845764,0.6751426955695825,0.5575809702277184
step39000,39000,320,1,23778, motive,8,2,0.9611667990684509,0.6707983670124735,0.5711550563573837
step39000,39000,320,2,19211, cabinet,33,5,0.9458848834037781,0.6710005875916288,0.5866387039422989
step39000,39000,320,3,6574, miles,404,7,1.0375999212265015,0.6961577885866904,0.5652177222073078
step39000,39000,384,0,21825, clones,2,0,0.9732083678245544,0.6745611112069806,0.579603735357523
step39000,39000,384,1,23778, motive,8,2,0.9652084112167358,0.6729003567882573,0.5141631700098515
step39000,39000,384,2,19211, cabinet,33,5,0.9693785309791565,0.6738731060518888,0.579619612544775
step39000,39000,384,3,6574, miles,404,7,0.9922419786453247,0.6789668055755214,0.593273039907217
step39000,39000,448,0,21825, clones,2,0,0.9726206660270691,0.6744374523534497,0.5658248662948608
step39000,39000,448,1,23778, motive,8,2,0.971047580242157,0.6741425930012674,0.5659616626799107
step39000,39000,448,2,19211, cabinet,33,5,0.9720609784126282,0.6743511777545479,0.5551953911781311
step39000,39000,448,3,6574, miles,404,7,0.9753825664520264,0.6748220423461115,0.5695958025753498
step39000,39000,512,0,21825, clones,2,0,0.97251296043396,0.6744183176842258,0.5400675944983959
step39000,39000,512,1,23778, motive,8,2,0.9722720980644226,0.6743800904926264,0.5788444392383099
step39000,39000,512,2,19211, cabinet,33,5,0.9724582433700562,0.6744128807407678,0.5262784026563168
step39000,39000,512,3,6574, miles,404,7,0.9727070331573486,0.6744192027680445,0.5587766468524933
step39000,39000,576,0,21825, clones,2,0,0.9724974632263184,0.6744162946354972,0.5650936365127563
step39000,39000,576,1,23778, motive,8,2,0.9724761247634888,0.674413555090344,0.521289736032486
step39000,39000,576,2,19211, cabinet,33,5,0.9724971055984497,0.6744171797193159,0.5536079071462154
step39000,39000,576,3,6574, miles,404,7,0.9724743962287903,0.674405631482824,0.5488918796181679
step39000,39000,640,0,21825, clones,2,0,0.9724955558776855,0.6744162524886487,0.5742015764117241
step39000,39000,640,1,23778, motive,8,2,0.9724972248077393,0.6744165896634368,0.5771400667726994
step39000,39000,640,2,19211, cabinet,33,5,0.9724984765052795,0.6744166318102853,0.5561969429254532
step39000,39000,640,3,6574, miles,404,7,0.9724854230880737,0.6744131336218588,0.5823446810245514
step39000,39000,704,0,21825, clones,2,0,0.9724987149238586,0.6744163367823457,0.5731060020625591
step39000,39000,704,1,23778, motive,8,2,0.9724976420402527,0.6744164632228913,0.5183617360889912
step39000,39000,704,2,19211, cabinet,33,5,0.9724970459938049,0.6744163789291943,0.5087263621389866
step39000,39000,704,3,6574, miles,404,7,0.9724963903427124,0.6744157467264665,0.5838635824620724
step39000,39000,768,0,21825, clones,2,0,0.9724944233894348,0.6744164210760427,0.55879682675004
step39000,39000,768,1,23778, motive,8,2,0.9724971652030945,0.6744163789291943,0.5592068582773209
step39000,39000,768,2,19211, cabinet,33,5,0.9724977612495422,0.6744163367823457,0.5836428627371788
step39000,39000,768,3,6574, miles,404,7,0.9724964499473572,0.6744162946354972,0.5568056404590607
step39000,39000,832,0,21825, clones,2,0,0.9724966287612915,0.6744163367823457,0.5348067954182625
step39000,39000,832,1,23778, motive,8,2,0.9724979996681213,0.6744162946354972,0.5417529679834843
step39000,39000,832,2,19211, cabinet,33,5,0.97249835729599,0.6744162524886487,0.5653344914317131
step39000,39000,832,3,6574, miles,404,7,0.9724969863891602,0.6744162946354972,0.5469597727060318
step39000,39000,896,0,21825, clones,2,0,0.9725000858306885,0.6744162946354972,0.5714753717184067
step39000,39000,896,1,23778, motive,8,2,0.9724985361099243,0.6744163367823457,0.554495383054018
