checkpoint,training_step,dynamic_step,token_count,spectral_radius_median,spectral_radius_min,spectral_radius_max,normalized_frobenius_norm_median,normalized_frobenius_norm_min,normalized_frobenius_norm_max,proof_pile2_test_loss
step27000,27000,0,4,13.496135234832764,12.766045570373535,14.74519157409668,12.576132715256781,11.819744467043416,14.701469484892117,3.883779397086492
step27000,27000,64,4,1.0411924719810486,1.0320606231689453,1.059157133102417,0.6851477884236139,0.683251959957321,0.6969891351735678,3.883779397086492
step27000,27000,128,4,1.0374146103858948,0.9878809452056885,1.0828858613967896,0.7020081083347907,0.6728043462673495,0.7475504755491162,3.883779397086492
step27000,27000,192,4,1.0309959650039673,0.9905575513839722,1.0882216691970825,0.6893632951382491,0.6756047936166559,0.7309876913150022,3.883779397086492
step27000,27000,256,4,0.9918191432952881,0.9787257313728333,1.0338324308395386,0.6798192677335028,0.6711718723839771,0.6893449612591469,3.883779397086492
step27000,27000,320,4,1.0236674547195435,1.0105408430099487,1.0339092016220093,0.69139079035929,0.6785848708343157,0.7064170901575152,3.883779397086492
step27000,27000,384,4,1.0068231225013733,0.9926401972770691,1.0084844827651978,0.6819461873701809,0.6701745936545124,0.7032040673081357,3.883779397086492
step27000,27000,448,4,1.0199190974235535,0.9972245097160339,1.0315228700637817,0.6870290762271702,0.6805850338240972,0.6896428130375735,3.883779397086492
step27000,27000,512,4,1.0484573245048523,0.9877371191978455,1.054565668106079,0.6976619674631958,0.6753527976094092,0.7096650948911587,3.883779397086492
step27000,27000,576,4,1.0118045806884766,1.0054545402526855,1.0447344779968262,0.6864544250211486,0.6832170623667541,0.6906134971056278,3.883779397086492
step27000,27000,640,4,1.0252660512924194,0.9959016442298889,1.042954444885254,0.6951914877908811,0.6757227204987893,0.6969854262508989,3.883779397086492
step27000,27000,704,4,1.015390694141388,1.0071156024932861,1.0338289737701416,0.686132233437707,0.6809584127550552,0.6918784083231367,3.883779397086492
step27000,27000,768,4,0.9970725178718567,0.9911980032920837,1.0158041715621948,0.6749657630995338,0.6735609243449686,0.6861571000783284,3.883779397086492
step27000,27000,832,4,1.0051164031028748,1.0014358758926392,1.028041124343872,0.6831883814363424,0.6818253312820758,0.6882390701010695,3.883779397086492
step27000,27000,896,4,1.0251542329788208,0.9963376522064209,1.0270016193389893,0.6875130484886209,0.6739740056072239,0.6884334513664019,3.883779397086492
step27000,27000,960,4,1.0289127230644226,0.9982290863990784,1.0357813835144043,0.6876371077372128,0.6824813891259963,0.6901677098889281,3.883779397086492
