checkpoint,training_step,dynamic_step,token_count,spectral_radius_median,spectral_radius_min,spectral_radius_max,operator_norm_2_median,operator_norm_2_min,operator_norm_2_max,jacobian_frobenius_norm_median,jacobian_frobenius_norm_min,jacobian_frobenius_norm_max,proof_pile2_test_loss
step0,0,0,8,41.679216384887695,37.35150146484375,48.083003997802734,127.83971786499023,115.51541900634766,151.33937072753906,837.9112243652344,757.6068115234375,978.1092529296875,11.087031924535358
step0,0,64,8,1.040013611316681,0.9910351037979126,1.067204475402832,1.3350237607955933,1.2753515243530273,1.3697876930236816,15.476190567016602,14.881186485290527,15.694072723388672,11.087031924535358
step0,0,128,8,1.0175633430480957,0.9940781593322754,1.067193627357483,1.3328153491020203,1.2979812622070312,1.3674458265304565,15.439673900604248,15.185266494750977,15.673659324645996,11.087031924535358
step0,0,192,8,1.0348955988883972,1.018385887145996,1.0510356426239014,1.3565624952316284,1.3072599172592163,1.3808696269989014,15.641637802124023,15.234540939331055,15.80548095703125,11.087031924535358
step0,0,256,8,1.0097141861915588,0.9840095043182373,1.051813006401062,1.3355090618133545,1.2812188863754272,1.3795143365859985,15.437237739562988,14.916282653808594,15.684526443481445,11.087031924535358
step0,0,320,8,1.0277692079544067,0.9984233975410461,1.0634211301803589,1.3338131308555603,1.3120296001434326,1.3975012302398682,15.411925315856934,15.108457565307617,15.725038528442383,11.087031924535358
step0,0,384,8,1.0045993328094482,0.9907974004745483,1.0551584959030151,1.3213340640068054,1.2815262079238892,1.379821538925171,15.312398433685303,15.021052360534668,15.880261421203613,11.087031924535358
step0,0,448,8,1.0209723711013794,0.9988678097724915,1.055552363395691,1.332759439945221,1.3047749996185303,1.3990098237991333,15.3616623878479,15.0906400680542,15.84462833404541,11.087031924535358
step0,0,512,8,1.0275368690490723,1.001698613166809,1.0587421655654907,1.3516385555267334,1.307456135749817,1.382559895515442,15.539000034332275,15.052632331848145,15.736574172973633,11.087031924535358
step0,0,576,8,1.0214255452156067,1.0019456148147583,1.0389174222946167,1.3289474248886108,1.300433874130249,1.3595242500305176,15.405768394470215,15.16662883758545,15.590802192687988,11.087031924535358
step0,0,640,8,1.0077312886714935,0.9936677813529968,1.047034502029419,1.308858871459961,1.286185622215271,1.3924041986465454,15.270915031433105,15.049818992614746,15.868208885192871,11.087031924535358
step0,0,704,8,1.0360966920852661,1.0213923454284668,1.0574989318847656,1.3529132604599,1.3178986310958862,1.3688441514968872,15.578739166259766,15.193564414978027,15.800446510314941,11.087031924535358
step0,0,768,8,1.0243425965309143,1.0086461305618286,1.0729939937591553,1.3529471158981323,1.3118205070495605,1.3706814050674438,15.556821823120117,15.198949813842773,15.759228706359863,11.087031924535358
step0,0,832,8,1.0244427919387817,0.9869058132171631,1.0824800729751587,1.3360881805419922,1.290421724319458,1.3900202512741089,15.453327655792236,15.034306526184082,15.87403678894043,11.087031924535358
step0,0,896,8,1.0466277599334717,1.028178334236145,1.0647284984588623,1.3595027327537537,1.3220551013946533,1.3872461318969727,15.621359825134277,15.232219696044922,15.875916481018066,11.087031924535358
step0,0,960,8,1.0137760639190674,0.9797801971435547,1.0785834789276123,1.3207671642303467,1.266217589378357,1.3703242540359497,15.241448402404785,14.775808334350586,15.70920181274414,11.087031924535358
step0,0,1024,8,1.017610251903534,0.9664247632026672,1.0799273252487183,1.3274276852607727,1.2702381610870361,1.39613938331604,15.328144073486328,14.898216247558594,15.853099822998047,11.087031924535358
step2000,2000,0,8,22.402040481567383,19.74367904663086,27.250181198120117,114.93914031982422,88.82799530029297,135.20582580566406,476.6217803955078,427.496337890625,567.2444458007812,4.346627515459818
step2000,2000,64,8,0.9886465668678284,0.9841678738594055,1.0049453973770142,1.4607422947883606,1.45229971408844,1.4689409732818604,14.57521390914917,14.499032974243164,14.619731903076172,4.346627515459818
step2000,2000,128,8,0.9870278835296631,0.9846556186676025,0.9889981150627136,1.4581092596054077,1.4537415504455566,1.4610729217529297,14.558650016784668,14.532485961914062,14.56861400604248,4.346627515459818
step2000,2000,192,8,0.9862971007823944,0.985291600227356,0.9880952835083008,1.4594138860702515,1.456598162651062,1.4606996774673462,14.561897277832031,14.55051326751709,14.566228866577148,4.346627515459818
step2000,2000,256,8,0.9858974516391754,0.9854804277420044,0.9868814945220947,1.4599323868751526,1.4586176872253418,1.460462212562561,14.563826084136963,14.559098243713379,14.565539360046387,4.346627515459818
step2000,2000,320,8,0.9857283532619476,0.9855625629425049,0.9861600399017334,1.4601482152938843,1.4596192836761475,1.4603465795516968,14.564574241638184,14.562688827514648,14.565250396728516,4.346627515459818
step2000,2000,384,8,0.9856561720371246,0.9855884909629822,0.985837459564209,1.4602416157722473,1.460018277168274,1.4603291749954224,14.564866542816162,14.564122200012207,14.565133094787598,4.346627515459818
step2000,2000,448,8,0.985627293586731,0.9856013655662537,0.9856998324394226,1.4602795243263245,1.4601904153823853,1.4603402614593506,14.564981937408447,14.564687728881836,14.565088272094727,4.346627515459818
step2000,2000,512,8,0.985617995262146,0.9856052398681641,0.9856441617012024,1.4602866768836975,1.4602279663085938,1.4603062868118286,14.565026760101318,14.564911842346191,14.565069198608398,4.346627515459818
