checkpoint,selection_index,token_id,token,wikitext_train_count,orbit_diameter_approx,orbit_pairwise_d95,orbit_pairwise_rms,median_state_norm,numerical_floor,normalization_scale,classification,estimated_period,best_nontrivial_period,best_nontrivial_normalized_p95,p1_normalized_p95
step5000,0,29104, repetitive,16,24.753023147583008,19.99043846130371,13.416115760803223,37.592979431152344,3.585145896067843e-05,19.99043846130371,nonperiodic_or_unresolved,,2,0.1961928904056549,0.09867625683546066
step5000,1,10020, semi,112,24.201448440551758,19.23182487487793,12.035926818847656,37.517398834228516,3.577937968657352e-05,19.23182487487793,nonperiodic_or_unresolved,,2,0.20239053666591644,0.101985402405262
step5000,2,1941, evidence,284,24.49752426147461,20.30071449279785,13.247504234313965,37.568302154541016,3.582792487577535e-05,20.30071449279785,nonperiodic_or_unresolved,,2,0.19479472935199738,0.09804236143827438
step5000,3,38730, orientations,4,26.593957901000977,21.002437591552734,13.727006912231445,37.57765579223633,3.583684519981034e-05,21.002437591552734,nonperiodic_or_unresolved,,2,0.19131678342819214,0.09621047228574753
step9000,0,29104, repetitive,16,0.9953120946884155,0.4281312823295593,0.17853598296642303,38.82276916503906,3.702427784446627e-05,0.4281312823295593,nonperiodic_or_unresolved,,22,0.13463303446769714,0.2251698523759842
step9000,1,10020, semi,112,1.1630582809448242,0.468671977519989,0.19606240093708038,38.82276916503906,3.702427784446627e-05,0.468671977519989,nonperiodic_or_unresolved,,22,0.1351732760667801,0.22854095697402954
step9000,2,1941, evidence,284,0.702643871307373,0.3064125180244446,0.12678177654743195,38.82276916503906,3.702427784446627e-05,0.3064125180244446,nonperiodic_or_unresolved,,22,0.13501787185668945,0.22682087123394012
step9000,3,38730, orientations,4,0.7254263162612915,0.2940155565738678,0.12475873529911041,38.82276916503906,3.702427784446627e-05,0.2940155565738678,nonperiodic_or_unresolved,,22,0.13733863830566406,0.22917139530181885
step13000,0,29104, repetitive,16,2.8586331609403715e-05,2.13665516639594e-05,1.777270153979771e-05,41.21994400024414,3.931040191673674e-05,3.931040191673674e-05,numerical_fixed_point,1,2,0.33503979444503784,0.24951747059822083
step13000,1,10020, semi,112,3.051632120332215e-05,2.1967132852296345e-05,1.8163895219913684e-05,41.21994400024414,3.931040191673674e-05,3.931040191673674e-05,numerical_fixed_point,1,2,0.34005042910575867,0.2505153715610504
step13000,2,1941, evidence,284,2.924939508375246e-05,2.1599544197670184e-05,1.7920328900800087e-05,41.21994400024414,3.931040191673674e-05,3.931040191673674e-05,numerical_fixed_point,1,2,0.3364303708076477,0.2495289295911789
step13000,3,38730, orientations,4,3.243003448005766e-05,2.208585101470817e-05,1.8240070858155377e-05,41.21994400024414,3.931040191673674e-05,3.931040191673674e-05,numerical_fixed_point,1,2,0.33810755610466003,0.24855276942253113
step16000,0,29104, repetitive,16,0.01729440502822399,0.006064372602850199,0.002128338674083352,45.06590270996094,4.2978193960152566e-05,0.006064372602850199,nonperiodic_or_unresolved,,47,0.27036890387535095,0.14150509238243103
step16000,1,10020, semi,112,0.035548917949199677,0.01220165565609932,0.0045825280249118805,45.06590270996094,4.2978193960152566e-05,0.01220165565609932,nonperiodic_or_unresolved,,2,0.17344002425670624,0.08735280483961105
step16000,2,1941, evidence,284,0.07732601463794708,0.02762605808675289,0.010944017209112644,45.06590270996094,4.2978193960152566e-05,0.02762605808675289,nonperiodic_or_unresolved,,2,0.18498800694942474,0.09289547801017761
step16000,3,38730, orientations,4,0.02755650319159031,0.00982831884175539,0.0036964439786970615,45.06590270996094,4.2978193960152566e-05,0.00982831884175539,nonperiodic_or_unresolved,,2,0.19493705034255981,0.09848791360855103
step21000,0,29104, repetitive,16,72.17897033691406,63.848358154296875,51.15421676635742,46.60493469238281,4.4445929233916104e-05,63.848358154296875,nonperiodic_or_unresolved,,2,0.23898719251155853,0.12194445729255676
step21000,1,10020, semi,112,73.82960510253906,64.64151763916016,52.171630859375,46.6102409362793,4.445098966243677e-05,64.64151763916016,nonperiodic_or_unresolved,,2,0.2454257309436798,0.12601754069328308
