checkpoint,window_start,window_end,window_transitions,window_states,full_dimensional_radius_rms,full_dimensional_radius_p95,full_dimensional_radius_max,projection_2d_radius_rms,projection_2d_radius_p95,projection_2d_radius_max
step5000,0,512,512,513,12.796375584885874,22.030809504477105,47.310237012488614,0.9891118199484848,1.3663247391042068,7.60829421567888
step5000,512,640,128,129,9.864587910874812,14.564547579810633,16.282476432459045,0.6011668343197738,1.004394787669331,1.2731038855954644
step5000,640,768,128,129,8.619369175366792,15.832554555392512,19.28169552384741,0.6329959068900243,1.323970482717382,1.6819413320562846
step5000,768,896,128,129,8.26142856611208,12.998809221694795,17.339612503791873,0.49746887739595946,0.982855378851808,1.5009595718970021
step5000,896,1024,128,129,9.201620807010396,14.240432046732455,16.44194570864778,0.639384028365105,1.0981312778775987,1.3747212707539647
step5000,1024,1152,128,129,9.100368008527955,15.085472128016098,17.30175593383813,0.5577182307678329,1.1348078973461382,1.3221404765888642
step5000,1152,1280,128,129,10.077689345570757,14.365896345592144,15.72516868949406,0.6520386357740284,1.0361741530371664,1.1696392661277117
step5000,1280,1408,128,129,9.376780074177946,13.468601857199534,15.567158887579867,0.5922862526816984,1.066911198710929,1.1794530287740175
step5000,1408,1536,128,129,8.70198156700132,14.462497666064044,17.901345303045133,0.5382482079621057,1.0680918427427184,1.495669228334473
step5000,1536,1664,128,129,10.426801063678782,13.53347535950826,15.410952976456636,0.6118088487534112,0.9919116204589705,1.1944601833688804
step5000,1664,1792,128,129,7.943498660512197,14.318828126156571,16.871037079954515,0.5091280003109021,1.2220380374738045,1.430568915810437
step5000,1792,1920,128,129,10.601241831755702,13.90732773339424,15.499483727505508,0.5907897065572179,0.9931010602649835,1.1218633185428102
step5000,1920,2048,128,129,7.035585146755676,11.439870489524402,18.696687838554926,0.45049906841161086,1.1395790815925988,1.6672528973254672
step9000,0,512,512,513,10.08819215080586,26.490444242081495,49.300494805227395,0.5676829640947687,1.326888009324848,4.815531699098891
step9000,512,640,128,129,0.33620994275557897,0.5037756605081884,0.6003975685405297,0.0135049920346971,0.020530253521618247,0.025620136468325
step9000,640,768,128,129,0.16366150972641755,0.24441786435373264,0.2896699571230459,0.006567591645863879,0.01001086271820949,0.012221482772324191
step9000,768,896,128,129,0.07969025869962786,0.11921085860092966,0.13975932670248778,0.0031977820171905187,0.004865432345075638,0.005886672896694843
step9000,896,1024,128,129,0.03879682743250559,0.05798904160634716,0.06739100630979451,0.0015581392200523932,0.002386052637567704,0.002848046745038544
step9000,1024,1152,128,129,0.018897604844631228,0.02829973298708171,0.03260876216832376,0.000759730751713138,0.0011585201042386595,0.0013924540047276282
step9000,1152,1280,128,129,0.009200599967846768,0.013777620379541604,0.015776805561967137,0.0003702955779452841,0.0005656998636035535,0.0007051498574414587
step9000,1280,1408,128,129,0.004487149606538835,0.006726190457945824,0.007634994751707313,0.00018065552819011895,0.0002751670338224967,0.0003431230684743629
step9000,1408,1536,128,129,0.0021980295832859384,0.0032890546662073476,0.003779052113205924,8.840342375409422e-05,0.00013445927959051865,0.00016703358087784729
step9000,1536,1664,128,129,0.0010695868376155103,0.001607043904810822,0.0019108072024924727,4.306702451129227e-05,6.724165904314334e-05,8.226663175729664e-05
step9000,1664,1792,128,129,0.0005090387369021859,0.0007705026904663226,0.0009182712894280612,2.041037776979176e-05,3.141965492733962e-05,4.093234920152577e-05
step9000,1792,1920,128,129,0.00022919526059165746,0.0003713608235310188,0.0004457429390762744,9.60808845717777e-06,1.547042267101556e-05,1.9031604491912602e-05
step9000,1920,2048,128,129,0.0001035485209872887,0.0001620720972616081,0.0001969229838826092,4.824762641253412e-06,7.319887265198203e-06,9.978790861634716e-06
step13000,0,512,512,513,8.432433916134508,22.530085005124953,52.49214268014668,0.4044305555117433,0.9461986878398668,3.321418334782522
