checkpoint,training_step,dynamic_step,selection_index,token_id,token,wikitext_train_count,frequency_decile,selection_seed,spectral_radius,spectral_abscissa,operator_norm_2,jacobian_frobenius_norm,hidden_state_norm,runtime_seconds,dynamics_runtime_seconds_checkpoint,normalized_frobenius_norm,lyapunov_exponent_0_1024,geometric_tangent_factor_per_step,lyapunov_window_start,lyapunov_window_end,lyapunov_exponent_last_256,geometric_tangent_factor_last_256
step57000,57000,1024,0,44991,locations,1,0,190905176,0.9334129691123962,0.9334129691123962,1.7213855981826782,13.563193321228027,69.6053237915039,5.3313708156347275,5.186337776482105,0.5994141232490268,0.004703691800983895,1.0047147715243196,768,1024,0.004848573430637373,1.0048603467830908
step57000,57000,1024,1,40201, 449,1,0,190905176,0.9287493228912354,0.9287493228912354,4.748088836669922,13.189096450805664,79.11061096191406,2.9811442121863365,5.186337776482105,0.5828812211305069,0.0025674885478354,1.0025707873691816,768,1024,0.006432631985807303,1.0064533657967563
step57000,57000,1024,2,45634,completion,1,0,190905176,0.9297031164169312,0.9297031164169312,1.7200216054916382,13.400615692138672,71.82240295410156,4.5330836325883865,5.186337776482105,0.5922291392491321,0.0032175767468748456,1.003222758703226,768,1024,0.007349543887194808,1.0073766180718629
step57000,57000,1024,3,14819,Py,1,0,190905176,1.2719348669052124,1.2719348669052124,3.9402692317962646,15.235297203063965,63.168277740478516,4.726669691503048,5.186337776482105,0.6733113728549356,0.002094071706968652,1.002096265806392,768,1024,0.007825915868333436,1.0078566183874398
step57000,57000,1024,4,30341, circumference,1,0,190905176,0.9407874345779419,0.9407874345779419,1.731276512145996,13.64598560333252,68.79423522949219,4.426129750907421,5.186337776482105,0.6030730597556515,0.003975810882779914,1.0039837249036085,768,1024,0.005806420767359843,1.0058233107026235
step57000,57000,1024,5,35393, involuntary,1,0,190905176,0.9515911340713501,0.9515911340713501,1.7538989782333374,13.7771635055542,67.7010726928711,2.8683071695268154,5.186337776482105,0.6088703587683251,0.003409844801883534,1.0034156649360413,768,1024,0.0034168842286315206,1.0034227284319739
step57000,57000,1024,6,41478,立,1,0,190905176,0.9678435921669006,0.9678435921669006,1.814051628112793,13.885364532470703,66.46888732910156,4.826816372573376,5.186337776482105,0.6136522137598255,0.003791349191604429,1.003798545447583,768,1024,0.0021688577249776445,1.0021712113981798
step57000,57000,1024,7,29263, CAD,1,0,190905176,0.94704270362854,0.94704270362854,2.0337677001953125,13.238388061523438,75.88421630859375,1.923530425876379,5.186337776482105,0.5850596231426409,0.004342577374997461,1.0043520200276619,768,1024,0.0074652587654776715,1.0074931932792208
step57000,57000,1024,8,43322,alen,1,0,190905176,0.9268904328346252,0.9268904328346252,1.7161577939987183,13.481118202209473,70.64525604248047,3.4753571823239326,5.186337776482105,0.5957868811724822,0.0030777956587597632,1.0030825369347967,768,1024,0.005748694870034069,1.0057652503252719
step57000,57000,1024,9,41720, Nokia,1,0,190905176,1.0754985809326172,1.0754985809326172,4.54936408996582,13.015089988708496,80.37491607666016,5.055864084511995,5.186337776482105,0.5751911492980577,0.002929813840335234,1.0029341099394704,768,1024,0.006203996157370146,1.006223280801523
