checkpoint,training_step,dynamic_step,selection_index,token_id,token,wikitext_train_count,frequency_decile,selection_seed,spectral_radius,spectral_abscissa,operator_norm_2,jacobian_frobenius_norm,hidden_state_norm,runtime_seconds,dynamics_runtime_seconds_checkpoint,normalized_frobenius_norm,lyapunov_window_start,lyapunov_window_end,lyapunov_exponent_last_256,lyapunov_exponent_0_1024,geometric_tangent_factor_last_256
step41000,41000,1024,0,44991,locations,1,0,190905176,1.085466980934143,1.085466980934143,4.411777973175049,16.111536026000977,54.39092254638672,3.7922120578587055,5.149994518607855,0.7120360237072906,768,1024,-0.0007851412709448911,0.004178366732023223,0.9992151668718123
step41000,41000,1024,1,40201, 449,1,0,190905176,0.9754200577735901,0.9751020073890686,2.0947136878967285,14.83459186553955,56.24288558959961,2.154326941817999,5.149994518607855,0.6556025315161133,768,1024,-0.0005871730228687614,0.004680763810469803,0.9994129993294755
step41000,41000,1024,2,45634,completion,1,0,190905176,1.1695135831832886,1.1695135831832886,4.421379566192627,16.092103958129883,53.76373291015625,4.140291836112738,5.149994518607855,0.7111772395220326,768,1024,0.0009665945562536381,0.002884927302163585,1.0009670618593238
step41000,41000,1024,3,14819,Py,1,0,190905176,0.9906944632530212,0.9906944632530212,2.0661375522613525,14.875652313232422,55.937156677246094,4.301820136606693,5.149994518607855,0.6574171640787498,768,1024,-0.00030778361582880066,0.004141410780235528,0.9996922637446892
step41000,41000,1024,4,30341, circumference,1,0,190905176,1.049170732498169,1.049170732498169,1.9933102130889893,15.482277870178223,55.65034103393555,3.6218907944858074,5.149994518607855,0.6842264793885899,768,1024,-0.0006025936266307294,0.0046401159838498395,0.9993975878964453
step41000,41000,1024,5,35393, involuntary,1,0,190905176,0.9975596070289612,0.9975596070289612,2.0318603515625,14.915726661682129,55.85048294067383,4.136211544275284,5.149994518607855,0.659188216800026,768,1024,-0.00016465070782308098,0.00456535719807221,0.9998353628463608
step41000,41000,1024,6,41478,立,1,0,190905176,1.0629429817199707,1.0629429817199707,2.036783218383789,15.597467422485352,55.51850509643555,3.2372624799609184,5.149994518607855,0.6893171864859783,768,1024,-0.0004224865161340436,0.0016810499816727038,0.9995776027187269
step41000,41000,1024,7,29263, CAD,1,0,190905176,1.0046522617340088,0.9937809705734253,1.9010981321334839,15.18304443359375,55.77679443359375,4.804847687482834,5.149994518607855,0.6710021048781752,768,1024,0.0012234956223526523,0.0026568809552014647,1.0012242443984651
step41000,41000,1024,8,43322,alen,1,0,190905176,1.0996425151824951,1.0996425151824951,4.358049392700195,16.134977340698242,54.89579772949219,2.422863230109215,5.149994518607855,0.7130719932436883,768,1024,-0.0010062378237138865,0.0038729810742139125,0.9989942682638027
step41000,41000,1024,9,41720, Nokia,1,0,190905176,0.9786598682403564,0.9770318269729614,2.0925512313842773,14.813331604003906,56.691837310791016,3.953480187803507,5.149994518607855,0.6546629518222599,768,1024,-0.0009010025854246203,0.007139001441682784,0.9990994031955258
step41000,41000,1024,10,38617,sidered,2,1,190905176,1.0000529289245605,1.0000529289245605,1.9128245115280151,15.154316902160645,55.99095153808594,3.917864166200161,5.149994518607855,0.6697325153604815,768,1024,0.001280537437325147,0.003887382715709931,1.001281357675467
step41000,41000,1024,11,9815,second,3,1,190905176,0.9879101514816284,0.9879101514816284,2.0506701469421387,14.786980628967285,57.611385345458984,4.349326070398092,5.149994518607855,0.6534983922510554,768,1024,-0.0008598964788398683,0.004417324206423878,0.999140473126189
step41000,41000,1024,12,21302, diagrams,2,1,190905176,1.1852229833602905,1.1852229833602905,4.549665451049805,16.023637771606445,53.183162689208984,4.960051704198122,5.149994518607855,0.7081514329737385,768,1024,1.2320808207942104e-05,0.003988326716026014,1.0000123208841094
step41000,41000,1024,13,25566, permeability,2,1,190905176,1.0040926933288574,1.0040926933288574,1.975681185722351,15.343718528747559,55.17750549316406,4.317466840147972,5.149994518607855,0.6781029637684421,768,1024,0.0010970635201245985,0.004785246967231771,1.0010976655144301
step41000,41000,1024,14,12838, LE,2,1,190905176,1.0955040454864502,1.0955040454864502,4.4117817878723145,16.129384994506836,54.63481903076172,4.5542681738734245,5.149994518607855,0.7128248441240205,768,1024,-0.00024847009530855774,0.0018363582368395104,0.999751560770829
step41000,41000,1024,15,36849,urdy,2,1,190905176,1.1702191829681396,1.1702191829681396,4.446372032165527,16.04986000061035,53.10835266113281,5.543924581259489,5.149994518607855,0.7093103027203941,768,1024,0.00012088788262969565,0.0021659692549432607,1.0001208951898641
step41000,41000,1024,16,33930, 510,2,1,190905176,0.9954713582992554,0.9857264757156372,1.9061130285263062,15.156063079833984,55.901676177978516,2.0312716402113438,5.149994518607855,0.669809686240105,768,1024,0.0011329937337312664,0.0038829353938276915,1.0011336358135996
step41000,41000,1024,17,7776,ochem,2,1,190905176,1.0974055528640747,1.0974055528640747,4.437412738800049,16.09299087524414,53.909446716308594,4.832266811281443,5.149994518607855,0.7112164360911477,768,1024,-0.0004759921696613143,0.0022725291783344467,0.9995241210966395
step41000,41000,1024,18,32587, phyt,2,1,190905176,0.9880216717720032,0.9790877103805542,2.157566547393799,15.194705963134766,56.214168548583984,2.5439561530947685,5.149994518607855,0.6715174765417664,768,1024,1.9704500551567968e-05,0.004988097912990516,1.0000197046946866
step41000,41000,1024,19,48174, filings,1,1,190905176,1.1716951131820679,1.1716951131820679,4.445395469665527,16.04564094543457,53.10239028930664,4.9397796876728535,5.149994518607855,0.7091238450625819,768,1024,0.0002727252290347774,0.002451489673095002,1.0002727624219412
step41000,41000,1024,20,40493, helical,4,2,190905176,1.1047310829162598,1.1047310829162598,4.446506500244141,16.092443466186523,53.79381561279297,3.1567421965301037,5.149994518607855,0.7111922438001025,768,1024,-0.0004979828476011733,0.0034969894522029984,0.9995021411252775
step41000,41000,1024,21,36039, interplay,4,2,190905176,1.0391064882278442,1.0386111736297607,2.2248594760894775,15.569411277770996,54.42634201049805,4.232750259339809,5.149994518607855,0.6880772683496362,768,1024,0.0009217188860811132,0.005111336188212288,1.0009221437994738
step41000,41000,1024,22,11818,cies,4,2,190905176,1.0033596754074097,0.9951400756835938,1.8852105140686035,15.211480140686035,55.724613189697266,3.613074515014887,5.149994518607855,0.6722587974602245,768,1024,0.0008598501995305851,0.0037630291257206173,1.00086021997669
step41000,41000,1024,23,23007, harmonic,3,2,190905176,1.0070416927337646,0.9964005351066589,1.8966667652130127,15.198480606079102,55.72706985473633,3.2754514105618,5.149994518607855,0.6716842937681725,768,1024,0.0009622296356600536,0.004515642236897883,1.0009626927271174
step41000,41000,1024,24,49192, inactivated,3,2,190905176,1.035213828086853,1.0346659421920776,2.1579933166503906,15.543959617614746,54.5056037902832,4.72196264564991,5.149994518607855,0.6869524532565775,768,1024,0.0011006483165394382,0.0010639061802206363,1.0011012542521847
step41000,41000,1024,25,49108, Maintenance,3,2,190905176,1.025769591331482,1.025769591331482,2.079313039779663,15.415972709655762,56.80817413330078,4.345404997467995,5.149994518607855,0.6812961775990215,768,1024,0.0003416997276201048,0.003293089767792467,1.000341758113622
