checkpoint,training_step,dynamic_step,selection_index,token_id,token,wikitext_train_count,frequency_decile,selection_seed,spectral_radius,spectral_abscissa,jacobian_frobenius_norm,normalized_frobenius_norm,lyapunov_window_start,lyapunov_window_end,lyapunov_exponent_last_256,lyapunov_exponent_0_1024,geometric_tangent_factor_last_256,hidden_state_norm,runtime_seconds,dynamics_runtime_seconds_checkpoint
step9000,9000,1024,0,44991,locations,1,0,190905176,0.994485080242157,0.9673480987548828,15.718646049499512,0.6946725845336914,768,1024,-0.005366364152246468,-0.004426031928990384,0.9946480090577409,38.82386779785156,0.1394522599875927,46.76197325065732
step9000,9000,1024,1,40201, 449,1,0,190905176,0.9945516586303711,0.967309832572937,15.718842506408691,0.6946812272071838,768,1024,-0.005751069739304623,-0.0038584320934585527,0.9942654360052139,38.82474136352539,0.13040577620267868,46.76197325065732
step9000,9000,1024,2,45634,completion,1,0,190905176,0.9945352077484131,0.9673543572425842,15.719184875488281,0.6946963667869568,768,1024,-0.0054004240976753435,-0.0038824092406511117,0.9946141319777605,38.8245735168457,0.11333365365862846,46.76197325065732
step9000,9000,1024,3,14819,Py,1,0,190905176,0.994369387626648,0.9673666954040527,15.717846870422363,0.6946372389793396,768,1024,-0.005901859935155107,-0.002891857007506682,0.9941155218284694,38.82233810424805,0.11556888371706009,46.76197325065732
step9000,9000,1024,4,30341, circumference,1,0,190905176,0.9945282340049744,0.9674075245857239,15.719715118408203,0.6947197914123535,768,1024,-0.005825181064684882,-0.0035151208521576427,0.9941917524064,38.824493408203125,0.12420430034399033,46.76197325065732
step9000,9000,1024,5,35393, involuntary,1,0,190905176,0.9943577647209167,0.9673162698745728,15.717199325561523,0.6946086287498474,768,1024,-0.005524769156295275,-0.0037138253979407117,0.9944904643141063,38.822166442871094,0.11649853736162186,46.76197325065732
step9000,9000,1024,6,41478,立,1,0,190905176,0.9945376515388489,0.9673067331314087,15.718698501586914,0.6946749091148376,768,1024,-0.005738305072544944,-0.003793070507893397,0.9942781275531767,38.82455825805664,0.11253875121474266,46.76197325065732
step9000,9000,1024,7,29263, CAD,1,0,190905176,0.9944980144500732,0.9673486948013306,15.718783378601074,0.6946786046028137,768,1024,-0.00543996455808233,-0.0038350944473125497,0.9945748052545583,38.824039459228516,0.1097724549472332,46.76197325065732
step9000,9000,1024,8,43322,alen,1,0,190905176,0.9945313930511475,0.9674357175827026,15.720041275024414,0.6947342157363892,768,1024,-0.005858341720318248,-0.004321268959104392,0.99415878490268,38.824581146240234,0.10500460118055344,46.76197325065732
step9000,9000,1024,9,41720, Nokia,1,0,190905176,0.9943812489509583,0.9673285484313965,15.71753978729248,0.6946236491203308,768,1024,-0.005326347395405967,-0.003127858427101806,0.9946878124416572,38.822471618652344,0.11367964744567871,46.76197325065732
step9000,9000,1024,10,38617,sidered,2,1,190905176,0.9943328499794006,0.9675641059875488,15.719659805297852,0.6947173476219177,768,1024,-0.005332466363972038,-0.003346150160019032,0.9946817259968211,38.821998596191406,0.11034408956766129,46.76197325065732
step9000,9000,1024,11,9815,second,3,1,190905176,0.9942480325698853,0.9675507545471191,15.718792915344238,0.6946790814399719,768,1024,-0.005905115953135992,-0.0030193930851303203,0.9941122849757248,38.82086181640625,0.11767889186739922,46.76197325065732
step9000,9000,1024,12,21302, diagrams,2,1,190905176,0.9942315816879272,0.9674435257911682,15.717432022094727,0.6946189403533936,768,1024,-0.005369565986773131,-0.004801309516897435,0.9946448243645021,38.82052230834961,0.12315463647246361,46.76197325065732
step9000,9000,1024,13,25566, permeability,2,1,190905176,0.9945793151855469,0.9673552513122559,15.719547271728516,0.6947124004364014,768,1024,-0.005888324611180078,-0.0028400878409884007,0.9941289775951898,38.825130462646484,0.12542950734496117,46.76197325065732
step9000,9000,1024,14,12838, LE,2,1,190905176,0.9944727420806885,0.9673455953598022,15.718525886535645,0.6946672797203064,768,1024,-0.005600810644158451,-0.004583732659135286,0.9944148446546862,38.82370376586914,0.12171778082847595,46.76197325065732
