checkpoint,window_start,window_end,dynamic_step,selection_index,token_id,token,wikitext_train_count,spectral_radius,spectral_radius_eigenvalue_real,spectral_radius_eigenvalue_imag,spectral_abscissa,max_real_eigenvalue_imag,max_real_eigenvalue_abs,operator_norm_2,operator_norm_sigma2,operator_norm_over_spectral_radius,runtime_seconds
step5000,0,256,256,0,29104, repetitive,16,1.0056779384613037,1.0013175010681152,0.09354861080646515,1.0013175010681152,0.09354861080646515,1.0056779384613037,1.7295291423797607,1.69534170627594,1.7197644710540771,0.9658405892550945
step5000,0,256,256,1,10020, semi,112,0.9919649362564087,0.9902470111846924,0.05835510790348053,0.9902470111846924,0.05835510790348053,0.9919649362564087,1.8133478164672852,1.7226002216339111,1.8280361890792847,0.6995806954801083
step5000,0,256,256,2,1941, evidence,284,1.0181798934936523,1.0040833950042725,0.16883942484855652,1.0040833950042725,0.16883942484855652,1.0181798934936523,1.729292392730713,1.7197927236557007,1.6984153985977173,0.70954654738307
step5000,0,256,256,3,38730, orientations,4,0.993905246257782,0.9802975654602051,0.16390332579612732,0.9839672446250916,0.09383566677570343,0.9884313941001892,1.7272850275039673,1.704638123512268,1.7378770112991333,0.6988888047635555
step5000,256,512,512,0,29104, repetitive,16,0.9984251856803894,0.9872362613677979,0.14905522763729095,0.9872362613677979,0.14905522763729095,0.9984251856803894,1.736588954925537,1.7165215015411377,1.7393280267715454,0.710245706140995
step5000,256,512,512,1,10020, semi,112,0.9911733269691467,0.9825243949890137,0.13065367937088013,0.9825243949890137,0.13065367937088013,0.9911733269691467,1.721490740776062,1.7192062139511108,1.7368210554122925,0.6434248797595501
step5000,256,512,512,2,1941, evidence,284,1.0089539289474487,1.0089539289474487,0.0,1.0089539289474487,0.0,1.0089539289474487,1.7538236379623413,1.6937572956085205,1.7382594347000122,0.6358689479529858
step5000,256,512,512,3,38730, orientations,4,1.0111390352249146,1.0064635276794434,0.09712458401918411,1.0064635276794434,0.09712458401918411,1.0111390352249146,1.73818039894104,1.7100491523742676,1.7190320491790771,0.6762389130890369
step5000,512,768,768,0,29104, repetitive,16,1.0158568620681763,1.0011365413665771,0.17231054604053497,1.0011365413665771,0.17231054604053497,1.0158568620681763,1.7341136932373047,1.7237740755081177,1.707045316696167,0.7177316695451736
step5000,512,768,768,1,10020, semi,112,1.009285569190979,1.0044472217559814,0.09870801866054535,1.0044472217559814,0.09870801866054535,1.009285569190979,1.747658133506775,1.7179874181747437,1.7315794229507446,0.6416672095656395
step5000,512,768,768,2,1941, evidence,284,1.0109480619430542,1.0062534809112549,0.09731337428092957,1.0062534809112549,0.09731337428092957,1.0109480619430542,1.73649263381958,1.7034071683883667,1.7176872491836548,0.6421737670898438
step5000,512,768,768,3,38730, orientations,4,1.025754690170288,1.0215497016906738,0.09278447926044464,1.0215497016906738,0.09278447926044464,1.025754690170288,1.7557536363601685,1.7244817018508911,1.711670160293579,0.6951523497700691
step5000,768,1024,1024,0,29104, repetitive,16,1.0207104682922363,1.0054504871368408,0.1758388876914978,1.0054504871368408,0.1758388876914978,1.0207104682922363,1.7356235980987549,1.7229931354522705,1.7004073858261108,0.6122221350669861
step5000,768,1024,1024,1,10020, semi,112,1.016379475593567,1.011603832244873,0.09841141849756241,1.011603832244873,0.09841141849756241,1.016379475593567,1.7427512407302856,1.7123445272445679,1.7146658897399902,0.6420446261763573
step5000,768,1024,1024,2,1941, evidence,284,0.9835057258605957,0.9774657487869263,0.10883094370365143,0.9805923104286194,0.0,0.9805923104286194,1.7411596775054932,1.7201275825500488,1.7703604698181152,0.6691327095031738
step5000,768,1024,1024,3,38730, orientations,4,0.9927704930305481,0.9927704930305481,0.0,0.9927704930305481,0.0,0.9927704930305481,2.0095553398132324,1.7177115678787231,2.0241892337799072,0.6538677550852299
step5000,1024,1280,1280,0,29104, repetitive,16,1.011872410774231,1.0066187381744385,0.1029786467552185,1.0066187381744385,0.1029786467552185,1.011872410774231,1.733773112297058,1.7157007455825806,1.7134305238723755,0.6897787600755692
step5000,1024,1280,1280,1,10020, semi,112,0.9864713549613953,0.9832867980003357,0.07920069992542267,0.9832867980003357,0.07920069992542267,0.9864713549613953,1.7907211780548096,1.711172103881836,1.815279483795166,0.6359557546675205
step5000,1024,1280,1280,2,1941, evidence,284,1.027123212814331,1.012222170829773,0.1743229478597641,1.012222170829773,0.1743229478597641,1.027123212814331,1.7443774938583374,1.7294965982437134,1.6983137130737305,0.7895877324044704
step5000,1024,1280,1280,3,38730, orientations,4,1.0184165239334106,1.0159351825714111,0.07104931026697159,1.0159351825714111,0.07104931026697159,1.0184165239334106,1.7478407621383667,1.7282490730285645,1.716233730316162,0.6021121703088284
step5000,1280,1536,1536,0,29104, repetitive,16,0.9896397590637207,0.9846322536468506,0.0994289368391037,0.9878444075584412,0.0,0.9878444075584412,1.7294076681137085,1.7077096700668335,1.7475123405456543,0.6408772505819798
step5000,1280,1536,1536,1,10020, semi,112,1.02901291847229,1.013691782951355,0.1769084483385086,1.0139955282211304,0.034081052988767624,1.0145680904388428,1.7406678199768066,1.706480860710144,1.6915898323059082,0.6214636936783791
step5000,1280,1536,1536,2,1941, evidence,284,1.0270678997039795,1.0117024183273315,0.1769937425851822,1.0117024183273315,0.1769937425851822,1.0270678997039795,1.7477811574935913,1.724237084388733,1.7017191648483276,0.5950621701776981
step5000,1280,1536,1536,3,38730, orientations,4,1.033065676689148,1.033065676689148,0.0,1.033065676689148,0.0,1.033065676689148,1.7618976831436157,1.703647255897522,1.705504059791565,0.6510970667004585
step5000,1536,1792,1792,0,29104, repetitive,16,0.9803281426429749,0.9744004011154175,0.10764355212450027,0.9765269160270691,0.0,0.9765269160270691,1.743523120880127,1.7151782512664795,1.7785097360610962,1.3726152703166008
step5000,1536,1792,1792,1,10020, semi,112,1.0353387594223022,1.0215332508087158,0.16851140558719635,1.0218887329101562,0.0,1.0218887329101562,1.7626047134399414,1.7311785221099854,1.7024425268173218,0.641707967966795
step5000,1536,1792,1792,2,1941, evidence,284,0.9927693605422974,0.9883638620376587,0.09342348575592041,0.9883638620376587,0.09342348575592041,0.9927693605422974,1.7279921770095825,1.7020559310913086,1.7405776977539062,0.6198280341923237
step5000,1536,1792,1792,3,38730, orientations,4,0.9923603534698486,0.9882851839065552,0.08984127640724182,0.9882851839065552,0.08984127640724182,0.9923603534698486,1.7244824171066284,1.698837399482727,1.7377582788467407,0.6591848842799664
step5000,1792,2048,2048,0,29104, repetitive,16,0.9902734160423279,0.9806849956512451,0.13747122883796692,0.9843732118606567,0.030800718814134598,0.9848549365997314,1.7339895963668823,1.722333550453186,1.7510210275650024,0.6340863890945911
step5000,1792,2048,2048,1,10020, semi,112,1.0171947479248047,1.005481481552124,0.1539224237203598,1.0102581977844238,0.1053796038031578,1.0157393217086792,1.736748218536377,1.7192589044570923,1.7073900699615479,0.8224260546267033
step5000,1792,2048,2048,2,1941, evidence,284,0.9948430061340332,0.9900031685829163,0.09801193326711655,0.9900031685829163,0.09801193326711655,0.9948430061340332,1.743863582611084,1.7070834636688232,1.7529033422470093,0.6530554667115211
step5000,1792,2048,2048,3,38730, orientations,4,1.0101813077926636,1.005692481994629,0.09512561559677124,1.005692481994629,0.09512561559677124,1.0101813077926636,1.7329533100128174,1.6950745582580566,1.7154873609542847,0.6480388678610325
step7000,0,256,256,0,29104, repetitive,16,0.9852790236473083,0.9852790236473083,0.0,0.9852790236473083,0.0,0.9852790236473083,2.0814502239227295,1.7536860704421997,2.112549066543579,0.6006928943097591
step7000,0,256,256,1,10020, semi,112,1.0862488746643066,1.0846643447875977,0.058650899678468704,1.0846643447875977,0.058650899678468704,1.0862488746643066,1.844367265701294,1.791257619857788,1.6979233026504517,0.6305101327598095
step7000,0,256,256,2,1941, evidence,284,1.0312047004699707,1.0312047004699707,0.0,1.0312047004699707,0.0,1.0312047004699707,2.0818588733673096,1.7997945547103882,2.0188608169555664,0.6183792762458324
step7000,0,256,256,3,38730, orientations,4,0.9865709543228149,0.9716012477874756,0.1712111383676529,0.9716012477874756,0.1712111383676529,0.9865709543228149,2.101064443588257,1.706080436706543,2.1296637058258057,0.5913100577890873
step7000,256,512,512,0,29104, repetitive,16,1.0151029825210571,1.0128755569458008,0.06720929592847824,1.0128755569458008,0.06720929592847824,1.0151029825210571,2.171327590942383,1.7465262413024902,2.139021873474121,0.5806008577346802
step7000,256,512,512,1,10020, semi,112,0.9807137250900269,0.9706931114196777,0.13983668386936188,0.9706931114196777,0.13983668386936188,0.9807137250900269,2.07485032081604,1.6904948949813843,2.1156532764434814,0.6280015520751476
step7000,256,512,512,2,1941, evidence,284,1.032475233078003,1.0231024026870728,0.1388036459684372,1.0264596939086914,0.034600939601659775,1.0270427465438843,1.8141217231750488,1.7548341751098633,1.7570607662200928,0.8867325931787491
step7000,256,512,512,3,38730, orientations,4,1.0068374872207642,1.0068374872207642,0.0,1.0068374872207642,0.0,1.0068374872207642,1.8258357048034668,1.732555627822876,1.8134363889694214,0.9710936397314072
step7000,512,768,768,0,29104, repetitive,16,1.0790443420410156,1.0688672065734863,0.14784985780715942,1.0688672065734863,0.14784985780715942,1.0790443420410156,2.1087629795074463,1.847474217414856,1.9542876482009888,0.9506738856434822
step7000,512,768,768,1,10020, semi,112,1.0943872928619385,1.0943872928619385,0.0,1.0943872928619385,0.0,1.0943872928619385,2.1780588626861572,1.7884989976882935,1.9902085065841675,0.6389363296329975
step7000,512,768,768,2,1941, evidence,284,1.0056486129760742,1.0043596029281616,0.05090063437819481,1.0043596029281616,0.05090063437819481,1.0056486129760742,2.043851852416992,1.7418423891067505,2.032371759414673,0.6662276424467564
step7000,512,768,768,3,38730, orientations,4,1.0161277055740356,1.0161277055740356,0.0,1.0161277055740356,0.0,1.0161277055740356,1.823625087738037,1.7302279472351074,1.7946809530258179,0.5920994505286217
step7000,768,1024,1024,0,29104, repetitive,16,1.0459953546524048,1.0059394836425781,0.28669148683547974,1.0282042026519775,0.07781883329153061,1.0311448574066162,1.8806055784225464,1.8034477233886719,1.7979100942611694,0.663742084056139
step7000,768,1024,1024,1,10020, semi,112,1.0372158288955688,1.0372158288955688,0.0,1.0372158288955688,0.0,1.0372158288955688,1.8073375225067139,1.7391372919082642,1.7424893379211426,0.5947867669165134
step7000,768,1024,1024,2,1941, evidence,284,1.027489185333252,0.9618074893951416,0.3614698052406311,1.011244297027588,0.09330236911773682,1.0155394077301025,1.9916480779647827,1.7038946151733398,1.938364028930664,0.5913745947182178
step7000,768,1024,1024,3,38730, orientations,4,0.9734509587287903,0.9680721759796143,0.10219139605760574,0.9680721759796143,0.10219139605760574,0.9734509587287903,1.9281351566314697,1.657082200050354,1.980721354484558,0.6556767411530018
step7000,1024,1280,1280,0,29104, repetitive,16,1.0575886964797974,1.0488803386688232,0.1354394257068634,1.0488803386688232,0.1354394257068634,1.0575886964797974,2.299025774002075,1.7034848928451538,2.173837423324585,0.6472230106592178
step7000,1024,1280,1280,1,10020, semi,112,1.0785918235778809,1.0145161151885986,0.3662203550338745,1.056874394416809,0.0,1.056874394416809,2.186161994934082,1.8498672246932983,2.026866912841797,0.6222505308687687
step7000,1024,1280,1280,2,1941, evidence,284,1.0702317953109741,1.016066312789917,0.3361627757549286,1.065018653869629,0.04041525721549988,1.0657851696014404,2.1463887691497803,1.8683593273162842,2.0055363178253174,0.6217240653932095
step7000,1024,1280,1280,3,38730, orientations,4,1.0927364826202393,1.0839146375656128,0.13857191801071167,1.087011456489563,0.0,1.087011456489563,2.102203607559204,1.8299486637115479,1.923797369003296,0.587695274502039
step7000,1280,1536,1536,0,29104, repetitive,16,1.0488193035125732,1.046891212463379,0.06356654316186905,1.046891212463379,0.06356654316186905,1.0488193035125732,1.8811519145965576,1.7988197803497314,1.7935900688171387,0.642088133841753
step7000,1280,1536,1536,1,10020, semi,112,1.0402264595031738,1.0401908159255981,0.008615486323833466,1.0401908159255981,0.008615486323833466,1.0402264595031738,2.152200698852539,1.8123902082443237,2.0689733028411865,0.6201069056987762
step7000,1280,1536,1536,2,1941, evidence,284,1.0415074825286865,1.0273454189300537,0.1711699664592743,1.0273454189300537,0.1711699664592743,1.0415074825286865,1.8391891717910767,1.7872648239135742,1.765891432762146,0.5950759947299957
step7000,1280,1536,1536,3,38730, orientations,4,1.080238699913025,1.0801753997802734,0.01169330719858408,1.0801753997802734,0.01169330719858408,1.080238699913025,2.1399173736572266,1.8011378049850464,1.9809671640396118,0.6097008176147938
step7000,1536,1792,1792,0,29104, repetitive,16,1.069036602973938,1.0679938793182373,0.04720552638173103,1.0679938793182373,0.04720552638173103,1.069036602973938,2.1121113300323486,1.8382467031478882,1.9757146835327148,0.57997902110219
step7000,1536,1792,1792,1,10020, semi,112,1.0043084621429443,1.0043084621429443,0.0,1.0043084621429443,0.0,1.0043084621429443,1.8124637603759766,1.7308144569396973,1.8046883344650269,1.1642062962055206
step7000,1536,1792,1792,2,1941, evidence,284,1.0371187925338745,1.0371187925338745,0.0,1.0371187925338745,0.0,1.0371187925338745,1.836165428161621,1.810031533241272,1.7704485654830933,0.7149125076830387
step7000,1536,1792,1792,3,38730, orientations,4,1.0588561296463013,1.0588561296463013,0.0,1.0588561296463013,0.0,1.0588561296463013,2.028836965560913,1.7551114559173584,1.9160648584365845,0.5844710320234299
step7000,1792,2048,2048,0,29104, repetitive,16,1.0505212545394897,1.039017915725708,0.1550377458333969,1.039017915725708,0.1550377458333969,1.0505212545394897,2.114297866821289,1.6994980573654175,2.012617826461792,1.1299595274031162
step7000,1792,2048,2048,1,10020, semi,112,1.0015860795974731,0.9909213781356812,0.1457720398902893,0.9947502017021179,0.0,0.9947502017021179,1.818920373916626,1.732137680053711,1.8160400390625,1.0921313092112541
step7000,1792,2048,2048,2,1941, evidence,284,1.006842017173767,1.006842017173767,0.0,1.006842017173767,0.0,1.006842017173767,2.0511627197265625,1.8240782022476196,2.037224054336548,0.664796456694603
step7000,1792,2048,2048,3,38730, orientations,4,1.0834877490997314,1.0352814197540283,0.3195904493331909,1.0352814197540283,0.3195904493331909,1.0834877490997314,1.9563394784927368,1.835703730583191,1.8055944442749023,1.6139681972563267
step9000,0,256,256,0,29104, repetitive,16,0.9772390127182007,0.9442018270492554,0.25195029377937317,0.9674172401428223,0.11008726060390472,0.9736607670783997,2.0074589252471924,1.8073241710662842,2.0542149543762207,0.6293405964970589
step9000,0,256,256,1,10020, semi,112,0.9851144552230835,0.953097939491272,0.24910807609558105,0.9749424457550049,0.11079318821430206,0.9812175631523132,1.9987194538116455,1.8256340026855469,2.028921127319336,0.563043050467968
step9000,0,256,256,2,1941, evidence,284,0.9968752264976501,0.9541846513748169,0.2886033356189728,0.9736011028289795,0.11562050879001617,0.9804423451423645,1.9455286264419556,1.837689757347107,1.9516270160675049,0.6011589542031288
step9000,0,256,256,3,38730, orientations,4,1.0048158168792725,0.9615099430084229,0.2918107509613037,0.9629294872283936,0.11176110059022903,0.9693934917449951,1.94009268283844,1.829970359802246,1.930794358253479,0.6337221041321754
step9000,256,512,512,0,29104, repetitive,16,0.9919331669807434,0.9503626823425293,0.28415173292160034,0.9658370018005371,0.11260831356048584,0.9723794460296631,1.9763212203979492,1.8171442747116089,1.9923934936523438,0.6056942082941532
step9000,256,512,512,1,10020, semi,112,0.9896528124809265,0.948236346244812,0.2833028733730316,0.9682117700576782,0.11267618834972382,0.9747461080551147,1.9784367084503174,1.8188982009887695,1.9991220235824585,0.6200636513531208
