checkpoint,dynamic_step,selection_index,token_id,token,wikitext_train_count,frequency_bin,projection_1,projection_2,projection_3,projection_4,vector_kind,vector_l2,state_l2,relative_update_l2,projection_seed,projection_sha256
step58000,0,0,21825, clones,2,0,2.303800582885742,0.21844832599163055,0.7404841184616089,-2.813873529434204,residual_internal,51.37812042236328,1.3003116846084595,39.512157762262895,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step58000,0,1,23778, motive,8,2,1.3308569192886353,0.3797222375869751,-0.8445867300033569,-1.4582483768463135,residual_internal,51.90196990966797,1.3359525203704834,38.85016055456419,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step58000,0,2,19211, cabinet,33,5,1.6665747165679932,0.0015553347766399384,-1.2515360116958618,-2.3512766361236572,residual_internal,54.058258056640625,1.3190809488296509,40.98175938679396,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step58000,0,3,6574, miles,404,7,3.680938482284546,2.3314852714538574,-0.7400137186050415,-4.100650787353516,residual_internal,51.960960388183594,1.307928442955017,39.72767827480502,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step58000,1,0,21825, clones,2,0,-1.5249531269073486,3.955442190170288,1.4024746417999268,-2.4004218578338623,residual_internal,74.62493133544922,43.84171676635742,1.7021443693261973,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step58000,1,1,23778, motive,8,2,-1.1814688444137573,1.075210452079773,-2.369645118713379,-5.171533584594727,residual_internal,70.62481689453125,45.94599533081055,1.5371267155283832,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step58000,1,2,19211, cabinet,33,5,0.8755383491516113,1.4787150621414185,-3.6828646659851074,-1.4816200733184814,residual_internal,71.68565368652344,45.26844787597656,1.5835677397847383,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step58000,1,3,6574, miles,404,7,-1.4475693702697754,1.853001594543457,-0.10922405868768692,-6.292740821838379,residual_internal,58.30506134033203,49.97700500488281,1.1666377634000988,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step58000,2,0,21825, clones,2,0,-1.0593732595443726,1.909716248512268,-4.087061882019043,-4.040728569030762,residual_internal,62.83681106567383,62.97673797607422,0.997778117525656,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step58000,2,1,23778, motive,8,2,-0.41301530599594116,0.9589887857437134,-3.5651233196258545,-4.672408103942871,residual_internal,63.68857192993164,67.15970611572266,0.9483152266954546,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
