checkpoint,dynamic_step,selection_index,token_id,token,wikitext_train_count,frequency_bin,projection_1,projection_2,projection_3,projection_4,vector_kind,vector_l2,state_l2,relative_update_l2,projection_seed,projection_sha256
step5000,0,0,21825, clones,2,0,1.8380553722381592,2.7965517044067383,6.16939640045166,-4.249669075012207,residual_internal,66.70166015625,1.200232982635498,55.57392699689441,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step5000,0,1,23778, motive,8,2,2.869635581970215,-3.247333526611328,-2.0372579097747803,-0.402974009513855,residual_internal,65.8614501953125,1.2433127164840698,52.9725541467639,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step5000,0,2,19211, cabinet,33,5,3.710385322570801,0.8189373016357422,-2.8762412071228027,-0.5568488240242004,residual_internal,66.10747528076172,1.2130095958709717,54.49872408741736,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step5000,0,3,6574, miles,404,7,0.8633607625961304,-2.4756054878234863,1.2847517728805542,-5.2179155349731445,residual_internal,56.09449768066406,1.174397587776184,47.76448646057209,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step5000,1,0,21825, clones,2,0,-0.4688185453414917,1.6043168306350708,4.454105854034424,-2.2211756706237793,residual_internal,47.94035339355469,32.18820571899414,1.4893763825196775,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step5000,1,1,23778, motive,8,2,1.1356415748596191,-1.313980221748352,1.1334484815597534,-2.3019649982452393,residual_internal,51.071537017822266,32.85771179199219,1.5543242128707515,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step5000,1,2,19211, cabinet,33,5,-0.8780499696731567,0.1301775425672531,-0.25353795289993286,-1.2437454462051392,residual_internal,47.97901916503906,31.738853454589844,1.511680919214197,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step5000,1,3,6574, miles,404,7,3.3684051036834717,-3.8526103496551514,2.826240062713623,-3.1750051975250244,residual_internal,49.00483322143555,34.732479095458984,1.4109224131899807,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step5000,2,0,21825, clones,2,0,-1.9535518884658813,-0.6964400410652161,3.3050506114959717,-1.1999571323394775,residual_internal,46.21220016479492,35.62198257446289,1.297294446433312,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step5000,2,1,23778, motive,8,2,-0.2787211537361145,-0.6821047067642212,0.8106083869934082,-3.980128049850464,residual_internal,50.82841491699219,33.680015563964844,1.509156515098968,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step5000,2,2,19211, cabinet,33,5,-1.932159185409546,-1.9537709951400757,-0.23046179115772247,-1.6046444177627563,residual_internal,45.361385345458984,33.24663543701172,1.3643902533054686,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step5000,2,3,6574, miles,404,7,3.5538666248321533,-2.8402867317199707,0.21466080844402313,-3.6857824325561523,residual_internal,48.40673065185547,34.67233657836914,1.3961196570194445,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step5000,3,0,21825, clones,2,0,-1.345834732055664,-1.2608370780944824,1.5673315525054932,-0.5266886949539185,residual_internal,47.07294464111328,37.397647857666016,1.2587140458745176,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step5000,3,1,23778, motive,8,2,-0.5482412576675415,-1.0964102745056152,-0.37834426760673523,-3.0833113193511963,residual_internal,49.98136520385742,35.11611557006836,1.4233170267402706,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step5000,3,2,19211, cabinet,33,5,-2.1680071353912354,-2.441631317138672,-0.1086040586233139,-1.939642071723938,residual_internal,45.363563537597656,35.27265548706055,1.2860830269566426,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step5000,3,3,6574, miles,404,7,2.9694366455078125,-1.6048606634140015,-1.4070883989334106,-3.5345916748046875,residual_internal,46.3611946105957,35.38461685180664,1.310207619451124,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step5000,4,0,21825, clones,2,0,-0.7131742238998413,-1.3000503778457642,0.34040138125419617,-0.5447324514389038,residual_internal,49.81990432739258,37.63966369628906,1.323601207741513,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step5000,4,1,23778, motive,8,2,-0.5197478532791138,-1.0226085186004639,-0.6408299803733826,-2.1722664833068848,residual_internal,48.003875732421875,36.195579528808594,1.3262358651894186,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step5000,4,2,19211, cabinet,33,5,-1.8583171367645264,-2.492230176925659,-0.6263391971588135,-1.3165463209152222,residual_internal,46.18018341064453,36.059181213378906,1.2806775377781032,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
step5000,4,3,6574, miles,404,7,2.6356256008148193,-0.9183241128921509,-1.9742823839187622,-2.595292806625366,residual_internal,44.66499328613281,35.93703842163086,1.2428679503887141,1616,ec1360daadf0a820abed4f77c5a886edd56a6a594fd0c33e44a1f50f3c5ff0c9
